e-chain-of-thought,e-chat-history,baseline,e-implcit-target,e-persona-you,e-persona-human
"{'closeness': 0.9150790433725172, 'similarity_metrics': 0.9927505, 'contradiction': 0.970252513885498, 'evidence_accuracy': 0.7582644628099173, 'evidence_precision': 0.6263736263736264, 'evidence_recall': 0.22178988326848248, 'evidence_f1': 0.32758620689655166, 'crest_accuracy': 0.39233038348082594, 'crest_precision': 0.5833333333333334, 'crest_recall': 0.03365384615384615, 'crest_f1': 0.06363636363636363}","{'closeness': 0.9187271990271585, 'similarity_metrics': 0.99356633, 'contradiction': 0.9700189232826233, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5862068965517241, 'evidence_recall': 0.19844357976653695, 'evidence_f1': 0.2965116279069767, 'crest_accuracy': 0.3893805309734513, 'crest_precision': 0.5454545454545454, 'crest_recall': 0.028846153846153848, 'crest_f1': 0.0547945205479452}","{'closeness': 0.14673692744223754, 'similarity_metrics': 0.89683443, 'contradiction': 0.07014690339565277, 'evidence_accuracy': 0.26859504132231404, 'evidence_precision': 0.2638743455497382, 'evidence_recall': 0.980544747081712, 'evidence_f1': 0.41584158415841577, 'crest_accuracy': 0.6312684365781711, 'crest_precision': 0.6343042071197411, 'crest_recall': 0.9423076923076923, 'crest_f1': 0.7582205029013539}","{'closeness': 0.2541548439400081, 'similarity_metrics': 0.939016, 'contradiction': 0.11862485855817795, 'evidence_accuracy': 0.2097107438016529, 'evidence_precision': 0.24134419551934827, 'evidence_recall': 0.9221789883268483, 'evidence_f1': 0.38256658595641646, 'crest_accuracy': 0.616519174041298, 'crest_precision': 0.6291390728476821, 'crest_recall': 0.9134615384615384, 'crest_f1': 0.7450980392156863}","{'closeness': 0.18909606809890556, 'similarity_metrics': 0.8947381, 'contradiction': 0.08626393228769302, 'evidence_accuracy': 0.28615702479338845, 'evidence_precision': 0.26206140350877194, 'evidence_recall': 0.9299610894941635, 'evidence_f1': 0.40889649272882805, 'crest_accuracy': 0.6106194690265486, 'crest_precision': 0.6292517006802721, 'crest_recall': 0.8894230769230769, 'crest_f1': 0.7370517928286852}","{'closeness': 0.181799756789623, 'similarity_metrics': 0.9101286, 'contradiction': 0.020465591922402382, 'evidence_accuracy': 0.27892561983471076, 'evidence_precision': 0.26058631921824105, 'evidence_recall': 0.933852140077821, 'evidence_f1': 0.40747028862478785, 'crest_accuracy': 0.5988200589970502, 'crest_precision': 0.6208053691275168, 'crest_recall': 0.8894230769230769, 'crest_f1': 0.7312252964426877}"
"{'closeness': 0.9667124227865477, 'similarity_metrics': 0.99051213, 'contradiction': 0.7840976119041443, 'evidence_accuracy': 0.6683250414593698, 'evidence_precision': 0.7894736842105263, 'evidence_recall': 0.07109004739336493, 'evidence_f1': 0.13043478260869565, 'crest_accuracy': 0.43820224719101125, 'crest_precision': 0.75, 'crest_recall': 0.043689320388349516, 'crest_f1': 0.08256880733944955}","{'closeness': 0.9420041180507893, 'similarity_metrics': 0.9856381, 'contradiction': 0.9550389051437378, 'evidence_accuracy': 0.6633499170812603, 'evidence_precision': 0.5740740740740741, 'evidence_recall': 0.14691943127962084, 'evidence_f1': 0.2339622641509434, 'crest_accuracy': 0.44662921348314605, 'crest_precision': 0.6153846153846154, 'crest_recall': 0.11650485436893204, 'crest_f1': 0.19591836734693882}","{'closeness': 0.9571036376115305, 'similarity_metrics': 0.9949976, 'contradiction': 0.9437040686607361, 'evidence_accuracy': 0.6716417910447762, 'evidence_precision': 0.696969696969697, 'evidence_recall': 0.10900473933649289, 'evidence_f1': 0.1885245901639344, 'crest_accuracy': 0.44662921348314605, 'crest_precision': 0.7647058823529411, 'crest_recall': 0.06310679611650485, 'crest_f1': 0.11659192825112107}","{'closeness': 0.9660260809883322, 'similarity_metrics': 0.99321645, 'contradiction': 0.7147334218025208, 'evidence_accuracy': 0.6733001658374793, 'evidence_precision': 0.7916666666666666, 'evidence_recall': 0.09004739336492891, 'evidence_f1': 0.16170212765957445, 'crest_accuracy': 0.4353932584269663, 'crest_precision': 0.6923076923076923, 'crest_recall': 0.043689320388349516, 'crest_f1': 0.08219178082191782}","{'closeness': 0.926904598490048, 'similarity_metrics': 0.99147266, 'contradiction': 0.9437040686607361, 'evidence_accuracy': 0.6981757877280266, 'evidence_precision': 0.7457627118644068, 'evidence_recall': 0.20853080568720378, 'evidence_f1': 0.32592592592592595, 'crest_accuracy': 0.46629213483146065, 'crest_precision': 0.7105263157894737, 'crest_recall': 0.13106796116504854, 'crest_f1': 0.2213114754098361}","{'closeness': 0.935483870967742, 'similarity_metrics': 0.99019694, 'contradiction': 0.9437040686607361, 'evidence_accuracy': 0.6965174129353234, 'evidence_precision': 0.7692307692307693, 'evidence_recall': 0.1895734597156398, 'evidence_f1': 0.3041825095057034, 'crest_accuracy': 0.46348314606741575, 'crest_precision': 0.7027027027027027, 'crest_recall': 0.1262135922330097, 'crest_f1': 0.21399176954732507}"
"{'closeness': 0.9291774253043158, 'similarity_metrics': 0.988968, 'contradiction': 0.981590986251831, 'evidence_accuracy': 0.5501730103806228, 'evidence_precision': 0.8292682926829268, 'evidence_recall': 0.11846689895470383, 'evidence_f1': 0.2073170731707317, 'crest_accuracy': 0.46607669616519176, 'crest_precision': 0.9, 'crest_recall': 0.09137055837563451, 'crest_f1': 0.16589861751152074}","{'closeness': 0.9067453004054552, 'similarity_metrics': 0.9887088, 'contradiction': 0.9656510949134827, 'evidence_accuracy': 0.5501730103806228, 'evidence_precision': 0.7368421052631579, 'evidence_recall': 0.14634146341463414, 'evidence_f1': 0.24418604651162787, 'crest_accuracy': 0.4808259587020649, 'crest_precision': 0.8620689655172413, 'crest_recall': 0.12690355329949238, 'crest_f1': 0.22123893805309733}","{'closeness': 0.5341202508299521, 'similarity_metrics': 0.9453685, 'contradiction': 0.9048059582710266, 'evidence_accuracy': 0.6505190311418685, 'evidence_precision': 0.6384364820846905, 'evidence_recall': 0.6829268292682927, 'evidence_f1': 0.6599326599326599, 'crest_accuracy': 0.5722713864306784, 'crest_precision': 0.7007874015748031, 'crest_recall': 0.45408163265306123, 'crest_f1': 0.5510835913312694}","{'closeness': 0.8074511250461085, 'similarity_metrics': 0.95764303, 'contradiction': 0.971204400062561, 'evidence_accuracy': 0.6245674740484429, 'evidence_precision': 0.7777777777777778, 'evidence_recall': 0.34146341463414637, 'evidence_f1': 0.4745762711864407, 'crest_accuracy': 0.584070796460177, 'crest_precision': 0.9117647058823529, 'crest_recall': 0.3147208121827411, 'crest_f1': 0.4679245283018868}","{'closeness': 0.9738682370261318, 'similarity_metrics': 0.99662846, 'contradiction': 0.7955987453460693, 'evidence_accuracy': 0.5173010380622838, 'evidence_precision': 0.75, 'evidence_recall': 0.041811846689895474, 'evidence_f1': 0.07920792079207922, 'crest_accuracy': 0.45132743362831856, 'crest_precision': 1.0, 'crest_recall': 0.05583756345177665, 'crest_f1': 0.10576923076923077}","{'closeness': 0.5946145333825157, 'similarity_metrics': 0.9468975, 'contradiction': 0.9592373371124268, 'evidence_accuracy': 0.6885813148788927, 'evidence_precision': 0.720164609053498, 'evidence_recall': 0.6097560975609756, 'evidence_f1': 0.6603773584905661, 'crest_accuracy': 0.5899705014749262, 'crest_precision': 0.8904109589041096, 'crest_recall': 0.33163265306122447, 'crest_f1': 0.48327137546468396}"
"{'closeness': 0.9430501930501931, 'similarity_metrics': 0.99106085, 'contradiction': 0.6727644801139832, 'evidence_accuracy': 0.6756329113924051, 'evidence_precision': 0.7837837837837838, 'evidence_recall': 0.12831858407079647, 'evidence_f1': 0.220532319391635, 'crest_accuracy': 0.41530054644808745, 'crest_precision': 0.875, 'crest_recall': 0.031818181818181815, 'crest_f1': 0.06140350877192982}","{'closeness': 0.8352638352638353, 'similarity_metrics': 0.95698947, 'contradiction': 0.8333966135978699, 'evidence_accuracy': 0.5379746835443038, 'evidence_precision': 0.39285714285714285, 'evidence_recall': 0.5353982300884956, 'evidence_f1': 0.453183520599251, 'crest_accuracy': 0.3633879781420765, 'crest_precision': 0.4732510288065844, 'crest_recall': 0.5227272727272727, 'crest_f1': 0.49676025917926564}","{'closeness': 0.9543568464730291, 'similarity_metrics': 0.9846829, 'contradiction': 0.2528524696826935, 'evidence_accuracy': 0.6661392405063291, 'evidence_precision': 0.8, 'evidence_recall': 0.08849557522123894, 'evidence_f1': 0.1593625498007968, 'crest_accuracy': 0.40437158469945356, 'crest_precision': 0.6, 'crest_recall': 0.02727272727272727, 'crest_f1': 0.05217391304347826}","{'closeness': 0.9543114543114544, 'similarity_metrics': 0.9903164, 'contradiction': 0.9686552882194519, 'evidence_accuracy': 0.6787974683544303, 'evidence_precision': 0.8709677419354839, 'evidence_recall': 0.11946902654867257, 'evidence_f1': 0.21011673151750976, 'crest_accuracy': 0.41530054644808745, 'crest_precision': 0.8, 'crest_recall': 0.03636363636363636, 'crest_f1': 0.06956521739130435}","{'closeness': 0.9518648390181702, 'similarity_metrics': 0.9931911, 'contradiction': 0.1646558940410614, 'evidence_accuracy': 0.6740506329113924, 'evidence_precision': 0.9545454545454546, 'evidence_recall': 0.09292035398230089, 'evidence_f1': 0.16935483870967744, 'crest_accuracy': 0.4098360655737705, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.022727272727272728, 'crest_f1': 0.04424778761061947}","{'closeness': 0.9472329472329473, 'similarity_metrics': 0.9847837, 'contradiction': 0.22909507155418396, 'evidence_accuracy': 0.6677215189873418, 'evidence_precision': 0.7666666666666667, 'evidence_recall': 0.10176991150442478, 'evidence_f1': 0.1796875, 'crest_accuracy': 0.40437158469945356, 'crest_precision': 0.625, 'crest_recall': 0.022727272727272728, 'crest_f1': 0.04385964912280702}"
"{'closeness': 0.9271863870201821, 'similarity_metrics': 0.99597687, 'contradiction': 0.052444953471422195, 'evidence_accuracy': 0.8384615384615385, 'evidence_precision': 0.175, 'evidence_recall': 0.1206896551724138, 'evidence_f1': 0.14285714285714285, 'crest_accuracy': 0.42136498516320475, 'crest_precision': 0.8823529411764706, 'crest_recall': 0.07211538461538461, 'crest_f1': 0.13333333333333333}","{'closeness': 0.8783513405362144, 'similarity_metrics': 0.99282026, 'contradiction': 0.05459184944629669, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.3103448275862069, 'evidence_recall': 0.3103448275862069, 'evidence_f1': 0.3103448275862069, 'crest_accuracy': 0.4124629080118694, 'crest_precision': 0.7391304347826086, 'crest_recall': 0.08133971291866028, 'crest_f1': 0.14655172413793102}","{'closeness': 0.8667466986794718, 'similarity_metrics': 0.8610835, 'contradiction': 0.08893276751041412, 'evidence_accuracy': 0.8384615384615385, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.4482758620689655, 'evidence_f1': 0.38235294117647056, 'crest_accuracy': 0.4094955489614243, 'crest_precision': 0.6470588235294118, 'crest_recall': 0.10526315789473684, 'crest_f1': 0.1810699588477366}","{'closeness': 0.8971588635454182, 'similarity_metrics': 0.99887836, 'contradiction': 0.029242541640996933, 'evidence_accuracy': 0.8730769230769231, 'evidence_precision': 0.43548387096774194, 'evidence_recall': 0.46551724137931033, 'evidence_f1': 0.45, 'crest_accuracy': 0.42136498516320475, 'crest_precision': 0.8823529411764706, 'crest_recall': 0.07211538461538461, 'crest_f1': 0.13333333333333333}","{'closeness': 0.8735494197679072, 'similarity_metrics': 0.86082625, 'contradiction': 0.059524908661842346, 'evidence_accuracy': 0.8423076923076923, 'evidence_precision': 0.34210526315789475, 'evidence_recall': 0.4482758620689655, 'evidence_f1': 0.3880597014925373, 'crest_accuracy': 0.4065281899109792, 'crest_precision': 0.6363636363636364, 'crest_recall': 0.10047846889952153, 'crest_f1': 0.17355371900826444}","{'closeness': 0.9311424100156495, 'similarity_metrics': 0.8339629, 'contradiction': 0.09300215542316437, 'evidence_accuracy': 0.8442307692307692, 'evidence_precision': 0.20512820512820512, 'evidence_recall': 0.13793103448275862, 'evidence_f1': 0.16494845360824742, 'crest_accuracy': 0.3827893175074184, 'crest_precision': 0.5, 'crest_recall': 0.057692307692307696, 'crest_f1': 0.10344827586206896}"
"{'closeness': 0.893048128342246, 'similarity_metrics': 0.97448677, 'contradiction': 0.9980929493904114, 'evidence_accuracy': 0.17857142857142858, 'evidence_precision': 0.9090909090909091, 'evidence_recall': 0.11173184357541899, 'evidence_f1': 0.1990049751243781, 'crest_accuracy': 0.47959183673469385, 'crest_precision': 0.8181818181818182, 'crest_recall': 0.15517241379310345, 'crest_f1': 0.26086956521739135}","{'closeness': 0.8490770901194353, 'similarity_metrics': 0.9698309, 'contradiction': 0.9976947903633118, 'evidence_accuracy': 0.3979591836734694, 'evidence_precision': 0.8588235294117647, 'evidence_recall': 0.40782122905027934, 'evidence_f1': 0.5530303030303031, 'crest_accuracy': 0.4846938775510204, 'crest_precision': 0.5882352941176471, 'crest_recall': 0.43103448275862066, 'crest_f1': 0.4975124378109453}","{'closeness': 0.8297872340425532, 'similarity_metrics': 0.9528897, 'contradiction': 0.9934326410293579, 'evidence_accuracy': 0.3622448979591837, 'evidence_precision': 0.8461538461538461, 'evidence_recall': 0.3687150837988827, 'evidence_f1': 0.5136186770428015, 'crest_accuracy': 0.4897959183673469, 'crest_precision': 0.6025641025641025, 'crest_recall': 0.4051724137931034, 'crest_f1': 0.4845360824742268}","{'closeness': 0.8006295907660022, 'similarity_metrics': 0.9525429, 'contradiction': 0.9961238503456116, 'evidence_accuracy': 0.3979591836734694, 'evidence_precision': 0.8674698795180723, 'evidence_recall': 0.4022346368715084, 'evidence_f1': 0.549618320610687, 'crest_accuracy': 0.49489795918367346, 'crest_precision': 0.6024096385542169, 'crest_recall': 0.43103448275862066, 'crest_f1': 0.5025125628140703}","{'closeness': 0.7177083333333334, 'similarity_metrics': 0.8553598, 'contradiction': 0.9914420247077942, 'evidence_accuracy': 0.5663265306122449, 'evidence_precision': 0.8983050847457628, 'evidence_recall': 0.5921787709497207, 'evidence_f1': 0.7138047138047138, 'crest_accuracy': 0.47959183673469385, 'crest_precision': 0.5573770491803278, 'crest_recall': 0.5862068965517241, 'crest_f1': 0.5714285714285715}","{'closeness': 0.7582644628099173, 'similarity_metrics': 0.8656145, 'contradiction': 0.9957238435745239, 'evidence_accuracy': 0.5204081632653061, 'evidence_precision': 0.8828828828828829, 'evidence_recall': 0.547486033519553, 'evidence_f1': 0.6758620689655173, 'crest_accuracy': 0.45408163265306123, 'crest_precision': 0.5391304347826087, 'crest_recall': 0.5344827586206896, 'crest_f1': 0.5367965367965368}"
"{'closeness': 0.962962962962963, 'similarity_metrics': 0.99636465, 'contradiction': 0.06064485013484955, 'evidence_accuracy': 0.5896464646464646, 'evidence_precision': 0.96875, 'evidence_recall': 0.08732394366197183, 'evidence_f1': 0.16020671834625325, 'crest_accuracy': 0.43342776203966005, 'crest_precision': 0.75, 'crest_recall': 0.029411764705882353, 'crest_f1': 0.056603773584905655}","{'closeness': 0.4539609053497943, 'similarity_metrics': 0.864032, 'contradiction': 0.009243213571608067, 'evidence_accuracy': 0.6477272727272727, 'evidence_precision': 0.5627062706270627, 'evidence_recall': 0.9605633802816902, 'evidence_f1': 0.7096774193548387, 'crest_accuracy': 0.5750708215297451, 'crest_precision': 0.610655737704918, 'crest_recall': 0.7303921568627451, 'crest_f1': 0.6651785714285714}","{'closeness': 0.7132201646090535, 'similarity_metrics': 0.92970157, 'contradiction': 0.09618102014064789, 'evidence_accuracy': 0.4696969696969697, 'evidence_precision': 0.4358974358974359, 'evidence_recall': 0.6225352112676056, 'evidence_f1': 0.5127610208816705, 'crest_accuracy': 0.5184135977337111, 'crest_precision': 0.5745614035087719, 'crest_recall': 0.6421568627450981, 'crest_f1': 0.6064814814814815}","{'closeness': 0.7181069958847737, 'similarity_metrics': 0.9537929, 'contradiction': 0.4770295321941376, 'evidence_accuracy': 0.4532828282828283, 'evidence_precision': 0.42292490118577075, 'evidence_recall': 0.6028169014084507, 'evidence_f1': 0.497096399535424, 'crest_accuracy': 0.5269121813031161, 'crest_precision': 0.5814977973568282, 'crest_recall': 0.6470588235294118, 'crest_f1': 0.6125290023201856}","{'closeness': 0.7319958847736625, 'similarity_metrics': 0.9530281, 'contradiction': 0.27327513694763184, 'evidence_accuracy': 0.46085858585858586, 'evidence_precision': 0.4262295081967213, 'evidence_recall': 0.5859154929577465, 'evidence_f1': 0.49347568208778175, 'crest_accuracy': 0.49008498583569404, 'crest_precision': 0.5555555555555556, 'crest_recall': 0.5882352941176471, 'crest_f1': 0.5714285714285715}","{'closeness': 0.4228395061728395, 'similarity_metrics': 0.86441505, 'contradiction': 0.2531973123550415, 'evidence_accuracy': 0.571969696969697, 'evidence_precision': 0.5132013201320133, 'evidence_recall': 0.8760563380281691, 'evidence_f1': 0.6472424557752342, 'crest_accuracy': 0.5184135977337111, 'crest_precision': 0.5714285714285714, 'crest_recall': 0.6666666666666666, 'crest_f1': 0.6153846153846153}"
"{'closeness': 0.892875851231011, 'similarity_metrics': 0.947752, 'contradiction': 0.0031769496854394674, 'evidence_accuracy': 0.4369538077403246, 'evidence_precision': 0.978494623655914, 'evidence_recall': 0.1685185185185185, 'evidence_f1': 0.28751974723538704, 'crest_accuracy': 0.4575757575757576, 'crest_precision': 1.0, 'crest_recall': 0.13526570048309178, 'crest_f1': 0.23829787234042552}","{'closeness': 0.6809848088004191, 'similarity_metrics': 0.94983184, 'contradiction': 0.0031769496854394674, 'evidence_accuracy': 0.6329588014981273, 'evidence_precision': 0.9659090909090909, 'evidence_recall': 0.4722222222222222, 'evidence_f1': 0.6343283582089553, 'crest_accuracy': 0.46060606060606063, 'crest_precision': 1.0, 'crest_recall': 0.14009661835748793, 'crest_f1': 0.24576271186440682}","{'closeness': 0.5426925091671032, 'similarity_metrics': 0.8756428, 'contradiction': 0.3727165758609772, 'evidence_accuracy': 0.7265917602996255, 'evidence_precision': 0.7762478485370051, 'evidence_recall': 0.8351851851851851, 'evidence_f1': 0.8046387154326494, 'crest_accuracy': 0.5696969696969697, 'crest_precision': 0.6633165829145728, 'crest_recall': 0.6376811594202898, 'crest_f1': 0.6502463054187192}","{'closeness': 0.7582503928758513, 'similarity_metrics': 0.900346, 'contradiction': 0.7815590500831604, 'evidence_accuracy': 0.602996254681648, 'evidence_precision': 0.73125, 'evidence_recall': 0.65, 'evidence_f1': 0.688235294117647, 'crest_accuracy': 0.5818181818181818, 'crest_precision': 0.6699507389162561, 'crest_recall': 0.6570048309178744, 'crest_f1': 0.6634146341463415}","{'closeness': 0.497904662126768, 'similarity_metrics': 0.89517874, 'contradiction': 0.41232502460479736, 'evidence_accuracy': 0.7602996254681648, 'evidence_precision': 0.7815533980582524, 'evidence_recall': 0.8944444444444445, 'evidence_f1': 0.8341968911917099, 'crest_accuracy': 0.5909090909090909, 'crest_precision': 0.7068965517241379, 'crest_recall': 0.5942028985507246, 'crest_f1': 0.6456692913385826}","{'closeness': 0.7448926139339969, 'similarity_metrics': 0.8968848, 'contradiction': 0.6192553639411926, 'evidence_accuracy': 0.519350811485643, 'evidence_precision': 0.6695842450765864, 'evidence_recall': 0.5666666666666667, 'evidence_f1': 0.6138415245737212, 'crest_accuracy': 0.5787878787878787, 'crest_precision': 0.6717171717171717, 'crest_recall': 0.642512077294686, 'crest_f1': 0.6567901234567901}"
"{'closeness': 0.903362831858407, 'similarity_metrics': 0.8933115, 'contradiction': 0.9948084950447083, 'evidence_accuracy': 0.4309090909090909, 'evidence_precision': 0.6540880503144654, 'evidence_recall': 0.287292817679558, 'evidence_f1': 0.3992322456813819, 'crest_accuracy': 0.3484848484848485, 'crest_precision': 0.40384615384615385, 'crest_recall': 0.27631578947368424, 'crest_f1': 0.32812500000000006}","{'closeness': 0.744778761061947, 'similarity_metrics': 0.8785177, 'contradiction': 0.9928056597709656, 'evidence_accuracy': 0.5872727272727273, 'evidence_precision': 0.7303754266211604, 'evidence_recall': 0.5911602209944752, 'evidence_f1': 0.6534351145038167, 'crest_accuracy': 0.5782828282828283, 'crest_precision': 0.6580310880829016, 'crest_recall': 0.5570175438596491, 'crest_f1': 0.6033254156769596}","{'closeness': 0.31150442477876106, 'similarity_metrics': 0.8277465, 'contradiction': 0.9980353713035583, 'evidence_accuracy': 0.5963636363636363, 'evidence_precision': 0.6440329218106996, 'evidence_recall': 0.8646408839779005, 'evidence_f1': 0.7382075471698113, 'crest_accuracy': 0.5277777777777778, 'crest_precision': 0.5615615615615616, 'crest_recall': 0.8201754385964912, 'crest_f1': 0.6666666666666666}","{'closeness': 0.4028318584070797, 'similarity_metrics': 0.8519731, 'contradiction': 0.9780303239822388, 'evidence_accuracy': 0.6218181818181818, 'evidence_precision': 0.6645299145299145, 'evidence_recall': 0.8591160220994475, 'evidence_f1': 0.7493975903614457, 'crest_accuracy': 0.5303030303030303, 'crest_precision': 0.5660377358490566, 'crest_recall': 0.7894736842105263, 'crest_f1': 0.6593406593406593}","{'closeness': 0.7550442477876106, 'similarity_metrics': 0.88428617, 'contradiction': 0.991665780544281, 'evidence_accuracy': 0.5927272727272728, 'evidence_precision': 0.7346938775510204, 'evidence_recall': 0.5966850828729282, 'evidence_f1': 0.6585365853658536, 'crest_accuracy': 0.5959595959595959, 'crest_precision': 0.6619047619047619, 'crest_recall': 0.6096491228070176, 'crest_f1': 0.634703196347032}","{'closeness': 0.472212389380531, 'similarity_metrics': 0.85481155, 'contradiction': 0.9954339861869812, 'evidence_accuracy': 0.7072727272727273, 'evidence_precision': 0.7410071942446043, 'evidence_recall': 0.8535911602209945, 'evidence_f1': 0.7933247753530167, 'crest_accuracy': 0.5681818181818182, 'crest_precision': 0.6059479553903345, 'crest_recall': 0.7149122807017544, 'crest_f1': 0.6559356136820925}"
"{'closeness': 0.931553911205074, 'similarity_metrics': 0.9652779, 'contradiction': 0.9964427351951599, 'evidence_accuracy': 0.4883720930232558, 'evidence_precision': 0.9830508474576272, 'evidence_recall': 0.12210526315789473, 'evidence_f1': 0.21722846441947566, 'crest_accuracy': 0.4383954154727794, 'crest_precision': 0.9523809523809523, 'crest_recall': 0.09302325581395349, 'crest_f1': 0.1694915254237288}","{'closeness': 0.15750528541226216, 'similarity_metrics': 0.8345661, 'contradiction': 0.9909212589263916, 'evidence_accuracy': 0.5520195838433293, 'evidence_precision': 0.5729585006693441, 'evidence_recall': 0.9010526315789473, 'evidence_f1': 0.7004909983633387, 'crest_accuracy': 0.4871060171919771, 'crest_precision': 0.5627240143369175, 'crest_recall': 0.7336448598130841, 'crest_f1': 0.6369168356997972}","{'closeness': 0.875, 'similarity_metrics': 0.93961847, 'contradiction': 0.9964689016342163, 'evidence_accuracy': 0.5458996328029376, 'evidence_precision': 1.0, 'evidence_recall': 0.21894736842105264, 'evidence_f1': 0.3592400690846287, 'crest_accuracy': 0.4813753581661891, 'crest_precision': 0.9473684210526315, 'crest_recall': 0.16744186046511628, 'crest_f1': 0.2845849802371541}","{'closeness': 0.8398520084566596, 'similarity_metrics': 0.9613264, 'contradiction': 0.9918627738952637, 'evidence_accuracy': 0.5250917992656059, 'evidence_precision': 0.6004618937644342, 'evidence_recall': 0.5473684210526316, 'evidence_f1': 0.5726872246696035, 'crest_accuracy': 0.501432664756447, 'crest_precision': 0.6198830409356725, 'crest_recall': 0.4930232558139535, 'crest_f1': 0.5492227979274612}","{'closeness': 0.8113107822410148, 'similarity_metrics': 0.9429823, 'contradiction': 0.9962167143821716, 'evidence_accuracy': 0.6266829865361077, 'evidence_precision': 1.0, 'evidence_recall': 0.35789473684210527, 'evidence_f1': 0.5271317829457365, 'crest_accuracy': 0.4813753581661891, 'crest_precision': 0.9473684210526315, 'crest_recall': 0.16744186046511628, 'crest_f1': 0.2845849802371541}","{'closeness': 0.9733790195044808, 'similarity_metrics': 0.99059016, 'contradiction': 0.6987344026565552, 'evidence_accuracy': 0.4357405140758874, 'evidence_precision': 1.0, 'evidence_recall': 0.029473684210526315, 'evidence_f1': 0.05725971370143149, 'crest_accuracy': 0.4040114613180516, 'crest_precision': 1.0, 'crest_recall': 0.028037383177570093, 'crest_f1': 0.05454545454545455}"
"{'closeness': 0.8613037447988905, 'similarity_metrics': 0.9309112, 'contradiction': 0.9174904823303223, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5454545454545454, 'evidence_recall': 0.1553398058252427, 'evidence_f1': 0.24181360201511337, 'crest_accuracy': 0.503957783641161, 'crest_precision': 0.7457627118644068, 'crest_recall': 0.20276497695852536, 'crest_f1': 0.31884057971014496}","{'closeness': 0.8585298196948683, 'similarity_metrics': 0.9784955, 'contradiction': 0.9692497253417969, 'evidence_accuracy': 0.5431893687707641, 'evidence_precision': 0.5752212389380531, 'evidence_recall': 0.42071197411003236, 'evidence_f1': 0.48598130841121495, 'crest_accuracy': 0.5567282321899736, 'crest_precision': 0.6818181818181818, 'crest_recall': 0.4166666666666667, 'crest_f1': 0.5172413793103449}","{'closeness': 0.8987517337031901, 'similarity_metrics': 0.9775158, 'contradiction': 0.9444002509117126, 'evidence_accuracy': 0.5581395348837209, 'evidence_precision': 0.8412698412698413, 'evidence_recall': 0.1715210355987055, 'evidence_f1': 0.2849462365591398, 'crest_accuracy': 0.49076517150395776, 'crest_precision': 0.8484848484848485, 'crest_recall': 0.12962962962962962, 'crest_f1': 0.2248995983935743}","{'closeness': 0.8287101248266296, 'similarity_metrics': 0.9494736, 'contradiction': 0.9171093106269836, 'evidence_accuracy': 0.5099667774086378, 'evidence_precision': 0.5636363636363636, 'evidence_recall': 0.20064724919093851, 'evidence_f1': 0.29594272076372313, 'crest_accuracy': 0.49604221635883905, 'crest_precision': 0.6756756756756757, 'crest_recall': 0.2304147465437788, 'crest_f1': 0.3436426116838488}","{'closeness': 0.908113730929265, 'similarity_metrics': 0.98297393, 'contradiction': 0.9478720426559448, 'evidence_accuracy': 0.5481727574750831, 'evidence_precision': 0.8363636363636363, 'evidence_recall': 0.1488673139158576, 'evidence_f1': 0.25274725274725274, 'crest_accuracy': 0.47493403693931396, 'crest_precision': 0.9047619047619048, 'crest_recall': 0.08796296296296297, 'crest_f1': 0.16033755274261605}","{'closeness': 0.7288488210818308, 'similarity_metrics': 0.90852904, 'contradiction': 0.955653190612793, 'evidence_accuracy': 0.5232558139534884, 'evidence_precision': 0.5331325301204819, 'evidence_recall': 0.5728155339805825, 'evidence_f1': 0.5522620904836193, 'crest_accuracy': 0.5514511873350924, 'crest_precision': 0.6161616161616161, 'crest_recall': 0.5648148148148148, 'crest_f1': 0.5893719806763285}"
