baseline,e-implcit-target,e-chain-of-thought,e-persona-human,e-chat-history,e-persona-you
"{'closeness': 0.8018018018018018, 'similarity_metrics': 0.98944676, 'contradiction': 0.9810034036636353, 'evidence_accuracy': 0.6075949367088608, 'evidence_precision': 0.46206896551724136, 'evidence_recall': 0.5929203539823009, 'evidence_f1': 0.5193798449612403, 'crest_accuracy': 0.37158469945355194, 'crest_precision': 0.4722222222222222, 'crest_recall': 0.38636363636363635, 'crest_f1': 0.425}","{'closeness': 0.7258687258687259, 'similarity_metrics': 0.9719645, 'contradiction': 0.9823256134986877, 'evidence_accuracy': 0.5126582278481012, 'evidence_precision': 0.36774193548387096, 'evidence_recall': 0.504424778761062, 'evidence_f1': 0.4253731343283582, 'crest_accuracy': 0.2978142076502732, 'crest_precision': 0.42911877394636017, 'crest_recall': 0.509090909090909, 'crest_f1': 0.46569646569646567}","{'closeness': 0.7947232947232947, 'similarity_metrics': 0.9677235, 'contradiction': 0.49668991565704346, 'evidence_accuracy': 0.6075949367088608, 'evidence_precision': 0.4246575342465753, 'evidence_recall': 0.2743362831858407, 'evidence_f1': 0.33333333333333337, 'crest_accuracy': 0.3251366120218579, 'crest_precision': 0.38461538461538464, 'crest_recall': 0.20454545454545456, 'crest_f1': 0.2670623145400594}","{'closeness': 0.8516731016731016, 'similarity_metrics': 0.98855513, 'contradiction': 0.9822161197662354, 'evidence_accuracy': 0.6044303797468354, 'evidence_precision': 0.45454545454545453, 'evidence_recall': 0.5309734513274337, 'evidence_f1': 0.489795918367347, 'crest_accuracy': 0.3743169398907104, 'crest_precision': 0.4748603351955307, 'crest_recall': 0.38636363636363635, 'crest_f1': 0.42606516290726815}","{'closeness': 0.1142213642213642, 'similarity_metrics': 0.28774276, 'contradiction': 0.9886653423309326, 'evidence_accuracy': 0.31645569620253167, 'evidence_precision': 0.3289036544850498, 'evidence_recall': 0.8761061946902655, 'evidence_f1': 0.4782608695652174, 'crest_accuracy': 0.5846994535519126, 'crest_precision': 0.5944444444444444, 'crest_recall': 0.9727272727272728, 'crest_f1': 0.7379310344827585}","{'closeness': 0.8558558558558559, 'similarity_metrics': 0.98855513, 'contradiction': 0.9822161197662354, 'evidence_accuracy': 0.6091772151898734, 'evidence_precision': 0.45977011494252873, 'evidence_recall': 0.5309734513274337, 'evidence_f1': 0.49281314168377827, 'crest_accuracy': 0.3743169398907104, 'crest_precision': 0.4748603351955307, 'crest_recall': 0.38636363636363635, 'crest_f1': 0.42606516290726815}"
"{'closeness': 0.9503801520608244, 'similarity_metrics': 0.99573797, 'contradiction': 0.02146727591753006, 'evidence_accuracy': 0.6403846153846153, 'evidence_precision': 0.08917197452229299, 'evidence_recall': 0.2413793103448276, 'evidence_f1': 0.13023255813953485, 'crest_accuracy': 0.4362017804154303, 'crest_precision': 0.59, 'crest_recall': 0.28365384615384615, 'crest_f1': 0.38311688311688313}","{'closeness': 0.8931572629051621, 'similarity_metrics': 0.9978882, 'contradiction': 0.3424776494503021, 'evidence_accuracy': 0.65, 'evidence_precision': 0.13953488372093023, 'evidence_recall': 0.41379310344827586, 'evidence_f1': 0.20869565217391306, 'crest_accuracy': 0.4629080118694362, 'crest_precision': 0.6363636363636364, 'crest_recall': 0.30288461538461536, 'crest_f1': 0.41042345276872966}","{'closeness': 0.9535814325730292, 'similarity_metrics': 0.9988587, 'contradiction': 0.035503778606653214, 'evidence_accuracy': 0.8730769230769231, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.13793103448275862, 'evidence_f1': 0.1951219512195122, 'crest_accuracy': 0.40059347181008903, 'crest_precision': 0.8, 'crest_recall': 0.038461538461538464, 'crest_f1': 0.07339449541284404}","{'closeness': 0.9503801520608244, 'similarity_metrics': 0.99573797, 'contradiction': 0.02146727591753006, 'evidence_accuracy': 0.6403846153846153, 'evidence_precision': 0.08917197452229299, 'evidence_recall': 0.2413793103448276, 'evidence_f1': 0.13023255813953485, 'crest_accuracy': 0.4362017804154303, 'crest_precision': 0.59, 'crest_recall': 0.28365384615384615, 'crest_f1': 0.38311688311688313}","{'closeness': 0.012404961984793905, 'similarity_metrics': 0.07991962, 'contradiction': 0.38093817234039307, 'evidence_accuracy': 0.11153846153846154, 'evidence_precision': 0.11153846153846154, 'evidence_recall': 1.0, 'evidence_f1': 0.20069204152249134, 'crest_accuracy': 0.6172106824925816, 'crest_precision': 0.6172106824925816, 'crest_recall': 1.0, 'crest_f1': 0.763302752293578}","{'closeness': 0.3697478991596639, 'similarity_metrics': 0.800437, 'contradiction': 0.03198748454451561, 'evidence_accuracy': 0.25384615384615383, 'evidence_precision': 0.08955223880597014, 'evidence_recall': 0.6206896551724138, 'evidence_f1': 0.15652173913043477, 'crest_accuracy': 0.5608308605341247, 'crest_precision': 0.6063829787234043, 'crest_recall': 0.8221153846153846, 'crest_f1': 0.6979591836734694}"
"{'closeness': 0.7550802139037434, 'similarity_metrics': 0.9408695, 'contradiction': 0.9979088306427002, 'evidence_accuracy': 0.5357142857142857, 'evidence_precision': 0.8928571428571429, 'evidence_recall': 0.5586592178770949, 'evidence_f1': 0.6872852233676976, 'crest_accuracy': 0.5204081632653061, 'crest_precision': 0.5982142857142857, 'crest_recall': 0.5775862068965517, 'crest_f1': 0.587719298245614}","{'closeness': 0.7991313789359392, 'similarity_metrics': 0.96092474, 'contradiction': 0.9981546998023987, 'evidence_accuracy': 0.3979591836734694, 'evidence_precision': 0.8588235294117647, 'evidence_recall': 0.40782122905027934, 'evidence_f1': 0.5530303030303031, 'crest_accuracy': 0.5255102040816326, 'crest_precision': 0.6352941176470588, 'crest_recall': 0.46551724137931033, 'crest_f1': 0.5373134328358209}","{'closeness': 0.37567861020629745, 'similarity_metrics': 0.8557111, 'contradiction': 0.9924187660217285, 'evidence_accuracy': 0.7244897959183674, 'evidence_precision': 0.8980891719745223, 'evidence_recall': 0.7877094972067039, 'evidence_f1': 0.8392857142857144, 'crest_accuracy': 0.5663265306122449, 'crest_precision': 0.5987261146496815, 'crest_recall': 0.8103448275862069, 'crest_f1': 0.6886446886446886}","{'closeness': 0.6840390879478828, 'similarity_metrics': 0.9328153, 'contradiction': 0.9976872205734253, 'evidence_accuracy': 0.5918367346938775, 'evidence_precision': 0.9024390243902439, 'evidence_recall': 0.6201117318435754, 'evidence_f1': 0.7350993377483442, 'crest_accuracy': 0.5255102040816326, 'crest_precision': 0.5934959349593496, 'crest_recall': 0.6293103448275862, 'crest_f1': 0.6108786610878661}","{'closeness': 0.6753528773072748, 'similarity_metrics': 0.9468345, 'contradiction': 0.9990934133529663, 'evidence_accuracy': 0.5204081632653061, 'evidence_precision': 0.8899082568807339, 'evidence_recall': 0.5418994413407822, 'evidence_f1': 0.6736111111111112, 'crest_accuracy': 0.4846938775510204, 'crest_precision': 0.5688073394495413, 'crest_recall': 0.5344827586206896, 'crest_f1': 0.5511111111111111}","{'closeness': 0.6993603411513859, 'similarity_metrics': 0.9377639, 'contradiction': 0.9975553154945374, 'evidence_accuracy': 0.5816326530612245, 'evidence_precision': 0.9008264462809917, 'evidence_recall': 0.6089385474860335, 'evidence_f1': 0.7266666666666666, 'crest_accuracy': 0.5255102040816326, 'crest_precision': 0.5950413223140496, 'crest_recall': 0.6206896551724138, 'crest_f1': 0.6075949367088607}"
"{'closeness': 0.9444444444444444, 'similarity_metrics': 0.9775198, 'contradiction': 0.05290187895298004, 'evidence_accuracy': 0.49242424242424243, 'evidence_precision': 0.4392764857881137, 'evidence_recall': 0.4788732394366197, 'evidence_f1': 0.4582210242587601, 'crest_accuracy': 0.45892351274787535, 'crest_precision': 0.5424836601307189, 'crest_recall': 0.4068627450980392, 'crest_f1': 0.4649859943977591}","{'closeness': 0.23019547325102885, 'similarity_metrics': 0.7496918, 'contradiction': 0.009200986474752426, 'evidence_accuracy': 0.47853535353535354, 'evidence_precision': 0.46164021164021163, 'evidence_recall': 0.9830985915492958, 'evidence_f1': 0.6282628262826283, 'crest_accuracy': 0.5552407932011332, 'crest_precision': 0.5693215339233039, 'crest_recall': 0.946078431372549, 'crest_f1': 0.7108655616942909}","{'closeness': 0.9547325102880658, 'similarity_metrics': 0.9988289, 'contradiction': 0.07244383543729782, 'evidence_accuracy': 0.5353535353535354, 'evidence_precision': 0.47280334728033474, 'evidence_recall': 0.3183098591549296, 'evidence_f1': 0.38047138047138046, 'crest_accuracy': 0.47592067988668557, 'crest_precision': 0.5855855855855856, 'crest_recall': 0.31862745098039214, 'crest_f1': 0.4126984126984127}","{'closeness': 0.948559670781893, 'similarity_metrics': 0.9775198, 'contradiction': 0.05290187895298004, 'evidence_accuracy': 0.4810606060606061, 'evidence_precision': 0.42592592592592593, 'evidence_recall': 0.4535211267605634, 'evidence_f1': 0.43929058663028653, 'crest_accuracy': 0.45892351274787535, 'crest_precision': 0.5424836601307189, 'crest_recall': 0.4068627450980392, 'crest_f1': 0.4649859943977591}","{'closeness': 0.940843621399177, 'similarity_metrics': 0.9847429, 'contradiction': 0.0739237368106842, 'evidence_accuracy': 0.547979797979798, 'evidence_precision': 0.4939759036144578, 'evidence_recall': 0.3464788732394366, 'evidence_f1': 0.4072847682119205, 'crest_accuracy': 0.48725212464589235, 'crest_precision': 0.6, 'crest_recall': 0.3382352941176471, 'crest_f1': 0.43260188087774293}","{'closeness': 0.9436728395061729, 'similarity_metrics': 0.9775198, 'contradiction': 0.05290187895298004, 'evidence_accuracy': 0.4936868686868687, 'evidence_precision': 0.44072164948453607, 'evidence_recall': 0.48169014084507045, 'evidence_f1': 0.46029609690444145, 'crest_accuracy': 0.45892351274787535, 'crest_precision': 0.5424836601307189, 'crest_recall': 0.4068627450980392, 'crest_f1': 0.4649859943977591}"
"{'closeness': 0.536406495547407, 'similarity_metrics': 0.92712784, 'contradiction': 0.08874158561229706, 'evidence_accuracy': 0.6916354556803995, 'evidence_precision': 0.7688073394495413, 'evidence_recall': 0.7759259259259259, 'evidence_f1': 0.7723502304147465, 'crest_accuracy': 0.5484848484848485, 'crest_precision': 0.6790123456790124, 'crest_recall': 0.5314009661835749, 'crest_f1': 0.5962059620596206}","{'closeness': 0.5777894185437402, 'similarity_metrics': 0.9109607, 'contradiction': 0.9373459815979004, 'evidence_accuracy': 0.5630461922596754, 'evidence_precision': 0.6772388059701493, 'evidence_recall': 0.6722222222222223, 'evidence_f1': 0.6747211895910781, 'crest_accuracy': 0.6393939393939394, 'crest_precision': 0.7, 'crest_recall': 0.7439613526570048, 'crest_f1': 0.7213114754098361}","{'closeness': 0.7708224201152436, 'similarity_metrics': 0.95490074, 'contradiction': 0.020350057631731033, 'evidence_accuracy': 0.5880149812734082, 'evidence_precision': 0.9605263157894737, 'evidence_recall': 0.40555555555555556, 'evidence_f1': 0.5703124999999999, 'crest_accuracy': 0.49393939393939396, 'crest_precision': 0.8571428571428571, 'crest_recall': 0.2318840579710145, 'crest_f1': 0.36501901140684406}","{'closeness': 0.7975379779989523, 'similarity_metrics': 0.9408508, 'contradiction': 0.9747469425201416, 'evidence_accuracy': 0.3757802746566791, 'evidence_precision': 0.5546448087431693, 'evidence_recall': 0.37592592592592594, 'evidence_f1': 0.4481236203090508, 'crest_accuracy': 0.5636363636363636, 'crest_precision': 0.6839080459770115, 'crest_recall': 0.5721153846153846, 'crest_f1': 0.6230366492146597}","{'closeness': 0.9044002095337873, 'similarity_metrics': 0.97194725, 'contradiction': 0.025729363784193993, 'evidence_accuracy': 0.4344569288389513, 'evidence_precision': 0.639871382636656, 'evidence_recall': 0.3685185185185185, 'evidence_f1': 0.4676850763807286, 'crest_accuracy': 0.509090909090909, 'crest_precision': 0.6885245901639344, 'crest_recall': 0.40384615384615385, 'crest_f1': 0.5090909090909091}","{'closeness': 0.9190675746464118, 'similarity_metrics': 0.97453487, 'contradiction': 0.08874158561229706, 'evidence_accuracy': 0.42197253433208487, 'evidence_precision': 0.6305084745762712, 'evidence_recall': 0.34444444444444444, 'evidence_f1': 0.4455089820359282, 'crest_accuracy': 0.49696969696969695, 'crest_precision': 0.6779661016949152, 'crest_recall': 0.38461538461538464, 'crest_f1': 0.49079754601227}"
"{'closeness': 0.8690265486725663, 'similarity_metrics': 0.88458866, 'contradiction': 0.994579553604126, 'evidence_accuracy': 0.4781818181818182, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.4143646408839779, 'evidence_f1': 0.5110732538330494, 'crest_accuracy': 0.5378787878787878, 'crest_precision': 0.6380368098159509, 'crest_recall': 0.45614035087719296, 'crest_f1': 0.5319693094629157}","{'closeness': 0.7957522123893805, 'similarity_metrics': 0.90775114, 'contradiction': 0.986416220664978, 'evidence_accuracy': 0.5218181818181818, 'evidence_precision': 0.6926070038910506, 'evidence_recall': 0.49171270718232046, 'evidence_f1': 0.5751211631663974, 'crest_accuracy': 0.5353535353535354, 'crest_precision': 0.6309523809523809, 'crest_recall': 0.4649122807017544, 'crest_f1': 0.5353535353535355}","{'closeness': 0.8, 'similarity_metrics': 0.88683593, 'contradiction': 0.9948264956474304, 'evidence_accuracy': 0.5181818181818182, 'evidence_precision': 0.6830188679245283, 'evidence_recall': 0.5, 'evidence_f1': 0.5773524720893142, 'crest_accuracy': 0.5227272727272727, 'crest_precision': 0.6274509803921569, 'crest_recall': 0.42105263157894735, 'crest_f1': 0.5039370078740157}","{'closeness': 0.8715044247787611, 'similarity_metrics': 0.8847575, 'contradiction': 0.9941824078559875, 'evidence_accuracy': 0.4818181818181818, 'evidence_precision': 0.672645739910314, 'evidence_recall': 0.4143646408839779, 'evidence_f1': 0.5128205128205128, 'crest_accuracy': 0.5429292929292929, 'crest_precision': 0.6459627329192547, 'crest_recall': 0.45614035087719296, 'crest_f1': 0.5347043701799487}","{'closeness': 0.8304424778761061, 'similarity_metrics': 0.8900438, 'contradiction': 0.9967164397239685, 'evidence_accuracy': 0.5054545454545455, 'evidence_precision': 0.7272727272727273, 'evidence_recall': 0.39779005524861877, 'evidence_f1': 0.5142857142857142, 'crest_accuracy': 0.37373737373737376, 'crest_precision': 0.4504950495049505, 'crest_recall': 0.3991228070175439, 'crest_f1': 0.4232558139534884}","{'closeness': 0.8704424778761062, 'similarity_metrics': 0.882669, 'contradiction': 0.994579553604126, 'evidence_accuracy': 0.4781818181818182, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.4143646408839779, 'evidence_f1': 0.5110732538330494, 'crest_accuracy': 0.5378787878787878, 'crest_precision': 0.6380368098159509, 'crest_recall': 0.45614035087719296, 'crest_f1': 0.5319693094629157}"
"{'closeness': 0.9186046511627907, 'similarity_metrics': 0.9877607, 'contradiction': 0.9922437071800232, 'evidence_accuracy': 0.4785801713586291, 'evidence_precision': 0.5610972568578554, 'evidence_recall': 0.47368421052631576, 'evidence_f1': 0.5136986301369864, 'crest_accuracy': 0.498567335243553, 'crest_precision': 0.6149425287356322, 'crest_recall': 0.49767441860465117, 'crest_f1': 0.5501285347043702}","{'closeness': 0.8483086680761099, 'similarity_metrics': 0.9683429, 'contradiction': 0.9713273048400879, 'evidence_accuracy': 0.5299877600979193, 'evidence_precision': 0.645367412140575, 'evidence_recall': 0.42526315789473684, 'evidence_f1': 0.5126903553299493, 'crest_accuracy': 0.498567335243553, 'crest_precision': 0.6851851851851852, 'crest_recall': 0.34418604651162793, 'crest_f1': 0.45820433436532515}","{'closeness': 0.834830866807611, 'similarity_metrics': 0.95059866, 'contradiction': 0.9934552311897278, 'evidence_accuracy': 0.5336597307221542, 'evidence_precision': 0.6068181818181818, 'evidence_recall': 0.5621052631578948, 'evidence_f1': 0.5836065573770493, 'crest_accuracy': 0.5071633237822349, 'crest_precision': 0.6352201257861635, 'crest_recall': 0.4697674418604651, 'crest_f1': 0.5401069518716577}","{'closeness': 0.9183403805496829, 'similarity_metrics': 0.9877607, 'contradiction': 0.9922437071800232, 'evidence_accuracy': 0.4773561811505508, 'evidence_precision': 0.56, 'evidence_recall': 0.47157894736842104, 'evidence_f1': 0.512, 'crest_accuracy': 0.498567335243553, 'crest_precision': 0.6149425287356322, 'crest_recall': 0.49767441860465117, 'crest_f1': 0.5501285347043702}","{'closeness': 0.4677589852008457, 'similarity_metrics': 0.89664, 'contradiction': 0.9427788853645325, 'evidence_accuracy': 0.6560587515299877, 'evidence_precision': 0.6750902527075813, 'evidence_recall': 0.7873684210526316, 'evidence_f1': 0.7269193391642372, 'crest_accuracy': 0.6045845272206304, 'crest_precision': 0.6826923076923077, 'crest_recall': 0.6635514018691588, 'crest_f1': 0.6729857819905213}","{'closeness': 0.9252114164904862, 'similarity_metrics': 0.96616125, 'contradiction': 0.9894089698791504, 'evidence_accuracy': 0.4773561811505508, 'evidence_precision': 0.56, 'evidence_recall': 0.47157894736842104, 'evidence_f1': 0.512, 'crest_accuracy': 0.498567335243553, 'crest_precision': 0.6149425287356322, 'crest_recall': 0.49767441860465117, 'crest_f1': 0.5501285347043702}"
"{'closeness': 0.8037447988904299, 'similarity_metrics': 0.97158515, 'contradiction': 0.9724113941192627, 'evidence_accuracy': 0.5232558139534884, 'evidence_precision': 0.5410447761194029, 'evidence_recall': 0.4692556634304207, 'evidence_f1': 0.5025996533795493, 'crest_accuracy': 0.5435356200527705, 'crest_precision': 0.6447368421052632, 'crest_recall': 0.45161290322580644, 'crest_f1': 0.5311653116531165}","{'closeness': 0.22260748959778087, 'similarity_metrics': 0.7815012, 'contradiction': 0.4135500192642212, 'evidence_accuracy': 0.46677740863787376, 'evidence_precision': 0.48947368421052634, 'evidence_recall': 0.9029126213592233, 'evidence_f1': 0.6348122866894198, 'crest_accuracy': 0.5593667546174143, 'crest_precision': 0.5671232876712329, 'crest_recall': 0.9583333333333334, 'crest_f1': 0.7125645438898451}","{'closeness': 0.8838418862690707, 'similarity_metrics': 0.9694321, 'contradiction': 0.9423846006393433, 'evidence_accuracy': 0.5049833887043189, 'evidence_precision': 0.5544554455445545, 'evidence_recall': 0.18122977346278318, 'evidence_f1': 0.2731707317073171, 'crest_accuracy': 0.525065963060686, 'crest_precision': 0.8363636363636363, 'crest_recall': 0.2119815668202765, 'crest_f1': 0.338235294117647}","{'closeness': 0.8509015256588073, 'similarity_metrics': 0.9644095, 'contradiction': 0.7619255185127258, 'evidence_accuracy': 0.47840531561461797, 'evidence_precision': 0.4897959183673469, 'evidence_recall': 0.3883495145631068, 'evidence_f1': 0.4332129963898917, 'crest_accuracy': 0.5329815303430079, 'crest_precision': 0.6351351351351351, 'crest_recall': 0.43317972350230416, 'crest_f1': 0.5150684931506849}","{'closeness': 0.8765603328710125, 'similarity_metrics': 0.97282434, 'contradiction': 0.6201544404029846, 'evidence_accuracy': 0.4584717607973422, 'evidence_precision': 0.4585365853658537, 'evidence_recall': 0.3042071197411003, 'evidence_f1': 0.3657587548638132, 'crest_accuracy': 0.5224274406332454, 'crest_precision': 0.6428571428571429, 'crest_recall': 0.37327188940092165, 'crest_f1': 0.4723032069970846}","{'closeness': 0.800624133148405, 'similarity_metrics': 0.97316015, 'contradiction': 0.9387966394424438, 'evidence_accuracy': 0.5149501661129569, 'evidence_precision': 0.5355648535564853, 'evidence_recall': 0.41423948220064727, 'evidence_f1': 0.4671532846715328, 'crest_accuracy': 0.5461741424802111, 'crest_precision': 0.6595744680851063, 'crest_recall': 0.42857142857142855, 'crest_f1': 0.5195530726256983}"
"{'closeness': 0.8440463645943098, 'similarity_metrics': 0.9895072, 'contradiction': 0.7979187369346619, 'evidence_accuracy': 0.5012755102040817, 'evidence_precision': 0.7172236503856041, 'evidence_recall': 0.4982142857142857, 'evidence_f1': 0.5879873551106428, 'crest_accuracy': 0.5137362637362637, 'crest_precision': 0.6023391812865497, 'crest_recall': 0.4858490566037736, 'crest_f1': 0.5378590078328981}","{'closeness': 0.7605374077976818, 'similarity_metrics': 0.977321, 'contradiction': 0.9824895858764648, 'evidence_accuracy': 0.4897959183673469, 'evidence_precision': 0.7105263157894737, 'evidence_recall': 0.48214285714285715, 'evidence_f1': 0.5744680851063829, 'crest_accuracy': 0.6620879120879121, 'crest_precision': 0.7542857142857143, 'crest_recall': 0.6226415094339622, 'crest_f1': 0.6821705426356589}","{'closeness': 0.7831928345626976, 'similarity_metrics': 0.9780915, 'contradiction': 0.9432453513145447, 'evidence_accuracy': 0.5306122448979592, 'evidence_precision': 0.7681564245810056, 'evidence_recall': 0.49107142857142855, 'evidence_f1': 0.599128540305011, 'crest_accuracy': 0.5879120879120879, 'crest_precision': 0.7214285714285714, 'crest_recall': 0.47641509433962265, 'crest_f1': 0.5738636363636364}","{'closeness': 0.8456269757639621, 'similarity_metrics': 0.9903889, 'contradiction': 0.767817497253418, 'evidence_accuracy': 0.5012755102040817, 'evidence_precision': 0.7183462532299741, 'evidence_recall': 0.49642857142857144, 'evidence_f1': 0.587117212249208, 'crest_accuracy': 0.510989010989011, 'crest_precision': 0.6, 'crest_recall': 0.4811320754716981, 'crest_f1': 0.5340314136125655}","{'closeness': 0.7758166491043204, 'similarity_metrics': 0.98014677, 'contradiction': 0.9253954291343689, 'evidence_accuracy': 0.5688775510204082, 'evidence_precision': 0.7545871559633027, 'evidence_recall': 0.5875, 'evidence_f1': 0.6606425702811245, 'crest_accuracy': 0.5192307692307693, 'crest_precision': 0.6094674556213018, 'crest_recall': 0.4858490566037736, 'crest_f1': 0.5406824146981627}","{'closeness': 0.8424657534246576, 'similarity_metrics': 0.990723, 'contradiction': 0.7837445735931396, 'evidence_accuracy': 0.5, 'evidence_precision': 0.7164948453608248, 'evidence_recall': 0.49642857142857144, 'evidence_f1': 0.5864978902953586, 'crest_accuracy': 0.5164835164835165, 'crest_precision': 0.6058823529411764, 'crest_recall': 0.4858490566037736, 'crest_f1': 0.5392670157068064}"
"{'closeness': 0.7000614628149969, 'similarity_metrics': 0.9566384, 'contradiction': 0.8397402763366699, 'evidence_accuracy': 0.5467836257309941, 'evidence_precision': 0.5769230769230769, 'evidence_recall': 0.6417112299465241, 'evidence_f1': 0.6075949367088607, 'crest_accuracy': 0.6169590643274854, 'crest_precision': 0.6826923076923077, 'crest_recall': 0.6859903381642513, 'crest_f1': 0.6843373493975904}","{'closeness': 0.677320221266134, 'similarity_metrics': 0.9490239, 'contradiction': 0.9859611988067627, 'evidence_accuracy': 0.5730994152046783, 'evidence_precision': 0.621301775147929, 'evidence_recall': 0.5614973262032086, 'evidence_f1': 0.5898876404494382, 'crest_accuracy': 0.631578947368421, 'crest_precision': 0.7396449704142012, 'crest_recall': 0.6038647342995169, 'crest_f1': 0.6648936170212766}","{'closeness': 0.800860479409957, 'similarity_metrics': 0.963923, 'contradiction': 0.6005263328552246, 'evidence_accuracy': 0.6228070175438597, 'evidence_precision': 0.8625, 'evidence_recall': 0.3689839572192513, 'evidence_f1': 0.5168539325842697, 'crest_accuracy': 0.5760233918128655, 'crest_precision': 0.8875, 'crest_recall': 0.34299516908212563, 'crest_f1': 0.4947735191637631}","{'closeness': 0.8002458512599877, 'similarity_metrics': 0.97321874, 'contradiction': 0.9405331015586853, 'evidence_accuracy': 0.4853801169590643, 'evidence_precision': 0.5303867403314917, 'evidence_recall': 0.5133689839572193, 'evidence_f1': 0.5217391304347826, 'crest_accuracy': 0.5672514619883041, 'crest_precision': 0.6629834254143646, 'crest_recall': 0.5797101449275363, 'crest_f1': 0.6185567010309277}","{'closeness': 0.665642286416718, 'similarity_metrics': 0.94618237, 'contradiction': 0.29066938161849976, 'evidence_accuracy': 0.5497076023391813, 'evidence_precision': 0.5873015873015873, 'evidence_recall': 0.5935828877005348, 'evidence_f1': 0.5904255319148937, 'crest_accuracy': 0.5964912280701754, 'crest_precision': 0.676923076923077, 'crest_recall': 0.6376811594202898, 'crest_f1': 0.6567164179104477}","{'closeness': 0.7934849416103258, 'similarity_metrics': 0.9692463, 'contradiction': 0.9124724268913269, 'evidence_accuracy': 0.4853801169590643, 'evidence_precision': 0.5303867403314917, 'evidence_recall': 0.5133689839572193, 'evidence_f1': 0.5217391304347826, 'crest_accuracy': 0.5672514619883041, 'crest_precision': 0.6629834254143646, 'crest_recall': 0.5797101449275363, 'crest_f1': 0.6185567010309277}"
"{'closeness': 0.8526964560862866, 'similarity_metrics': 0.9578196, 'contradiction': 0.9945577383041382, 'evidence_accuracy': 0.5078683834048641, 'evidence_precision': 0.9054878048780488, 'evidence_recall': 0.48688524590163934, 'evidence_f1': 0.6332622601279319, 'crest_accuracy': 0.3784530386740331, 'crest_precision': 0.44976076555023925, 'crest_recall': 0.46078431372549017, 'crest_f1': 0.45520581113801445}","{'closeness': 0.7624036979969183, 'similarity_metrics': 0.9365135, 'contradiction': 0.9930243492126465, 'evidence_accuracy': 0.5293276108726752, 'evidence_precision': 0.8935574229691877, 'evidence_recall': 0.5229508196721312, 'evidence_f1': 0.6597724922440538, 'crest_accuracy': 0.4005524861878453, 'crest_precision': 0.47280334728033474, 'crest_recall': 0.553921568627451, 'crest_f1': 0.510158013544018}","{'closeness': 0.8810477657935285, 'similarity_metrics': 0.9304446, 'contradiction': 0.9906156063079834, 'evidence_accuracy': 0.25464949928469244, 'evidence_precision': 0.978494623655914, 'evidence_recall': 0.14918032786885246, 'evidence_f1': 0.25889046941678523, 'crest_accuracy': 0.5248618784530387, 'crest_precision': 0.8478260869565217, 'crest_recall': 0.19117647058823528, 'crest_f1': 0.312}","{'closeness': 0.44314329738058555, 'similarity_metrics': 0.8724601, 'contradiction': 0.991193950176239, 'evidence_accuracy': 0.776824034334764, 'evidence_precision': 0.9157509157509157, 'evidence_recall': 0.819672131147541, 'evidence_f1': 0.8650519031141869, 'crest_accuracy': 0.5718232044198895, 'crest_precision': 0.6139534883720931, 'crest_recall': 0.6470588235294118, 'crest_f1': 0.6300715990453462}","{'closeness': 0.8203389830508474, 'similarity_metrics': 0.956033, 'contradiction': 0.9949527978897095, 'evidence_accuracy': 0.5207439198855508, 'evidence_precision': 0.9204892966360856, 'evidence_recall': 0.4934426229508197, 'evidence_f1': 0.6424759871931697, 'crest_accuracy': 0.39226519337016574, 'crest_precision': 0.46261682242990654, 'crest_recall': 0.4852941176470588, 'crest_f1': 0.47368421052631576}","{'closeness': 0.5204930662557781, 'similarity_metrics': 0.90332645, 'contradiction': 0.9909600019454956, 'evidence_accuracy': 0.7224606580829757, 'evidence_precision': 0.9262295081967213, 'evidence_recall': 0.740983606557377, 'evidence_f1': 0.8233151183970856, 'crest_accuracy': 0.574585635359116, 'crest_precision': 0.6190476190476191, 'crest_recall': 0.6372549019607843, 'crest_f1': 0.6280193236714976}"
