e-implcit-target,e-persona-you,baseline,e-persona-human,e-implcit-target-e-persona-human,e-implcit-target-e-persona-you,TextFoolerJin2019
"{'distance': 0.48712446351931327, 'evidence_accuracy': 0.6131528046421664, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.8691588785046729, 'evidence_f1': 0.48186528497409326, 'similarity_metrics': np.float32(0.8094254), 'contradiction': 0.9485291838645935}",,"{'distance': 0.9497907949790795, 'evidence_accuracy': 0.23017408123791103, 'evidence_precision': 0.20841683366733466, 'evidence_recall': 0.9719626168224299, 'evidence_f1': 0.3432343234323432, 'similarity_metrics': np.float32(0.67537946), 'contradiction': 0.003151166485622525}",,,,
,,,,"{'distance': 0.9580342352291552, 'evidence_accuracy': 0.2652439024390244, 'evidence_precision': 0.26122194513715713, 'evidence_recall': 0.9544419134396356, 'evidence_f1': 0.41018110621634857, 'similarity_metrics': np.float32(0.8705365), 'contradiction': 0.9887427091598511}",,"{'distance': 0.05426829268292688, 'evidence_accuracy': 0.7158536585365853, 'evidence_precision': 0.34831460674157305, 'evidence_recall': 0.07061503416856492, 'evidence_f1': 0.11742424242424243, 'similarity_metrics': np.float32(0.95502555), 'contradiction': 0.026288969442248344}"
,,,,,,
,,,,,,"{'distance': 0.14876033057851235, 'evidence_accuracy': 0.6766528925619835, 'evidence_precision': 0.3055555555555556, 'evidence_recall': 0.17120622568093385, 'evidence_f1': 0.2194513715710723, 'similarity_metrics': np.float32(0.8870369), 'contradiction': 0.21821194887161255}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"{'distance': 0.7689969604863222, 'evidence_accuracy': 0.7551020408163265, 'evidence_precision': 0.9119496855345912, 'evidence_recall': 0.8100558659217877, 'evidence_f1': 0.8579881656804734, 'similarity_metrics': np.float32(0.8121537), 'contradiction': 0.9992597699165344}","{'distance': 0.848375451263538, 'evidence_accuracy': 0.8367346938775511, 'evidence_precision': 0.92, 'evidence_recall': 0.8994413407821229, 'evidence_f1': 0.9096045197740114, 'similarity_metrics': np.float32(0.71606886), 'contradiction': 0.9886316657066345}",,,
,,,,,,
,,,,"{'distance': 0.9104477611940298, 'evidence_accuracy': 0.7016229712858927, 'evidence_precision': 0.6982872200263505, 'evidence_recall': 0.9814814814814815, 'evidence_f1': 0.8160123171670517, 'similarity_metrics': np.float32(0.57977724), 'contradiction': 0.1765909194946289}",,
,,"{'distance': 0.9396551724137931, 'evidence_accuracy': 0.6309090909090909, 'evidence_precision': 0.6502835538752363, 'evidence_recall': 0.9502762430939227, 'evidence_f1': 0.7721661054994389, 'similarity_metrics': np.float32(0.72226554), 'contradiction': 0.9971193075180054}",,,"{'distance': 0.9855855855855856, 'evidence_accuracy': 0.6509090909090909, 'evidence_precision': 0.6556776556776557, 'evidence_recall': 0.988950276243094, 'evidence_f1': 0.788546255506608, 'similarity_metrics': np.float32(0.3561672), 'contradiction': 0.9915818572044373}",
,,,,,,
,,,,,,
,,,,,,
,,"{'distance': 0.8877338877338877, 'evidence_accuracy': 0.564327485380117, 'evidence_precision': 0.560126582278481, 'evidence_recall': 0.946524064171123, 'evidence_f1': 0.7037773359840954, 'similarity_metrics': np.float32(0.73292613), 'contradiction': 0.7605763673782349}",,,,"{'distance': 0.1578947368421053, 'evidence_accuracy': 0.5, 'evidence_precision': 0.6481481481481481, 'evidence_recall': 0.18716577540106952, 'evidence_f1': 0.29045643153526973, 'similarity_metrics': np.float32(0.6531454), 'contradiction': 0.05427543818950653}"
,,"{'distance': 0.9467312348668281, 'evidence_accuracy': 0.8526466380543634, 'evidence_precision': 0.868995633187773, 'evidence_recall': 0.978688524590164, 'evidence_f1': 0.920585967617579, 'similarity_metrics': np.float32(0.7298938), 'contradiction': 0.9855819344520569}",,,,
,,,,,,"{'distance': 0.06588735387885225, 'evidence_accuracy': 0.4665249734325186, 'evidence_precision': 0.6935483870967742, 'evidence_recall': 0.0817490494296578, 'evidence_f1': 0.14625850340136057, 'similarity_metrics': np.float32(0.90746653), 'contradiction': 0.023729758337140083}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.04275534441805229, 'evidence_accuracy': 0.6068883610451307, 'evidence_precision': 0.5833333333333334, 'evidence_recall': 0.06231454005934718, 'evidence_f1': 0.11260053619302947, 'similarity_metrics': np.float32(0.9873834), 'contradiction': 0.15225544571876526}"
,"{'distance': 0.95, 'evidence_accuracy': 0.6731707317073171, 'evidence_precision': 0.6767169179229481, 'evidence_recall': 0.9805825242718447, 'evidence_f1': 0.8007928642220019, 'similarity_metrics': np.float32(0.7717113), 'contradiction': 0.9767036437988281}",,"{'distance': 0.9566395663956639, 'evidence_accuracy': 0.6764227642276422, 'evidence_precision': 0.67779632721202, 'evidence_recall': 0.9854368932038835, 'evidence_f1': 0.8031651829871415, 'similarity_metrics': np.float32(0.7721153), 'contradiction': 0.9744145274162292}",,"{'distance': 0.9528178243774574, 'evidence_accuracy': 0.6747967479674797, 'evidence_precision': 0.6760797342192691, 'evidence_recall': 0.9878640776699029, 'evidence_f1': 0.8027613412228797, 'similarity_metrics': np.float32(0.78452015), 'contradiction': 0.9669608473777771}",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.2671957671957672, 'evidence_accuracy': 0.6587301587301587, 'evidence_precision': 0.22772277227722773, 'evidence_recall': 0.3108108108108108, 'evidence_f1': 0.26285714285714284, 'similarity_metrics': np.float32(0.78386486), 'contradiction': 0.06865252554416656}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"{'distance': 0.9109390125847048, 'evidence_accuracy': 0.3701067615658363, 'evidence_precision': 0.35213032581453635, 'evidence_recall': 0.9525423728813559, 'evidence_f1': 0.5141811527904849, 'similarity_metrics': np.float32(0.8506704), 'contradiction': 0.011845486238598824}",,,,,,
,,,,,,
,,,,,,
,,"{'distance': 0.89501312335958, 'evidence_accuracy': 0.4753521126760563, 'evidence_precision': 0.4772727272727273, 'evidence_recall': 0.9197080291970803, 'evidence_f1': 0.628428927680798, 'similarity_metrics': np.float32(0.7884675), 'contradiction': 0.3262436091899872}",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"{'distance': 0.8960138648180243, 'evidence_accuracy': 0.3996023856858847, 'evidence_precision': 0.39789473684210525, 'evidence_recall': 0.9219512195121952, 'evidence_f1': 0.5558823529411765, 'similarity_metrics': np.float32(0.8127905), 'contradiction': 0.5618002414703369}",,,,,
,,,,,"{'distance': 0.39449541284403666, 'evidence_accuracy': 0.5758323057953144, 'evidence_precision': 0.2943221320973349, 'evidence_recall': 0.7627627627627628, 'evidence_f1': 0.42474916387959866, 'similarity_metrics': np.float32(0.9904801), 'contradiction': 0.9391340017318726}","{'distance': 0.1300863131935882, 'evidence_accuracy': 0.7373612823674476, 'evidence_precision': 0.2796208530805687, 'evidence_recall': 0.17717717717717718, 'evidence_f1': 0.21691176470588236, 'similarity_metrics': np.float32(0.65848875), 'contradiction': 0.796390950679779}"
,,,,,,"{'distance': 0.10034602076124566, 'evidence_accuracy': 0.6764705882352942, 'evidence_precision': 0.29310344827586204, 'evidence_recall': 0.10429447852760736, 'evidence_f1': 0.15384615384615383, 'similarity_metrics': np.float32(0.93196976), 'contradiction': 0.012759463861584663}"
,,,,,,
,,"{'distance': 0.9280261723009815, 'evidence_accuracy': 0.33678756476683935, 'evidence_precision': 0.3386034255599473, 'evidence_recall': 0.9625468164794008, 'evidence_f1': 0.5009746588693957, 'similarity_metrics': np.float32(0.85007113), 'contradiction': 0.9566769003868103}",,,,
,,,,,"{'distance': 0.6188565697091274, 'evidence_accuracy': 0.6551724137931034, 'evidence_precision': 0.6824457593688363, 'evidence_recall': 0.8141176470588235, 'evidence_f1': 0.7424892703862661, 'similarity_metrics': np.float32(0.92874986), 'contradiction': 0.980577826499939}",
,,,,,,
,,,,,,"{'distance': 0.042813455657492394, 'evidence_accuracy': 0.5840978593272171, 'evidence_precision': 0.5238095238095238, 'evidence_recall': 0.05365853658536585, 'evidence_f1': 0.09734513274336282, 'similarity_metrics': np.float32(0.91272986), 'contradiction': 0.07497486472129822}"
,,,,,,
,,,,,,
,,,,,"{'distance': 0.2733686067019401, 'evidence_accuracy': 0.5343642611683849, 'evidence_precision': 0.6235294117647059, 'evidence_recall': 0.33865814696485624, 'evidence_f1': 0.43892339544513465, 'similarity_metrics': np.float32(0.81750417), 'contradiction': 0.7553388476371765}","{'distance': 0.06529209621993126, 'evidence_accuracy': 0.46219931271477666, 'evidence_precision': 0.5, 'evidence_recall': 0.06070287539936102, 'evidence_f1': 0.10826210826210826, 'similarity_metrics': np.float32(0.96159315), 'contradiction': 0.23409239947795868}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"{'distance': 0.8166311300639659, 'evidence_accuracy': 0.37462235649546827, 'evidence_precision': 0.3460207612456747, 'evidence_recall': 0.847457627118644, 'evidence_f1': 0.49140049140049136, 'similarity_metrics': np.float32(0.763589), 'contradiction': 0.9594445824623108}",,,,,"{'distance': 0.9295774647887324, 'evidence_accuracy': 0.17522658610271905, 'evidence_precision': 0.2994791666666667, 'evidence_recall': 0.9663865546218487, 'evidence_f1': 0.4572564612326044, 'similarity_metrics': np.float32(0.81855863), 'contradiction': 0.9895581603050232}",
,,,,,,
,,"{'distance': 0.9718076285240465, 'evidence_accuracy': 0.356353591160221, 'evidence_precision': 0.3479887745556595, 'evidence_recall': 0.9946524064171123, 'evidence_f1': 0.5155925155925156, 'similarity_metrics': np.float32(0.78877604), 'contradiction': 0.08605633676052094}",,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.5357142857142857, 'evidence_precision': 0.6785714285714286, 'evidence_recall': 0.12418300653594772, 'evidence_f1': 0.2099447513812155, 'similarity_metrics': np.float32(0.9804709), 'contradiction': 0.1088513433933258}"
,,,,,,
,,,,,,
,,,,,,
,"{'distance': 0.8514851485148515, 'evidence_accuracy': 0.3326226012793177, 'evidence_precision': 0.2971698113207547, 'evidence_recall': 0.8936170212765957, 'evidence_f1': 0.4460176991150443, 'similarity_metrics': np.float32(0.7104238), 'contradiction': 0.5590305328369141}",,,,,
,,,,,,
,,,,,,"{'distance': 0.0919003115264797, 'evidence_accuracy': 0.6417445482866043, 'evidence_precision': 0.2542372881355932, 'evidence_recall': 0.07462686567164178, 'evidence_f1': 0.11538461538461538, 'similarity_metrics': np.float32(0.81611747), 'contradiction': 0.04937015473842621}"
,,,,,,
,,,,,,"{'distance': 0.04870129870129869, 'evidence_accuracy': 0.6818181818181818, 'evidence_precision': 0.4666666666666667, 'evidence_recall': 0.07216494845360824, 'evidence_f1': 0.125, 'similarity_metrics': np.float32(0.9564328), 'contradiction': 0.016580259427428246}"
,,,,,,
,"{'distance': 0.4955089820359282, 'evidence_accuracy': 0.44878048780487806, 'evidence_precision': 0.2768595041322314, 'evidence_recall': 0.5677966101694916, 'evidence_f1': 0.37222222222222223, 'similarity_metrics': np.float32(0.96405387), 'contradiction': 0.08665309846401215}",,"{'distance': 0.8680688336520077, 'evidence_accuracy': 0.3402439024390244, 'evidence_precision': 0.2969374167776298, 'evidence_recall': 0.9449152542372882, 'evidence_f1': 0.4518743667679837, 'similarity_metrics': np.float32(0.91465425), 'contradiction': 0.009660312905907631}",,,"{'distance': 0.04634146341463419, 'evidence_accuracy': 0.7, 'evidence_precision': 0.3684210526315789, 'evidence_recall': 0.059322033898305086, 'evidence_f1': 0.10218978102189781, 'similarity_metrics': np.float32(0.8427935), 'contradiction': 0.0979587584733963}"
,,,,,,"{'distance': 0.19521912350597614, 'evidence_accuracy': 0.7768924302788844, 'evidence_precision': 0.10204081632653061, 'evidence_recall': 0.29411764705882354, 'evidence_f1': 0.15151515151515152, 'similarity_metrics': np.float32(0.7964576), 'contradiction': 0.06024499982595444}"
"{'distance': 0.16490486257928116, 'evidence_accuracy': 0.6535750251762337, 'evidence_precision': 0.2714285714285714, 'evidence_recall': 0.22983870967741934, 'evidence_f1': 0.24890829694323144, 'similarity_metrics': np.float32(0.89171803), 'contradiction': 0.9279758930206299}",,,,,,
,,,,,,"{'distance': 0.040100250626566414, 'evidence_accuracy': 0.5238095238095238, 'evidence_precision': 0.5625, 'evidence_recall': 0.046875, 'evidence_f1': 0.08653846153846154, 'similarity_metrics': np.float32(0.9778253), 'contradiction': 0.15910491347312927}"
,,,,,,
,,"{'distance': 0.9011786038077969, 'evidence_accuracy': 0.26586888657648283, 'evidence_precision': 0.23373759647188533, 'evidence_recall': 0.952808988764045, 'evidence_f1': 0.37538733953076586, 'similarity_metrics': np.float32(0.8817319), 'contradiction': 0.014503570273518562}",,,,"{'distance': 0.012486992715920908, 'evidence_accuracy': 0.7695109261186265, 'evidence_precision': 0.5416666666666666, 'evidence_recall': 0.029213483146067417, 'evidence_f1': 0.05543710021321962, 'similarity_metrics': np.float32(0.9550609), 'contradiction': 0.0076405927538871765}"
,,,"{'distance': 0.9701897018970189, 'evidence_accuracy': 0.16666666666666666, 'evidence_precision': 0.152276295133438, 'evidence_recall': 1.0, 'evidence_f1': 0.26430517711171664, 'similarity_metrics': np.float32(0.5388684), 'contradiction': 0.44302791357040405}",,"{'distance': 0.924433249370277, 'evidence_accuracy': 0.18981481481481483, 'evidence_precision': 0.15372168284789645, 'evidence_recall': 0.979381443298969, 'evidence_f1': 0.2657342657342657, 'similarity_metrics': np.float32(0.43101498), 'contradiction': 0.8101183176040649}","{'distance': 0.04629629629629628, 'evidence_accuracy': 0.8348765432098766, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.10309278350515463, 'evidence_f1': 0.1574803149606299, 'similarity_metrics': np.float32(0.9090386), 'contradiction': 0.12202595919370651}"
,,,,,,"{'distance': 0.03796445880452337, 'evidence_accuracy': 0.7520193861066236, 'evidence_precision': 0.3191489361702128, 'evidence_recall': 0.05172413793103448, 'evidence_f1': 0.08902077151335311, 'similarity_metrics': np.float32(0.9704809), 'contradiction': 0.012137905694544315}"
,"{'distance': 0.9695431472081218, 'evidence_accuracy': 0.1563380281690141, 'evidence_precision': 0.14469914040114612, 'evidence_recall': 0.9805825242718447, 'evidence_f1': 0.2521847690387016, 'similarity_metrics': np.float32(0.5828365), 'contradiction': 0.05971159785985947}",,"{'distance': 0.9695431472081218, 'evidence_accuracy': 0.1563380281690141, 'evidence_precision': 0.14469914040114612, 'evidence_recall': 0.9805825242718447, 'evidence_f1': 0.2521847690387016, 'similarity_metrics': np.float32(0.5899781), 'contradiction': 0.06586296856403351}",,,"{'distance': 0.08591549295774648, 'evidence_accuracy': 0.7774647887323943, 'evidence_precision': 0.06349206349206349, 'evidence_recall': 0.038834951456310676, 'evidence_f1': 0.048192771084337345, 'similarity_metrics': np.float32(0.9588509), 'contradiction': 0.06811633706092834}"
,,,,,,
,,,,,,
"{'distance': 0.14968553459119494, 'evidence_accuracy': 0.7474489795918368, 'evidence_precision': 0.23636363636363636, 'evidence_recall': 0.18571428571428572, 'evidence_f1': 0.20800000000000002, 'similarity_metrics': np.float32(0.98790133), 'contradiction': 0.9632662534713745}",,,,"{'distance': 0.6057692307692308, 'evidence_accuracy': 0.4107142857142857, 'evidence_precision': 0.20074349442379183, 'evidence_recall': 0.7714285714285715, 'evidence_f1': 0.3185840707964602, 'similarity_metrics': np.float32(0.96195155), 'contradiction': 0.819187581539154}","{'distance': 0.6, 'evidence_accuracy': 0.40561224489795916, 'evidence_precision': 0.1947565543071161, 'evidence_recall': 0.7428571428571429, 'evidence_f1': 0.3086053412462908, 'similarity_metrics': np.float32(0.9689837), 'contradiction': 0.8521981239318848}","{'distance': 0.14030612244897955, 'evidence_accuracy': 0.7321428571428571, 'evidence_precision': 0.18181818181818182, 'evidence_recall': 0.14285714285714285, 'evidence_f1': 0.16, 'similarity_metrics': np.float32(0.8001105), 'contradiction': 0.5885244011878967}"
,,,,,,"{'distance': 0.014285714285714235, 'evidence_accuracy': 0.8660714285714286, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9843784), 'contradiction': 0.041256193071603775}"
,,,,,,"{'distance': 0.04438280166435504, 'evidence_accuracy': 0.7489597780859917, 'evidence_precision': 0.5, 'evidence_recall': 0.08839779005524862, 'evidence_f1': 0.15023474178403756, 'similarity_metrics': np.float32(0.9370079), 'contradiction': 0.019669940695166588}"
,,,,,,
,,,,,,
,"{'distance': 0.4444444444444444, 'evidence_accuracy': 0.4691729323308271, 'evidence_precision': 0.08115942028985507, 'evidence_recall': 0.4375, 'evidence_f1': 0.13691931540342295, 'similarity_metrics': np.float32(0.9848796), 'contradiction': 0.13306882977485657}",,"{'distance': 0.4535901926444834, 'evidence_accuracy': 0.4781954887218045, 'evidence_precision': 0.09915014164305949, 'evidence_recall': 0.546875, 'evidence_f1': 0.16786570743405277, 'similarity_metrics': np.float32(0.98392713), 'contradiction': 0.13095088303089142}",,,"{'distance': 0.0390977443609023, 'evidence_accuracy': 0.8887218045112782, 'evidence_precision': 0.3076923076923077, 'evidence_recall': 0.125, 'evidence_f1': 0.17777777777777778, 'similarity_metrics': np.float32(0.9092159), 'contradiction': 0.11128616333007812}"
,,,,,,"{'distance': 0.12972085385878485, 'evidence_accuracy': 0.8013136288998358, 'evidence_precision': 0.05063291139240506, 'evidence_recall': 0.08, 'evidence_f1': 0.06201550387596899, 'similarity_metrics': np.float32(0.92043424), 'contradiction': 0.05301106721162796}"
,,,,,,"{'distance': 0.03260869565217395, 'evidence_accuracy': 0.7844202898550725, 'evidence_precision': 0.1111111111111111, 'evidence_recall': 0.01904761904761905, 'evidence_f1': 0.032520325203252036, 'similarity_metrics': np.float32(0.93612444), 'contradiction': 0.1934313327074051}"
,,,,,,"{'distance': 0.0376314333148865, 'evidence_accuracy': 0.7293857221914776, 'evidence_precision': 0.11764705882352941, 'evidence_recall': 0.018306636155606407, 'evidence_f1': 0.031683168316831684, 'similarity_metrics': np.float32(0.90158767), 'contradiction': 0.020914748311042786}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.04195804195804198, 'evidence_accuracy': 0.8694638694638694, 'evidence_precision': 0.1388888888888889, 'evidence_recall': 0.05813953488372093, 'evidence_f1': 0.0819672131147541, 'similarity_metrics': np.float32(0.97845405), 'contradiction': 0.012439637444913387}"
,,"{'distance': 0.5461801596351197, 'evidence_accuracy': 0.3767857142857143, 'evidence_precision': 0.2430939226519337, 'evidence_recall': 0.5398773006134969, 'evidence_f1': 0.3352380952380952, 'similarity_metrics': np.float32(0.9519875), 'contradiction': 0.009611135348677635}",,,,"{'distance': 0.05892857142857144, 'evidence_accuracy': 0.675, 'evidence_precision': 0.21212121212121213, 'evidence_recall': 0.04294478527607362, 'evidence_f1': 0.07142857142857142, 'similarity_metrics': np.float32(0.923236), 'contradiction': 0.2614841163158417}"
,,,,,,"{'distance': 0.06717226435536294, 'evidence_accuracy': 0.8104008667388949, 'evidence_precision': 0.1935483870967742, 'evidence_recall': 0.08759124087591241, 'evidence_f1': 0.12060301507537688, 'similarity_metrics': np.float32(0.94999504), 'contradiction': 0.05661142244935036}"
,,,,,,"{'distance': 0.021292217327459673, 'evidence_accuracy': 0.7305433186490455, 'evidence_precision': 0.2, 'evidence_recall': 0.017191977077363897, 'evidence_f1': 0.0316622691292876, 'similarity_metrics': np.float32(0.99481606), 'contradiction': 0.002897685393691063}"
,,,,,,"{'distance': 0.039019963702359384, 'evidence_accuracy': 0.7404718693284936, 'evidence_precision': 0.4418604651162791, 'evidence_recall': 0.06761565836298933, 'evidence_f1': 0.11728395061728396, 'similarity_metrics': np.float32(0.9746916), 'contradiction': 0.06155751273036003}"
"{'distance': 0.44392279603547213, 'evidence_accuracy': 0.49684400360685305, 'evidence_precision': 0.20552677029360966, 'evidence_recall': 0.5483870967741935, 'evidence_f1': 0.2989949748743719, 'similarity_metrics': np.float32(0.9488553), 'contradiction': 0.03310754522681236}","{'distance': 0.4012474012474012, 'evidence_accuracy': 0.5401262398557258, 'evidence_precision': 0.22820037105751392, 'evidence_recall': 0.5668202764976958, 'evidence_f1': 0.32539682539682546, 'similarity_metrics': np.float32(0.97689295), 'contradiction': 0.014444748871028423}",,"{'distance': 0.40436590436590436, 'evidence_accuracy': 0.5229936880072137, 'evidence_precision': 0.21217712177121772, 'evidence_recall': 0.5299539170506913, 'evidence_f1': 0.30303030303030304, 'similarity_metrics': np.float32(0.97612184), 'contradiction': 0.02970651350915432}","{'distance': 0.24598393574297184, 'evidence_accuracy': 0.7069431920649234, 'evidence_precision': 0.35, 'evidence_recall': 0.5806451612903226, 'evidence_f1': 0.43674176776429807, 'similarity_metrics': np.float32(0.8751918), 'contradiction': 0.4969218373298645}","{'distance': 0.21997981836528757, 'evidence_accuracy': 0.7096483318304779, 'evidence_precision': 0.34513274336283184, 'evidence_recall': 0.5391705069124424, 'evidence_f1': 0.420863309352518, 'similarity_metrics': np.float32(0.8702887), 'contradiction': 0.28997692465782166}","{'distance': 0.08656447249774568, 'evidence_accuracy': 0.7538322813345356, 'evidence_precision': 0.20833333333333334, 'evidence_recall': 0.09216589861751152, 'evidence_f1': 0.12779552715654952, 'similarity_metrics': np.float32(0.95077634), 'contradiction': 0.014485101215541363}"
