e-persona-human,e-persona-you,e-chain-of-thought,baseline,e-chat-history,e-implcit-target
"{'closeness': 0.929329794293298, 'similarity_metrics': 0.98135805, 'contradiction': 0.9190620183944702, 'evidence_accuracy': 0.7907692307692308, 'evidence_precision': 0.6808510638297872, 'evidence_recall': 0.20915032679738563, 'evidence_f1': 0.31999999999999995, 'crest_accuracy': 0.45054945054945056, 'crest_precision': 0.6, 'crest_recall': 0.15639810426540285, 'crest_f1': 0.24812030075187969}","{'closeness': 0.9737889847378899, 'similarity_metrics': 0.9948704, 'contradiction': 0.7148176431655884, 'evidence_accuracy': 0.7861538461538462, 'evidence_precision': 0.85, 'evidence_recall': 0.1111111111111111, 'evidence_f1': 0.19653179190751446, 'crest_accuracy': 0.4423076923076923, 'crest_precision': 0.6538461538461539, 'crest_recall': 0.08056872037914692, 'crest_f1': 0.14345991561181437}","{'closeness': 0.9515593895155939, 'similarity_metrics': 0.98915327, 'contradiction': 0.6714246869087219, 'evidence_accuracy': 0.8, 'evidence_precision': 0.8709677419354839, 'evidence_recall': 0.17647058823529413, 'evidence_f1': 0.29347826086956524, 'crest_accuracy': 0.45054945054945056, 'crest_precision': 0.627906976744186, 'crest_recall': 0.12796208530805686, 'crest_f1': 0.21259842519685038}","{'closeness': 0.9508958195089582, 'similarity_metrics': 0.978128, 'contradiction': 0.9236750602722168, 'evidence_accuracy': 0.803076923076923, 'evidence_precision': 0.9032258064516129, 'evidence_recall': 0.1830065359477124, 'evidence_f1': 0.30434782608695654, 'crest_accuracy': 0.4478021978021978, 'crest_precision': 0.6136363636363636, 'crest_recall': 0.12796208530805686, 'crest_f1': 0.21176470588235294}","{'closeness': 0.9260119442601195, 'similarity_metrics': 0.9883561, 'contradiction': 0.9798513054847717, 'evidence_accuracy': 0.7830769230769231, 'evidence_precision': 0.625, 'evidence_recall': 0.19607843137254902, 'evidence_f1': 0.29850746268656714, 'crest_accuracy': 0.4642857142857143, 'crest_precision': 0.6739130434782609, 'crest_recall': 0.14691943127962084, 'crest_f1': 0.2412451361867704}","{'closeness': 0.9183808891838089, 'similarity_metrics': 0.985005, 'contradiction': 0.9615188837051392, 'evidence_accuracy': 0.7753846153846153, 'evidence_precision': 0.5714285714285714, 'evidence_recall': 0.1830065359477124, 'evidence_f1': 0.2772277227722772, 'crest_accuracy': 0.4642857142857143, 'crest_precision': 0.6538461538461539, 'crest_recall': 0.16113744075829384, 'crest_f1': 0.2585551330798479}"
"{'closeness': 0.8656188605108055, 'similarity_metrics': 0.93375134, 'contradiction': 0.9613442420959473, 'evidence_accuracy': 0.4448336252189142, 'evidence_precision': 0.325, 'evidence_recall': 0.5073170731707317, 'evidence_f1': 0.3961904761904762, 'crest_accuracy': 0.45426829268292684, 'crest_precision': 0.5677083333333334, 'crest_recall': 0.5317073170731708, 'crest_f1': 0.5491183879093199}","{'closeness': 0.4597249508840865, 'similarity_metrics': 0.91806084, 'contradiction': 0.5670897960662842, 'evidence_accuracy': 0.43257443082311736, 'evidence_precision': 0.37681159420289856, 'evidence_recall': 0.8878048780487805, 'evidence_f1': 0.5290697674418604, 'crest_accuracy': 0.6371951219512195, 'crest_precision': 0.6628787878787878, 'crest_recall': 0.8536585365853658, 'crest_f1': 0.7462686567164178}","{'closeness': 0.9654223968565815, 'similarity_metrics': 0.99710214, 'contradiction': 0.820824146270752, 'evidence_accuracy': 0.6357267950963222, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.04390243902439024, 'evidence_f1': 0.07964601769911504, 'crest_accuracy': 0.4024390243902439, 'crest_precision': 0.8461538461538461, 'crest_recall': 0.05365853658536585, 'crest_f1': 0.10091743119266054}","{'closeness': 0.38074656188605105, 'similarity_metrics': 0.8659376, 'contradiction': 0.045626647770404816, 'evidence_accuracy': 0.38353765323992994, 'evidence_precision': 0.35445544554455444, 'evidence_recall': 0.8731707317073171, 'evidence_f1': 0.504225352112676, 'crest_accuracy': 0.5853658536585366, 'crest_precision': 0.6161616161616161, 'crest_recall': 0.8926829268292683, 'crest_f1': 0.7290836653386454}","{'closeness': 0.9528487229862476, 'similarity_metrics': 0.9947932, 'contradiction': 0.8088914752006531, 'evidence_accuracy': 0.649737302977233, 'evidence_precision': 0.5862068965517241, 'evidence_recall': 0.08292682926829269, 'evidence_f1': 0.1452991452991453, 'crest_accuracy': 0.4024390243902439, 'crest_precision': 0.8461538461538461, 'crest_recall': 0.05365853658536585, 'crest_f1': 0.10091743119266054}","{'closeness': 0.6113948919449902, 'similarity_metrics': 0.9628652, 'contradiction': 0.9809550642967224, 'evidence_accuracy': 0.4395796847635727, 'evidence_precision': 0.36596736596736595, 'evidence_recall': 0.7658536585365854, 'evidence_f1': 0.49526813880126186, 'crest_accuracy': 0.6280487804878049, 'crest_precision': 0.6707818930041153, 'crest_recall': 0.7951219512195122, 'crest_f1': 0.7276785714285715}"
"{'closeness': 1.0, 'similarity_metrics': 1.0000002, 'contradiction': 0.029173539951443672, 'evidence_accuracy': 0.4600231749710313, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 1.0000002, 'contradiction': 0.029173539951443672, 'evidence_accuracy': 0.4600231749710313, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9403131115459883, 'similarity_metrics': 1.0000002, 'contradiction': 0.029173539951443672, 'evidence_accuracy': 0.5104287369640788, 'evidence_precision': 0.9065420560747663, 'evidence_recall': 0.10407725321888411, 'evidence_f1': 0.1867179980750722, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 1.0000002, 'contradiction': 0.029173539951443672, 'evidence_accuracy': 0.4600231749710313, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 1.0000002, 'contradiction': 0.029173539951443672, 'evidence_accuracy': 0.4600231749710313, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 1.0000002, 'contradiction': 0.029173539951443672, 'evidence_accuracy': 0.4600231749710313, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 0.8418079096045198, 'similarity_metrics': 0.9849222, 'contradiction': 0.9867417216300964, 'evidence_accuracy': 0.5413135593220338, 'evidence_precision': 0.4134831460674157, 'evidence_recall': 0.5168539325842697, 'evidence_f1': 0.45942571785268416, 'crest_accuracy': 0.39325842696629215, 'crest_precision': 0.5081081081081081, 'crest_recall': 0.4292237442922374, 'crest_f1': 0.4653465346534653}","{'closeness': 0.8389830508474576, 'similarity_metrics': 0.9849222, 'contradiction': 0.9867417216300964, 'evidence_accuracy': 0.5413135593220338, 'evidence_precision': 0.4134831460674157, 'evidence_recall': 0.5168539325842697, 'evidence_f1': 0.45942571785268416, 'crest_accuracy': 0.39325842696629215, 'crest_precision': 0.5081081081081081, 'crest_recall': 0.4292237442922374, 'crest_f1': 0.4653465346534653}","{'closeness': 0.910039113428944, 'similarity_metrics': 0.9942046, 'contradiction': 0.9916921854019165, 'evidence_accuracy': 0.6917372881355932, 'evidence_precision': 0.8494623655913979, 'evidence_recall': 0.22191011235955055, 'evidence_f1': 0.35189309576837413, 'crest_accuracy': 0.41853932584269665, 'crest_precision': 1.0, 'crest_recall': 0.05045871559633028, 'crest_f1': 0.09606986899563319}","{'closeness': 0.8422425032594524, 'similarity_metrics': 0.9849222, 'contradiction': 0.9867417216300964, 'evidence_accuracy': 0.5434322033898306, 'evidence_precision': 0.4161073825503356, 'evidence_recall': 0.5224719101123596, 'evidence_f1': 0.46326276463262767, 'crest_accuracy': 0.39325842696629215, 'crest_precision': 0.5081081081081081, 'crest_recall': 0.4292237442922374, 'crest_f1': 0.4653465346534653}","{'closeness': 0.8357235984354628, 'similarity_metrics': 0.95626104, 'contradiction': 0.9586319923400879, 'evidence_accuracy': 0.5497881355932204, 'evidence_precision': 0.42417582417582417, 'evidence_recall': 0.5421348314606742, 'evidence_f1': 0.4759556103575832, 'crest_accuracy': 0.4101123595505618, 'crest_precision': 0.5276073619631901, 'crest_recall': 0.3926940639269406, 'crest_f1': 0.45026178010471196}","{'closeness': 0.8565840938722294, 'similarity_metrics': 0.98413706, 'contradiction': 0.988643229007721, 'evidence_accuracy': 0.548728813559322, 'evidence_precision': 0.42081447963800905, 'evidence_recall': 0.5224719101123596, 'evidence_f1': 0.46616541353383456, 'crest_accuracy': 0.40730337078651685, 'crest_precision': 0.525, 'crest_recall': 0.3835616438356164, 'crest_f1': 0.4432717678100264}"
"{'closeness': 0.8129194630872483, 'similarity_metrics': 0.9759058, 'contradiction': 0.9768491387367249, 'evidence_accuracy': 0.4918639053254438, 'evidence_precision': 0.3740685543964232, 'evidence_recall': 0.48455598455598453, 'evidence_f1': 0.42220353238015135, 'crest_accuracy': 0.3314285714285714, 'crest_precision': 0.4153225806451613, 'crest_recall': 0.5364583333333334, 'crest_f1': 0.4681818181818182}","{'closeness': 0.9188965972910472, 'similarity_metrics': 0.9862298, 'contradiction': 0.9793134331703186, 'evidence_accuracy': 0.6116863905325444, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 0.08108108108108109, 'evidence_f1': 0.13793103448275865, 'crest_accuracy': 0.4942857142857143, 'crest_precision': 0.7419354838709677, 'crest_recall': 0.11979166666666667, 'crest_f1': 0.2062780269058296}","{'closeness': 0.9409395973154362, 'similarity_metrics': 0.9790257, 'contradiction': 0.9738397598266602, 'evidence_accuracy': 0.643491124260355, 'evidence_precision': 0.7195121951219512, 'evidence_recall': 0.1138996138996139, 'evidence_f1': 0.19666666666666666, 'crest_accuracy': 0.4657142857142857, 'crest_precision': 0.6086956521739131, 'crest_recall': 0.07291666666666667, 'crest_f1': 0.13023255813953488}","{'closeness': 0.9339763845002494, 'similarity_metrics': 0.9862298, 'contradiction': 0.9793134331703186, 'evidence_accuracy': 0.6124260355029586, 'evidence_precision': 0.4583333333333333, 'evidence_recall': 0.0637065637065637, 'evidence_f1': 0.111864406779661, 'crest_accuracy': 0.4942857142857143, 'crest_precision': 0.7419354838709677, 'crest_recall': 0.11979166666666667, 'crest_f1': 0.2062780269058296}","{'closeness': 0.8156040268456376, 'similarity_metrics': 0.97322166, 'contradiction': 0.9868413209915161, 'evidence_accuracy': 0.6760355029585798, 'evidence_precision': 0.6550387596899225, 'evidence_recall': 0.32625482625482627, 'evidence_f1': 0.4355670103092784, 'crest_accuracy': 0.4257142857142857, 'crest_precision': 0.44155844155844154, 'crest_recall': 0.17708333333333334, 'crest_f1': 0.2527881040892193}","{'closeness': 0.8359060402684564, 'similarity_metrics': 0.9761121, 'contradiction': 0.9632644653320312, 'evidence_accuracy': 0.5118343195266272, 'evidence_precision': 0.3767361111111111, 'evidence_recall': 0.4189189189189189, 'evidence_f1': 0.396709323583181, 'crest_accuracy': 0.3314285714285714, 'crest_precision': 0.4110169491525424, 'crest_recall': 0.5052083333333334, 'crest_f1': 0.45327102803738323}"
"{'closeness': 1.0, 'similarity_metrics': 1.0000001, 'contradiction': 0.009325037710368633, 'evidence_accuracy': 0.788235294117647, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39705882352941174, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 1.0000001, 'contradiction': 0.009325037710368633, 'evidence_accuracy': 0.788235294117647, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39705882352941174, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.8749181401440733, 'similarity_metrics': 0.9570194, 'contradiction': 0.6717727184295654, 'evidence_accuracy': 0.7264705882352941, 'evidence_precision': 0.2, 'evidence_recall': 0.09722222222222222, 'evidence_f1': 0.13084112149532712, 'crest_accuracy': 0.4588235294117647, 'crest_precision': 0.8, 'crest_recall': 0.13658536585365855, 'crest_f1': 0.23333333333333334}","{'closeness': 0.8867059593975115, 'similarity_metrics': 0.9885173, 'contradiction': 0.6905852556228638, 'evidence_accuracy': 0.7352941176470589, 'evidence_precision': 0.17857142857142858, 'evidence_recall': 0.06944444444444445, 'evidence_f1': 0.1, 'crest_accuracy': 0.43823529411764706, 'crest_precision': 0.75, 'crest_recall': 0.1024390243902439, 'crest_f1': 0.18025751072961374}","{'closeness': 0.8925998690242305, 'similarity_metrics': 0.986007, 'contradiction': 0.23800630867481232, 'evidence_accuracy': 0.7294117647058823, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.06944444444444445, 'evidence_f1': 0.09803921568627451, 'crest_accuracy': 0.4441176470588235, 'crest_precision': 0.7666666666666667, 'crest_recall': 0.11219512195121951, 'crest_f1': 0.19574468085106383}","{'closeness': 1.0, 'similarity_metrics': 1.0000001, 'contradiction': 0.009325037710368633, 'evidence_accuracy': 0.788235294117647, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39705882352941174, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 0.822928936003141, 'similarity_metrics': 0.8998673, 'contradiction': 0.9595736265182495, 'evidence_accuracy': 0.5027522935779817, 'evidence_precision': 0.021660649819494584, 'evidence_recall': 1.0, 'evidence_f1': 0.04240282685512367, 'crest_accuracy': 0.5506849315068493, 'crest_precision': 0.6494252873563219, 'crest_recall': 0.5231481481481481, 'crest_f1': 0.5794871794871795}","{'closeness': 0.8633686690223793, 'similarity_metrics': 0.91296124, 'contradiction': 0.9599931240081787, 'evidence_accuracy': 0.5266055045871559, 'evidence_precision': 0.022727272727272728, 'evidence_recall': 1.0, 'evidence_f1': 0.044444444444444446, 'crest_accuracy': 0.5698630136986301, 'crest_precision': 0.6809815950920245, 'crest_recall': 0.5138888888888888, 'crest_f1': 0.5857519788918205}","{'closeness': 0.9226260257913247, 'similarity_metrics': 0.9307801, 'contradiction': 0.995468020439148, 'evidence_accuracy': 0.9376146788990826, 'evidence_precision': 0.13157894736842105, 'evidence_recall': 0.8333333333333334, 'evidence_f1': 0.22727272727272727, 'crest_accuracy': 0.4328767123287671, 'crest_precision': 0.6451612903225806, 'crest_recall': 0.09259259259259259, 'crest_f1': 0.16194331983805668}","{'closeness': 0.8201806046329014, 'similarity_metrics': 0.89534694, 'contradiction': 0.9599931240081787, 'evidence_accuracy': 0.5009174311926605, 'evidence_precision': 0.02158273381294964, 'evidence_recall': 1.0, 'evidence_f1': 0.04225352112676056, 'crest_accuracy': 0.547945205479452, 'crest_precision': 0.6457142857142857, 'crest_recall': 0.5231481481481481, 'crest_f1': 0.578005115089514}","{'closeness': 0.8784509202453987, 'similarity_metrics': 0.92430234, 'contradiction': 0.9964939951896667, 'evidence_accuracy': 0.8788990825688073, 'evidence_precision': 0.07142857142857142, 'evidence_recall': 0.8333333333333334, 'evidence_f1': 0.13157894736842105, 'crest_accuracy': 0.4712328767123288, 'crest_precision': 0.7254901960784313, 'crest_recall': 0.1712962962962963, 'crest_f1': 0.27715355805243447}","{'closeness': 0.7326266195524146, 'similarity_metrics': 0.886145, 'contradiction': 0.9668019413948059, 'evidence_accuracy': 0.44220183486238535, 'evidence_precision': 0.01935483870967742, 'evidence_recall': 1.0, 'evidence_f1': 0.0379746835443038, 'crest_accuracy': 0.5863013698630137, 'crest_precision': 0.6600985221674877, 'crest_recall': 0.6203703703703703, 'crest_f1': 0.639618138424821}"
"{'closeness': 0.9916958041958042, 'similarity_metrics': 0.9923477, 'contradiction': 0.9899436235427856, 'evidence_accuracy': 0.6021276595744681, 'evidence_precision': 0.2, 'evidence_recall': 0.005434782608695652, 'evidence_f1': 0.010582010582010581, 'crest_accuracy': 0.41033434650455924, 'crest_precision': 1.0, 'crest_recall': 0.02512562814070352, 'crest_f1': 0.049019607843137254}","{'closeness': 0.9908096280087527, 'similarity_metrics': 0.9984096, 'contradiction': 0.9417799115180969, 'evidence_accuracy': 0.6063829787234043, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.016304347826086956, 'evidence_f1': 0.031413612565445025, 'crest_accuracy': 0.4133738601823708, 'crest_precision': 1.0, 'crest_recall': 0.03015075376884422, 'crest_f1': 0.05853658536585366}","{'closeness': 0.9236842105263158, 'similarity_metrics': 0.9912801, 'contradiction': 0.9774088859558105, 'evidence_accuracy': 0.6106382978723405, 'evidence_precision': 0.509090909090909, 'evidence_recall': 0.15217391304347827, 'evidence_f1': 0.23430962343096234, 'crest_accuracy': 0.4072948328267477, 'crest_precision': 0.5769230769230769, 'crest_recall': 0.07537688442211055, 'crest_f1': 0.1333333333333333}","{'closeness': 0.989492119089317, 'similarity_metrics': 0.9984096, 'contradiction': 0.9417799115180969, 'evidence_accuracy': 0.6085106382978723, 'evidence_precision': 0.5, 'evidence_recall': 0.021739130434782608, 'evidence_f1': 0.041666666666666664, 'crest_accuracy': 0.4133738601823708, 'crest_precision': 1.0, 'crest_recall': 0.03015075376884422, 'crest_f1': 0.05853658536585366}","{'closeness': 0.8719298245614036, 'similarity_metrics': 0.98668766, 'contradiction': 0.9325263500213623, 'evidence_accuracy': 0.676595744680851, 'evidence_precision': 0.7285714285714285, 'evidence_recall': 0.27717391304347827, 'evidence_f1': 0.40157480314960636, 'crest_accuracy': 0.44984802431610943, 'crest_precision': 0.725, 'crest_recall': 0.1457286432160804, 'crest_f1': 0.24267782426778242}","{'closeness': 0.989063867016623, 'similarity_metrics': 0.99369764, 'contradiction': 0.9515430927276611, 'evidence_accuracy': 0.6106382978723405, 'evidence_precision': 0.5454545454545454, 'evidence_recall': 0.03260869565217391, 'evidence_f1': 0.061538461538461535, 'crest_accuracy': 0.4012158054711246, 'crest_precision': 0.5833333333333334, 'crest_recall': 0.035175879396984924, 'crest_f1': 0.06635071090047392}"
"{'closeness': 0.8467094703049759, 'similarity_metrics': 0.9610864, 'contradiction': 0.985385000705719, 'evidence_accuracy': 0.5899419729206963, 'evidence_precision': 0.2891566265060241, 'evidence_recall': 0.6728971962616822, 'evidence_f1': 0.4044943820224719, 'crest_accuracy': 0.5675675675675675, 'crest_precision': 0.6404494382022472, 'crest_recall': 0.5428571428571428, 'crest_f1': 0.5876288659793815}","{'closeness': 0.848314606741573, 'similarity_metrics': 0.96537197, 'contradiction': 0.9859166741371155, 'evidence_accuracy': 0.5725338491295938, 'evidence_precision': 0.2682926829268293, 'evidence_recall': 0.616822429906542, 'evidence_f1': 0.37393767705382436, 'crest_accuracy': 0.5486486486486486, 'crest_precision': 0.6228571428571429, 'crest_recall': 0.5190476190476191, 'crest_f1': 0.5662337662337663}","{'closeness': 0.8896468699839486, 'similarity_metrics': 0.96873057, 'contradiction': 0.9937259554862976, 'evidence_accuracy': 0.816247582205029, 'evidence_precision': 0.59375, 'evidence_recall': 0.35514018691588783, 'evidence_f1': 0.4444444444444444, 'crest_accuracy': 0.4972972972972973, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.14285714285714285, 'crest_f1': 0.2439024390243902}","{'closeness': 0.8354735152487962, 'similarity_metrics': 0.9592693, 'contradiction': 0.9853203892707825, 'evidence_accuracy': 0.5802707930367504, 'evidence_precision': 0.28174603174603174, 'evidence_recall': 0.6635514018691588, 'evidence_f1': 0.3955431754874652, 'crest_accuracy': 0.5675675675675675, 'crest_precision': 0.6388888888888888, 'crest_recall': 0.5476190476190477, 'crest_f1': 0.5897435897435898}","{'closeness': 0.8876404494382022, 'similarity_metrics': 0.98297834, 'contradiction': 0.9937788844108582, 'evidence_accuracy': 0.839458413926499, 'evidence_precision': 0.6875, 'evidence_recall': 0.411214953271028, 'evidence_f1': 0.5146198830409356, 'crest_accuracy': 0.5054054054054054, 'crest_precision': 0.9655172413793104, 'crest_recall': 0.13333333333333333, 'crest_f1': 0.23430962343096232}","{'closeness': 0.8314606741573034, 'similarity_metrics': 0.95924175, 'contradiction': 0.9858819246292114, 'evidence_accuracy': 0.5957446808510638, 'evidence_precision': 0.2992125984251969, 'evidence_recall': 0.7102803738317757, 'evidence_f1': 0.4210526315789474, 'crest_accuracy': 0.5783783783783784, 'crest_precision': 0.6451612903225806, 'crest_recall': 0.5714285714285714, 'crest_f1': 0.606060606060606}"
"{'closeness': 0.8289910600255428, 'similarity_metrics': 0.86764085, 'contradiction': 0.6359801292419434, 'evidence_accuracy': 0.7798780487804878, 'evidence_precision': 0.625, 'evidence_recall': 0.44419134396355353, 'evidence_f1': 0.5193075898801598, 'crest_accuracy': 0.19696969696969696, 'crest_precision': 0.38461538461538464, 'crest_recall': 0.5982905982905983, 'crest_f1': 0.46822742474916385}","{'closeness': 0.8518518518518519, 'similarity_metrics': 0.8839382, 'contradiction': 0.6422438025474548, 'evidence_accuracy': 0.7841463414634147, 'evidence_precision': 0.660377358490566, 'evidence_recall': 0.39863325740318906, 'evidence_f1': 0.4971590909090909, 'crest_accuracy': 0.37626262626262624, 'crest_precision': 0.47058823529411764, 'crest_recall': 0.4444444444444444, 'crest_f1': 0.45714285714285713}","{'closeness': 0.9139208173690933, 'similarity_metrics': 0.9358945, 'contradiction': 0.9656248688697815, 'evidence_accuracy': 0.7817073170731708, 'evidence_precision': 0.8, 'evidence_recall': 0.2460136674259681, 'evidence_f1': 0.37630662020905925, 'crest_accuracy': 0.5151515151515151, 'crest_precision': 0.7837837837837838, 'crest_recall': 0.24786324786324787, 'crest_f1': 0.37662337662337664}","{'closeness': 0.5478927203065134, 'similarity_metrics': 0.8733268, 'contradiction': 0.6422438025474548, 'evidence_accuracy': 0.6018292682926829, 'evidence_precision': 0.36139896373056996, 'evidence_recall': 0.6355353075170843, 'evidence_f1': 0.4607762180016515, 'crest_accuracy': 0.3484848484848485, 'crest_precision': 0.45121951219512196, 'crest_recall': 0.47435897435897434, 'crest_f1': 0.46249999999999997}","{'closeness': 0.8099616858237548, 'similarity_metrics': 0.89411616, 'contradiction': 0.9173610210418701, 'evidence_accuracy': 0.8030487804878049, 'evidence_precision': 0.6695906432748538, 'evidence_recall': 0.5216400911161732, 'evidence_f1': 0.586427656850192, 'crest_accuracy': 0.45707070707070707, 'crest_precision': 0.5467980295566502, 'crest_recall': 0.47435897435897434, 'crest_f1': 0.5080091533180778}","{'closeness': 0.8646232439335888, 'similarity_metrics': 0.9157581, 'contradiction': 0.958350419998169, 'evidence_accuracy': 0.7780487804878049, 'evidence_precision': 0.6582278481012658, 'evidence_recall': 0.3553530751708428, 'evidence_f1': 0.46153846153846145, 'crest_accuracy': 0.4444444444444444, 'crest_precision': 0.5384615384615384, 'crest_recall': 0.4188034188034188, 'crest_f1': 0.4711538461538462}"
"{'closeness': 0.9385658914728682, 'similarity_metrics': 0.9881251, 'contradiction': 0.9919997453689575, 'evidence_accuracy': 0.5545023696682464, 'evidence_precision': 0.28493150684931506, 'evidence_recall': 0.33226837060702874, 'evidence_f1': 0.3067846607669616, 'crest_accuracy': 0.4946236559139785, 'crest_precision': 0.6641221374045801, 'crest_recall': 0.37662337662337664, 'crest_f1': 0.48066298342541436}","{'closeness': 0.9366279069767441, 'similarity_metrics': 0.99867445, 'contradiction': 0.976463794708252, 'evidence_accuracy': 0.5497630331753555, 'evidence_precision': 0.2774725274725275, 'evidence_recall': 0.3226837060702875, 'evidence_f1': 0.2983751846381093, 'crest_accuracy': 0.49193548387096775, 'crest_precision': 0.6693548387096774, 'crest_recall': 0.3593073593073593, 'crest_f1': 0.46760563380281683}","{'closeness': 0.9308139534883721, 'similarity_metrics': 0.9917202, 'contradiction': 0.9856032133102417, 'evidence_accuracy': 0.7061611374407583, 'evidence_precision': 0.5185185185185185, 'evidence_recall': 0.134185303514377, 'evidence_f1': 0.2131979695431472, 'crest_accuracy': 0.4274193548387097, 'crest_precision': 0.9090909090909091, 'crest_recall': 0.08658008658008658, 'crest_f1': 0.15810276679841898}","{'closeness': 0.9542635658914729, 'similarity_metrics': 0.99891233, 'contradiction': 0.976463794708252, 'evidence_accuracy': 0.5421800947867299, 'evidence_precision': 0.2571428571428571, 'evidence_recall': 0.28753993610223644, 'evidence_f1': 0.27149321266968324, 'crest_accuracy': 0.489247311827957, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.354978354978355, 'crest_f1': 0.4632768361581921}","{'closeness': 0.8974806201550387, 'similarity_metrics': 0.9881251, 'contradiction': 0.9919997453689575, 'evidence_accuracy': 0.5450236966824644, 'evidence_precision': 0.2875318066157761, 'evidence_recall': 0.3610223642172524, 'evidence_f1': 0.3201133144475921, 'crest_accuracy': 0.4946236559139785, 'crest_precision': 0.6641221374045801, 'crest_recall': 0.37662337662337664, 'crest_f1': 0.48066298342541436}","{'closeness': 0.7606424148606812, 'similarity_metrics': 0.9675802, 'contradiction': 0.9671226143836975, 'evidence_accuracy': 0.5279620853080569, 'evidence_precision': 0.30526315789473685, 'evidence_recall': 0.46325878594249204, 'evidence_f1': 0.36802030456852797, 'crest_accuracy': 0.5672043010752689, 'crest_precision': 0.7011494252873564, 'crest_recall': 0.5281385281385281, 'crest_f1': 0.6024691358024691}"
