baseline,e-persona-you,e-persona-human,e-implcit-target,e-chain-of-thought,e-chat-history
"{'closeness': 0.15251937984496122, 'similarity_metrics': 0.7457853, 'contradiction': 0.015147125348448753, 'evidence_accuracy': 0.2938388625592417, 'evidence_precision': 0.2869822485207101, 'evidence_recall': 0.9297124600638977, 'evidence_f1': 0.4385832705350415, 'crest_accuracy': 0.5483870967741935, 'crest_precision': 0.5851648351648352, 'crest_recall': 0.9260869565217391, 'crest_f1': 0.7171717171717172}","{'closeness': 0.17674418604651165, 'similarity_metrics': 0.82185316, 'contradiction': 0.06160750985145569, 'evidence_accuracy': 0.28720379146919434, 'evidence_precision': 0.2811565304087737, 'evidence_recall': 0.9009584664536742, 'evidence_f1': 0.42857142857142866, 'crest_accuracy': 0.6129032258064516, 'crest_precision': 0.6242774566473989, 'crest_recall': 0.9391304347826087, 'crest_f1': 0.75}","{'closeness': 0.1333333333333333, 'similarity_metrics': 0.7946222, 'contradiction': 0.037865232676267624, 'evidence_accuracy': 0.28151658767772514, 'evidence_precision': 0.28121927236971483, 'evidence_recall': 0.9137380191693291, 'evidence_f1': 0.43007518796992483, 'crest_accuracy': 0.5806451612903226, 'crest_precision': 0.6033519553072626, 'crest_recall': 0.9391304347826087, 'crest_f1': 0.7346938775510204}","{'closeness': 0.23468992248062015, 'similarity_metrics': 0.8379051, 'contradiction': 0.6760439872741699, 'evidence_accuracy': 0.3033175355450237, 'evidence_precision': 0.2898406374501992, 'evidence_recall': 0.9297124600638977, 'evidence_f1': 0.44191343963553537, 'crest_accuracy': 0.5779569892473119, 'crest_precision': 0.608955223880597, 'crest_recall': 0.8869565217391304, 'crest_f1': 0.7221238938053097}","{'closeness': 0.8346899224806201, 'similarity_metrics': 0.99193245, 'contradiction': 0.9858750700950623, 'evidence_accuracy': 0.6654028436018957, 'evidence_precision': 0.3901098901098901, 'evidence_recall': 0.2268370607028754, 'evidence_f1': 0.2868686868686869, 'crest_accuracy': 0.4327956989247312, 'crest_precision': 0.9130434782608695, 'crest_recall': 0.09130434782608696, 'crest_f1': 0.1660079051383399}","{'closeness': 0.8596899224806202, 'similarity_metrics': 0.9921689, 'contradiction': 0.9320798516273499, 'evidence_accuracy': 0.6644549763033175, 'evidence_precision': 0.37575757575757573, 'evidence_recall': 0.19808306709265175, 'evidence_f1': 0.25941422594142255, 'crest_accuracy': 0.42473118279569894, 'crest_precision': 0.9047619047619048, 'crest_recall': 0.08225108225108226, 'crest_f1': 0.1507936507936508}"
"{'closeness': 0.8984596676124847, 'similarity_metrics': 0.98926085, 'contradiction': 0.10664460808038712, 'evidence_accuracy': 0.506198347107438, 'evidence_precision': 0.22305764411027568, 'evidence_recall': 0.3463035019455253, 'evidence_f1': 0.2713414634146341, 'crest_accuracy': 0.4837758112094395, 'crest_precision': 0.6012269938650306, 'crest_recall': 0.47115384615384615, 'crest_f1': 0.5283018867924528}","{'closeness': 0.8352249695987028, 'similarity_metrics': 0.99444926, 'contradiction': 0.46434295177459717, 'evidence_accuracy': 0.5413223140495868, 'evidence_precision': 0.2945054945054945, 'evidence_recall': 0.5214007782101168, 'evidence_f1': 0.3764044943820225, 'crest_accuracy': 0.49557522123893805, 'crest_precision': 0.6107784431137725, 'crest_recall': 0.49038461538461536, 'crest_f1': 0.544}","{'closeness': 0.21848398865018237, 'similarity_metrics': 0.9081732, 'contradiction': 0.004181400407105684, 'evidence_accuracy': 0.21384297520661158, 'evidence_precision': 0.2509881422924901, 'evidence_recall': 0.9883268482490273, 'evidence_f1': 0.4003152088258471, 'crest_accuracy': 0.39233038348082594, 'crest_precision': 0.5026041666666666, 'crest_recall': 0.9278846153846154, 'crest_f1': 0.6520270270270271}","{'closeness': 0.24685853263072555, 'similarity_metrics': 0.9368376, 'contradiction': 0.4486062824726105, 'evidence_accuracy': 0.30888429752066116, 'evidence_precision': 0.27362637362637365, 'evidence_recall': 0.9688715953307393, 'evidence_f1': 0.4267352185089974, 'crest_accuracy': 0.6194690265486725, 'crest_precision': 0.6348122866894198, 'crest_recall': 0.8942307692307693, 'crest_f1': 0.7425149700598802}","{'closeness': 0.8471828131333603, 'similarity_metrics': 0.99968004, 'contradiction': 0.2502700388431549, 'evidence_accuracy': 0.7758264462809917, 'evidence_precision': 0.6204819277108434, 'evidence_recall': 0.40077821011673154, 'evidence_f1': 0.4869976359338062, 'crest_accuracy': 0.3864306784660767, 'crest_precision': 0.5, 'crest_recall': 0.004807692307692308, 'crest_f1': 0.009523809523809525}","{'closeness': 0.22355087150385078, 'similarity_metrics': 0.9371462, 'contradiction': 0.06380493193864822, 'evidence_accuracy': 0.3181818181818182, 'evidence_precision': 0.26918671248568155, 'evidence_recall': 0.914396887159533, 'evidence_f1': 0.415929203539823, 'crest_accuracy': 0.5103244837758112, 'crest_precision': 0.5860655737704918, 'crest_recall': 0.6875, 'crest_f1': 0.6327433628318584}"
"{'closeness': 0.21139327385037754, 'similarity_metrics': 0.9185234, 'contradiction': 0.49936196208000183, 'evidence_accuracy': 0.3548922056384743, 'evidence_precision': 0.3421985815602837, 'evidence_recall': 0.9146919431279621, 'evidence_f1': 0.49806451612903235, 'crest_accuracy': 0.4803370786516854, 'crest_precision': 0.5281501340482574, 'crest_recall': 0.9563106796116505, 'crest_f1': 0.680483592400691}","{'closeness': 0.21413864104323954, 'similarity_metrics': 0.91885614, 'contradiction': 0.6164070963859558, 'evidence_accuracy': 0.3482587064676617, 'evidence_precision': 0.33691756272401435, 'evidence_recall': 0.8909952606635071, 'evidence_f1': 0.4889466840052016, 'crest_accuracy': 0.598314606741573, 'crest_precision': 0.595166163141994, 'crest_recall': 0.9563106796116505, 'crest_f1': 0.7337057728119181}","{'closeness': 0.45229924502402197, 'similarity_metrics': 0.9505756, 'contradiction': 0.03734934329986572, 'evidence_accuracy': 0.4560530679933665, 'evidence_precision': 0.3763213530655391, 'evidence_recall': 0.8436018957345972, 'evidence_f1': 0.5204678362573099, 'crest_accuracy': 0.601123595505618, 'crest_precision': 0.6300813008130082, 'crest_recall': 0.7524271844660194, 'crest_f1': 0.6858407079646017}","{'closeness': 0.2889498970487303, 'similarity_metrics': 0.74981713, 'contradiction': 0.00391174852848053, 'evidence_accuracy': 0.34328358208955223, 'evidence_precision': 0.3396880415944541, 'evidence_recall': 0.9289099526066351, 'evidence_f1': 0.49746192893401014, 'crest_accuracy': 0.5898876404494382, 'crest_precision': 0.5887573964497042, 'crest_recall': 0.9660194174757282, 'crest_f1': 0.7316176470588235}","{'closeness': 0.8730267673301304, 'similarity_metrics': 0.9920614, 'contradiction': 0.939532995223999, 'evidence_accuracy': 0.703150912106136, 'evidence_precision': 0.6739130434782609, 'evidence_recall': 0.2938388625592417, 'evidence_f1': 0.4092409240924092, 'crest_accuracy': 0.4606741573033708, 'crest_precision': 0.7916666666666666, 'crest_recall': 0.09223300970873786, 'crest_f1': 0.16521739130434784}","{'closeness': 0.3222374742621825, 'similarity_metrics': 0.9186338, 'contradiction': 0.7403260469436646, 'evidence_accuracy': 0.4560530679933665, 'evidence_precision': 0.3798767967145791, 'evidence_recall': 0.8767772511848341, 'evidence_f1': 0.5300859598853869, 'crest_accuracy': 0.6713483146067416, 'crest_precision': 0.6772908366533864, 'crest_recall': 0.8252427184466019, 'crest_f1': 0.7439824945295405}"
"{'closeness': 0.534489118406492, 'similarity_metrics': 0.9520612, 'contradiction': 0.8841765522956848, 'evidence_accuracy': 0.5640138408304498, 'evidence_precision': 0.5382932166301969, 'evidence_recall': 0.8571428571428571, 'evidence_f1': 0.6612903225806451, 'crest_accuracy': 0.5781710914454278, 'crest_precision': 0.6099585062240664, 'crest_recall': 0.75, 'crest_f1': 0.6727688787185355}","{'closeness': 0.648100331980819, 'similarity_metrics': 0.964023, 'contradiction': 0.9445455074310303, 'evidence_accuracy': 0.5726643598615917, 'evidence_precision': 0.542016806722689, 'evidence_recall': 0.8989547038327527, 'evidence_f1': 0.6762778505897772, 'crest_accuracy': 0.56047197640118, 'crest_precision': 0.5991561181434599, 'crest_recall': 0.7244897959183674, 'crest_f1': 0.6558891454965358}","{'closeness': 0.49206934710438954, 'similarity_metrics': 0.93691075, 'contradiction': 0.9696444272994995, 'evidence_accuracy': 0.5743944636678201, 'evidence_precision': 0.5422680412371134, 'evidence_recall': 0.9163763066202091, 'evidence_f1': 0.6813471502590673, 'crest_accuracy': 0.5870206489675516, 'crest_precision': 0.6111111111111112, 'crest_recall': 0.7857142857142857, 'crest_f1': 0.6875000000000001}","{'closeness': 0.8650329188002926, 'similarity_metrics': 0.98203385, 'contradiction': 0.9912315011024475, 'evidence_accuracy': 0.5346020761245674, 'evidence_precision': 0.5978260869565217, 'evidence_recall': 0.1916376306620209, 'evidence_f1': 0.2902374670184697, 'crest_accuracy': 0.5162241887905604, 'crest_precision': 0.8478260869565217, 'crest_recall': 0.1989795918367347, 'crest_f1': 0.32231404958677684}","{'closeness': 0.8233124308373294, 'similarity_metrics': 0.9864427, 'contradiction': 0.9872547388076782, 'evidence_accuracy': 0.5899653979238755, 'evidence_precision': 0.7314814814814815, 'evidence_recall': 0.27526132404181186, 'evidence_f1': 0.39999999999999997, 'crest_accuracy': 0.5103244837758112, 'crest_precision': 0.8780487804878049, 'crest_recall': 0.18274111675126903, 'crest_f1': 0.3025210084033613}","{'closeness': 0.8115086683880487, 'similarity_metrics': 0.98222905, 'contradiction': 0.9916350841522217, 'evidence_accuracy': 0.6020761245674741, 'evidence_precision': 0.7355371900826446, 'evidence_recall': 0.31010452961672474, 'evidence_f1': 0.43627450980392163, 'crest_accuracy': 0.5221238938053098, 'crest_precision': 0.8695652173913043, 'crest_recall': 0.20408163265306123, 'crest_f1': 0.33057851239669417}"
"{'closeness': 0.4716859716859717, 'similarity_metrics': 0.9428329, 'contradiction': 0.7471097707748413, 'evidence_accuracy': 0.509493670886076, 'evidence_precision': 0.416, 'evidence_recall': 0.9203539823008849, 'evidence_f1': 0.5730027548209367, 'crest_accuracy': 0.273224043715847, 'crest_precision': 0.43575418994413406, 'crest_recall': 0.7090909090909091, 'crest_f1': 0.5397923875432526}","{'closeness': 0.78989703989704, 'similarity_metrics': 0.96314377, 'contradiction': 0.717021644115448, 'evidence_accuracy': 0.5332278481012658, 'evidence_precision': 0.39184952978056425, 'evidence_recall': 0.5530973451327433, 'evidence_f1': 0.4587155963302752, 'crest_accuracy': 0.4344262295081967, 'crest_precision': 0.5278969957081545, 'crest_recall': 0.5590909090909091, 'crest_f1': 0.543046357615894}","{'closeness': 0.797940797940798, 'similarity_metrics': 0.96372926, 'contradiction': 0.7186126112937927, 'evidence_accuracy': 0.5411392405063291, 'evidence_precision': 0.3980891719745223, 'evidence_recall': 0.5530973451327433, 'evidence_f1': 0.46296296296296297, 'crest_accuracy': 0.4426229508196721, 'crest_precision': 0.5347826086956522, 'crest_recall': 0.5590909090909091, 'crest_f1': 0.5466666666666666}","{'closeness': 0.7284427284427284, 'similarity_metrics': 0.91952693, 'contradiction': 0.943098783493042, 'evidence_accuracy': 0.504746835443038, 'evidence_precision': 0.3685800604229607, 'evidence_recall': 0.5398230088495575, 'evidence_f1': 0.43806104129263906, 'crest_accuracy': 0.4672131147540984, 'crest_precision': 0.5490196078431373, 'crest_recall': 0.6363636363636364, 'crest_f1': 0.5894736842105264}","{'closeness': 0.7078507078507079, 'similarity_metrics': 0.92740715, 'contradiction': 0.7053488492965698, 'evidence_accuracy': 0.47943037974683544, 'evidence_precision': 0.35492957746478876, 'evidence_recall': 0.5575221238938053, 'evidence_f1': 0.43373493975903615, 'crest_accuracy': 0.25136612021857924, 'crest_precision': 0.42011834319526625, 'crest_recall': 0.6454545454545455, 'crest_f1': 0.5089605734767025}","{'closeness': 0.677927927927928, 'similarity_metrics': 0.9265863, 'contradiction': 0.7518365979194641, 'evidence_accuracy': 0.46044303797468356, 'evidence_precision': 0.34908136482939633, 'evidence_recall': 0.588495575221239, 'evidence_f1': 0.4382207578253707, 'crest_accuracy': 0.2568306010928962, 'crest_precision': 0.4235294117647059, 'crest_recall': 0.6545454545454545, 'crest_f1': 0.5142857142857142}"
"{'closeness': 0.8351340536214485, 'similarity_metrics': 0.92981064, 'contradiction': 0.12053488940000534, 'evidence_accuracy': 0.5269230769230769, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.8103448275862069, 'evidence_f1': 0.2764705882352941, 'crest_accuracy': 0.45103857566765576, 'crest_precision': 0.5723270440251572, 'crest_recall': 0.4375, 'crest_f1': 0.4959128065395095}","{'closeness': 0.6670668267306923, 'similarity_metrics': 0.9044828, 'contradiction': 0.12483856827020645, 'evidence_accuracy': 0.45384615384615384, 'evidence_precision': 0.14906832298136646, 'evidence_recall': 0.8275862068965517, 'evidence_f1': 0.25263157894736843, 'crest_accuracy': 0.4896142433234421, 'crest_precision': 0.5927835051546392, 'crest_recall': 0.5528846153846154, 'crest_f1': 0.572139303482587}","{'closeness': 0.6702681072428971, 'similarity_metrics': 0.8970233, 'contradiction': 0.15284885466098785, 'evidence_accuracy': 0.45, 'evidence_precision': 0.14814814814814814, 'evidence_recall': 0.8275862068965517, 'evidence_f1': 0.2513089005235602, 'crest_accuracy': 0.5014836795252225, 'crest_precision': 0.6041666666666666, 'crest_recall': 0.5576923076923077, 'crest_f1': 0.5799999999999998}","{'closeness': 0.7434973989595839, 'similarity_metrics': 0.9044243, 'contradiction': 0.20532844960689545, 'evidence_accuracy': 0.5807692307692308, 'evidence_precision': 0.1638655462184874, 'evidence_recall': 0.6724137931034483, 'evidence_f1': 0.26351351351351354, 'crest_accuracy': 0.47774480712166173, 'crest_precision': 0.6066666666666667, 'crest_recall': 0.4375, 'crest_f1': 0.5083798882681565}","{'closeness': 0.851140456182473, 'similarity_metrics': 0.9920903, 'contradiction': 0.017652831971645355, 'evidence_accuracy': 0.85, 'evidence_precision': 0.3780487804878049, 'evidence_recall': 0.5344827586206896, 'evidence_f1': 0.4428571428571429, 'crest_accuracy': 0.42433234421364985, 'crest_precision': 0.7777777777777778, 'crest_recall': 0.10047846889952153, 'crest_f1': 0.17796610169491525}","{'closeness': 0.8391217564870259, 'similarity_metrics': 0.96582544, 'contradiction': 0.017652831971645355, 'evidence_accuracy': 0.8307692307692308, 'evidence_precision': 0.32954545454545453, 'evidence_recall': 0.5, 'evidence_f1': 0.3972602739726027, 'crest_accuracy': 0.40059347181008903, 'crest_precision': 0.6071428571428571, 'crest_recall': 0.08173076923076923, 'crest_f1': 0.1440677966101695}"
"{'closeness': 0.6275787187839306, 'similarity_metrics': 0.93878376, 'contradiction': 0.9975022673606873, 'evidence_accuracy': 0.5459183673469388, 'evidence_precision': 0.8879310344827587, 'evidence_recall': 0.5754189944134078, 'evidence_f1': 0.6983050847457627, 'crest_accuracy': 0.5510204081632653, 'crest_precision': 0.6206896551724138, 'crest_recall': 0.6206896551724138, 'crest_f1': 0.6206896551724138}","{'closeness': 0.7045454545454546, 'similarity_metrics': 0.92886, 'contradiction': 0.9964022636413574, 'evidence_accuracy': 0.3673469387755102, 'evidence_precision': 0.8395061728395061, 'evidence_recall': 0.37988826815642457, 'evidence_f1': 0.523076923076923, 'crest_accuracy': 0.5357142857142857, 'crest_precision': 0.654320987654321, 'crest_recall': 0.45689655172413796, 'crest_f1': 0.5380710659898478}","{'closeness': 0.674901185770751, 'similarity_metrics': 0.9338126, 'contradiction': 0.9950150847434998, 'evidence_accuracy': 0.3877551020408163, 'evidence_precision': 0.8470588235294118, 'evidence_recall': 0.4022346368715084, 'evidence_f1': 0.5454545454545454, 'crest_accuracy': 0.5561224489795918, 'crest_precision': 0.6705882352941176, 'crest_recall': 0.49137931034482757, 'crest_f1': 0.5671641791044776}","{'closeness': 0.5876089060987415, 'similarity_metrics': 0.8534818, 'contradiction': 0.9942651391029358, 'evidence_accuracy': 0.673469387755102, 'evidence_precision': 0.9078014184397163, 'evidence_recall': 0.7150837988826816, 'evidence_f1': 0.7999999999999999, 'crest_accuracy': 0.5051020408163265, 'crest_precision': 0.5664335664335665, 'crest_recall': 0.6982758620689655, 'crest_f1': 0.6254826254826255}","{'closeness': 0.760043431053203, 'similarity_metrics': 0.9264283, 'contradiction': 0.9970921277999878, 'evidence_accuracy': 0.4336734693877551, 'evidence_precision': 0.8617021276595744, 'evidence_recall': 0.45251396648044695, 'evidence_f1': 0.5934065934065934, 'crest_accuracy': 0.4897959183673469, 'crest_precision': 0.5851063829787234, 'crest_recall': 0.47413793103448276, 'crest_f1': 0.5238095238095238}","{'closeness': 0.6080347448425625, 'similarity_metrics': 0.92792416, 'contradiction': 0.993253767490387, 'evidence_accuracy': 0.5357142857142857, 'evidence_precision': 0.8859649122807017, 'evidence_recall': 0.5642458100558659, 'evidence_f1': 0.689419795221843, 'crest_accuracy': 0.5510204081632653, 'crest_precision': 0.6228070175438597, 'crest_recall': 0.6120689655172413, 'crest_f1': 0.6173913043478261}"
"{'closeness': 0.29218106995884774, 'similarity_metrics': 0.88001585, 'contradiction': 0.005514266435056925, 'evidence_accuracy': 0.5315656565656566, 'evidence_precision': 0.4889196675900277, 'evidence_recall': 0.9943661971830986, 'evidence_f1': 0.6555246053853295, 'crest_accuracy': 0.5977337110481586, 'crest_precision': 0.6054421768707483, 'crest_recall': 0.8725490196078431, 'crest_f1': 0.714859437751004}","{'closeness': 0.2950102880658436, 'similarity_metrics': 0.8955548, 'contradiction': 0.003784902160987258, 'evidence_accuracy': 0.5151515151515151, 'evidence_precision': 0.48005502063273725, 'evidence_recall': 0.9830985915492958, 'evidence_f1': 0.6451016635859519, 'crest_accuracy': 0.6317280453257791, 'crest_precision': 0.6217105263157895, 'crest_recall': 0.9264705882352942, 'crest_f1': 0.7440944881889764}","{'closeness': 0.30838477366255146, 'similarity_metrics': 0.8793874, 'contradiction': 0.00928464625030756, 'evidence_accuracy': 0.49747474747474746, 'evidence_precision': 0.47106325706594887, 'evidence_recall': 0.9859154929577465, 'evidence_f1': 0.6375227686703097, 'crest_accuracy': 0.5637393767705382, 'crest_precision': 0.5822368421052632, 'crest_recall': 0.8676470588235294, 'crest_f1': 0.6968503937007873}","{'closeness': 0.2700617283950617, 'similarity_metrics': 0.8041477, 'contradiction': 0.008980756625533104, 'evidence_accuracy': 0.47853535353535354, 'evidence_precision': 0.46194225721784776, 'evidence_recall': 0.9915492957746479, 'evidence_f1': 0.630259623992838, 'crest_accuracy': 0.5977337110481586, 'crest_precision': 0.595679012345679, 'crest_recall': 0.946078431372549, 'crest_f1': 0.7310606060606061}","{'closeness': 0.21759259259259256, 'similarity_metrics': 0.78572226, 'contradiction': 0.0035344925709068775, 'evidence_accuracy': 0.5012626262626263, 'evidence_precision': 0.47101449275362317, 'evidence_recall': 0.9154929577464789, 'evidence_f1': 0.6220095693779905, 'crest_accuracy': 0.56657223796034, 'crest_precision': 0.5739130434782609, 'crest_recall': 0.9705882352941176, 'crest_f1': 0.7213114754098361}","{'closeness': 0.1977880658436214, 'similarity_metrics': 0.78991705, 'contradiction': 0.002491316292434931, 'evidence_accuracy': 0.5189393939393939, 'evidence_precision': 0.48142857142857143, 'evidence_recall': 0.9492957746478873, 'evidence_f1': 0.6388625592417061, 'crest_accuracy': 0.5977337110481586, 'crest_precision': 0.5950920245398773, 'crest_recall': 0.9509803921568627, 'crest_f1': 0.7320754716981133}"
"{'closeness': 0.4036144578313253, 'similarity_metrics': 0.817202, 'contradiction': 0.814451277256012, 'evidence_accuracy': 0.797752808988764, 'evidence_precision': 0.7820895522388059, 'evidence_recall': 0.9703703703703703, 'evidence_f1': 0.8661157024793389, 'crest_accuracy': 0.603030303030303, 'crest_precision': 0.6826923076923077, 'crest_recall': 0.6859903381642513, 'crest_f1': 0.6843373493975904}","{'closeness': 0.47773703509690935, 'similarity_metrics': 0.8415667, 'contradiction': 0.40062007308006287, 'evidence_accuracy': 0.7590511860174781, 'evidence_precision': 0.7732283464566929, 'evidence_recall': 0.9092592592592592, 'evidence_f1': 0.8357446808510638, 'crest_accuracy': 0.5969696969696969, 'crest_precision': 0.6813725490196079, 'crest_recall': 0.6714975845410628, 'crest_f1': 0.6763990267639902}","{'closeness': 0.47773703509690935, 'similarity_metrics': 0.84219486, 'contradiction': 0.7707552313804626, 'evidence_accuracy': 0.7590511860174781, 'evidence_precision': 0.7732283464566929, 'evidence_recall': 0.9092592592592592, 'evidence_f1': 0.8357446808510638, 'crest_accuracy': 0.5969696969696969, 'crest_precision': 0.6813725490196079, 'crest_recall': 0.6714975845410628, 'crest_f1': 0.6763990267639902}","{'closeness': 0.9009952854897852, 'similarity_metrics': 0.9399042, 'contradiction': 0.7851774096488953, 'evidence_accuracy': 0.47440699126092384, 'evidence_precision': 0.6561679790026247, 'evidence_recall': 0.46296296296296297, 'evidence_f1': 0.5428881650380021, 'crest_accuracy': 0.49696969696969695, 'crest_precision': 0.647887323943662, 'crest_recall': 0.4423076923076923, 'crest_f1': 0.5257142857142857}","{'closeness': 0.8192771084337349, 'similarity_metrics': 0.9203717, 'contradiction': 0.3900406062602997, 'evidence_accuracy': 0.49812734082397003, 'evidence_precision': 0.6916666666666667, 'evidence_recall': 0.46111111111111114, 'evidence_f1': 0.5533333333333335, 'crest_accuracy': 0.5545454545454546, 'crest_precision': 0.7142857142857143, 'crest_recall': 0.4830917874396135, 'crest_f1': 0.5763688760806917}","{'closeness': 0.7441068622315348, 'similarity_metrics': 0.92209613, 'contradiction': 0.3900406062602997, 'evidence_accuracy': 0.5842696629213483, 'evidence_precision': 0.7336343115124153, 'evidence_recall': 0.6018518518518519, 'evidence_f1': 0.6612410986775178, 'crest_accuracy': 0.5818181818181818, 'crest_precision': 0.7346938775510204, 'crest_recall': 0.5217391304347826, 'crest_f1': 0.6101694915254238}"
"{'closeness': 0.7469026548672566, 'similarity_metrics': 0.864177, 'contradiction': 0.9867449402809143, 'evidence_accuracy': 0.5436363636363636, 'evidence_precision': 0.7018181818181818, 'evidence_recall': 0.5331491712707183, 'evidence_f1': 0.6059654631083203, 'crest_accuracy': 0.547979797979798, 'crest_precision': 0.6368715083798883, 'crest_recall': 0.5, 'crest_f1': 0.5601965601965603}","{'closeness': 0.743716814159292, 'similarity_metrics': 0.8579458, 'contradiction': 0.9861391186714172, 'evidence_accuracy': 0.5418181818181819, 'evidence_precision': 0.6992753623188406, 'evidence_recall': 0.5331491712707183, 'evidence_f1': 0.6050156739811914, 'crest_accuracy': 0.5505050505050505, 'crest_precision': 0.6388888888888888, 'crest_recall': 0.5043859649122807, 'crest_f1': 0.5637254901960784}","{'closeness': 0.7511504424778761, 'similarity_metrics': 0.8579458, 'contradiction': 0.9861391186714172, 'evidence_accuracy': 0.5436363636363636, 'evidence_precision': 0.7003610108303249, 'evidence_recall': 0.5359116022099447, 'evidence_f1': 0.6071987480438183, 'crest_accuracy': 0.5505050505050505, 'crest_precision': 0.6388888888888888, 'crest_recall': 0.5043859649122807, 'crest_f1': 0.5637254901960784}","{'closeness': 0.7911504424778761, 'similarity_metrics': 0.869624, 'contradiction': 0.9899415373802185, 'evidence_accuracy': 0.56, 'evidence_precision': 0.7238805970149254, 'evidence_recall': 0.5359116022099447, 'evidence_f1': 0.6158730158730159, 'crest_accuracy': 0.5429292929292929, 'crest_precision': 0.6374269005847953, 'crest_recall': 0.4780701754385965, 'crest_f1': 0.5463659147869674}","{'closeness': 0.7720353982300885, 'similarity_metrics': 0.87983286, 'contradiction': 0.9980570673942566, 'evidence_accuracy': 0.5381818181818182, 'evidence_precision': 0.875, 'evidence_recall': 0.34806629834254144, 'evidence_f1': 0.4980237154150197, 'crest_accuracy': 0.4772727272727273, 'crest_precision': 0.6105263157894737, 'crest_recall': 0.2543859649122807, 'crest_f1': 0.3591331269349845}","{'closeness': 0.6414159292035398, 'similarity_metrics': 0.8639045, 'contradiction': 0.9946556091308594, 'evidence_accuracy': 0.6290909090909091, 'evidence_precision': 0.7379518072289156, 'evidence_recall': 0.6767955801104972, 'evidence_f1': 0.7060518731988473, 'crest_accuracy': 0.5984848484848485, 'crest_precision': 0.6575342465753424, 'crest_recall': 0.631578947368421, 'crest_f1': 0.6442953020134228}"
"{'closeness': 0.7698202959830867, 'similarity_metrics': 0.94391036, 'contradiction': 0.9908347129821777, 'evidence_accuracy': 0.572827417380661, 'evidence_precision': 0.6465116279069767, 'evidence_recall': 0.5852631578947368, 'evidence_f1': 0.6143646408839778, 'crest_accuracy': 0.5100286532951289, 'crest_precision': 0.6617647058823529, 'crest_recall': 0.4186046511627907, 'crest_f1': 0.5128205128205128}","{'closeness': 0.7344080338266386, 'similarity_metrics': 0.94459444, 'contradiction': 0.9914132356643677, 'evidence_accuracy': 0.598531211750306, 'evidence_precision': 0.6629711751662971, 'evidence_recall': 0.6294736842105263, 'evidence_f1': 0.6457883369330454, 'crest_accuracy': 0.5157593123209169, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.42790697674418604, 'crest_f1': 0.5212464589235127}","{'closeness': 0.7534355179704018, 'similarity_metrics': 0.94459444, 'contradiction': 0.9914132356643677, 'evidence_accuracy': 0.5801713586291309, 'evidence_precision': 0.6513761467889908, 'evidence_recall': 0.5978947368421053, 'evidence_f1': 0.6234906695938529, 'crest_accuracy': 0.5157593123209169, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.42790697674418604, 'crest_f1': 0.5212464589235127}","{'closeness': 0.735200845665962, 'similarity_metrics': 0.933356, 'contradiction': 0.9920766353607178, 'evidence_accuracy': 0.5801713586291309, 'evidence_precision': 0.6493212669683258, 'evidence_recall': 0.6042105263157894, 'evidence_f1': 0.6259541984732824, 'crest_accuracy': 0.5186246418338109, 'crest_precision': 0.6643356643356644, 'crest_recall': 0.4418604651162791, 'crest_f1': 0.5307262569832403}","{'closeness': 0.8443446088794926, 'similarity_metrics': 0.9642525, 'contradiction': 0.995155930519104, 'evidence_accuracy': 0.572827417380661, 'evidence_precision': 0.6920731707317073, 'evidence_recall': 0.47789473684210526, 'evidence_f1': 0.5653798256537983, 'crest_accuracy': 0.48424068767908307, 'crest_precision': 0.6635514018691588, 'crest_recall': 0.3302325581395349, 'crest_f1': 0.4409937888198758}","{'closeness': 0.8358879492600423, 'similarity_metrics': 0.961645, 'contradiction': 0.9949147701263428, 'evidence_accuracy': 0.5850673194614443, 'evidence_precision': 0.7011834319526628, 'evidence_recall': 0.49894736842105264, 'evidence_f1': 0.5830258302583026, 'crest_accuracy': 0.4871060171919771, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.33488372093023255, 'crest_f1': 0.4458204334365325}"
