baseline,e-implcit-target,e-persona-you,e-chain-of-thought,e-chat-history,e-persona-human
"{'closeness': 0.9982956966340009, 'similarity_metrics': 0.99703723, 'contradiction': 0.006287741009145975, 'evidence_accuracy': 0.4399574920297556, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 0.011406844106463879, 'evidence_f1': 0.02226345083487941, 'crest_accuracy': 0.3794037940379404, 'crest_precision': 0.18181818181818182, 'crest_recall': 0.009009009009009009, 'crest_f1': 0.017167381974248927}","{'closeness': 0.9978696207925011, 'similarity_metrics': 0.99703723, 'contradiction': 0.006287741009145975, 'evidence_accuracy': 0.44208289054197664, 'evidence_precision': 0.5333333333333333, 'evidence_recall': 0.015209125475285171, 'evidence_f1': 0.029574861367837334, 'crest_accuracy': 0.3794037940379404, 'crest_precision': 0.18181818181818182, 'crest_recall': 0.009009009009009009, 'crest_f1': 0.017167381974248927}","{'closeness': 0.9982956966340009, 'similarity_metrics': 0.99703723, 'contradiction': 0.006287741009145975, 'evidence_accuracy': 0.4399574920297556, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 0.011406844106463879, 'evidence_f1': 0.02226345083487941, 'crest_accuracy': 0.3794037940379404, 'crest_precision': 0.18181818181818182, 'crest_recall': 0.009009009009009009, 'crest_f1': 0.017167381974248927}","{'closeness': 0.9942479761397529, 'similarity_metrics': 0.999931, 'contradiction': 0.015374301932752132, 'evidence_accuracy': 0.43889479277364507, 'evidence_precision': 0.4772727272727273, 'evidence_recall': 0.039923954372623575, 'evidence_f1': 0.07368421052631581, 'crest_accuracy': 0.4010840108401084, 'crest_precision': 0.5333333333333333, 'crest_recall': 0.036036036036036036, 'crest_f1': 0.06751054852320676}","{'closeness': 0.3739729438127646, 'similarity_metrics': 0.9947368, 'contradiction': 0.045655153691768646, 'evidence_accuracy': 0.4463336875664187, 'evidence_precision': 0.5454545454545454, 'evidence_recall': 0.057034220532319393, 'evidence_f1': 0.10327022375215145, 'crest_accuracy': 0.4065040650406504, 'crest_precision': 0.6363636363636364, 'crest_recall': 0.03153153153153153, 'crest_f1': 0.060085836909871244}","{'closeness': 0.9982956966340009, 'similarity_metrics': 0.99703723, 'contradiction': 0.006287741009145975, 'evidence_accuracy': 0.4399574920297556, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 0.011406844106463879, 'evidence_f1': 0.02226345083487941, 'crest_accuracy': 0.3794037940379404, 'crest_precision': 0.18181818181818182, 'crest_recall': 0.009009009009009009, 'crest_f1': 0.017167381974248927}"
"{'closeness': 0.5907184413475849, 'similarity_metrics': 0.91170037, 'contradiction': 0.05011594668030739, 'evidence_accuracy': 0.6393129770992366, 'evidence_precision': 0.4088888888888889, 'evidence_recall': 0.6216216216216216, 'evidence_f1': 0.49329758713136734, 'crest_accuracy': 0.40897097625329815, 'crest_precision': 0.4166666666666667, 'crest_recall': 0.02252252252252252, 'crest_f1': 0.042735042735042736}","{'closeness': 0.5840887565958599, 'similarity_metrics': 0.8734603, 'contradiction': 0.05708940327167511, 'evidence_accuracy': 0.6431297709923665, 'evidence_precision': 0.4125560538116592, 'evidence_recall': 0.6216216216216216, 'evidence_f1': 0.49595687331536387, 'crest_accuracy': 0.39313984168865435, 'crest_precision': 0.2777777777777778, 'crest_recall': 0.02252252252252252, 'crest_f1': 0.04166666666666667}","{'closeness': 0.5846299553511027, 'similarity_metrics': 0.91170037, 'contradiction': 0.029577456414699554, 'evidence_accuracy': 0.5184478371501272, 'evidence_precision': 0.3340402969247084, 'evidence_recall': 0.7094594594594594, 'evidence_f1': 0.4542177361211247, 'crest_accuracy': 0.47229551451187335, 'crest_precision': 0.5916666666666667, 'crest_recall': 0.31981981981981983, 'crest_f1': 0.4152046783625732}","{'closeness': 0.9705046678392639, 'similarity_metrics': 0.8577509, 'contradiction': 0.057150788605213165, 'evidence_accuracy': 0.6698473282442748, 'evidence_precision': 0.23776223776223776, 'evidence_recall': 0.07657657657657657, 'evidence_f1': 0.11584327086882452, 'crest_accuracy': 0.3720316622691293, 'crest_precision': 0.34615384615384615, 'crest_recall': 0.08108108108108109, 'crest_f1': 0.13138686131386862}","{'closeness': 0.9866053308077392, 'similarity_metrics': 0.91197944, 'contradiction': 0.11148681491613388, 'evidence_accuracy': 0.7175572519083969, 'evidence_precision': 0.5, 'evidence_recall': 0.05855855855855856, 'evidence_f1': 0.10483870967741936, 'crest_accuracy': 0.41952506596306066, 'crest_precision': 0.625, 'crest_recall': 0.02252252252252252, 'crest_f1': 0.043478260869565216}","{'closeness': 0.5884183466378028, 'similarity_metrics': 0.9121119, 'contradiction': 0.029577456414699554, 'evidence_accuracy': 0.494910941475827, 'evidence_precision': 0.31263383297644537, 'evidence_recall': 0.6576576576576577, 'evidence_f1': 0.4238026124818577, 'crest_accuracy': 0.47229551451187335, 'crest_precision': 0.5916666666666667, 'crest_recall': 0.31981981981981983, 'crest_f1': 0.4152046783625732}"
"{'closeness': 0.9707225913621262, 'similarity_metrics': 0.99378484, 'contradiction': 0.018361998721957207, 'evidence_accuracy': 0.6390041493775933, 'evidence_precision': 0.25274725274725274, 'evidence_recall': 0.07590759075907591, 'evidence_f1': 0.116751269035533, 'crest_accuracy': 0.4394736842105263, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.07239819004524888, 'crest_f1': 0.1306122448979592}","{'closeness': 0.9582641196013288, 'similarity_metrics': 0.99147904, 'contradiction': 0.01879609376192093, 'evidence_accuracy': 0.6358921161825726, 'evidence_precision': 0.038461538461538464, 'evidence_recall': 0.006600660066006601, 'evidence_f1': 0.011267605633802818, 'crest_accuracy': 0.4131578947368421, 'crest_precision': 0.25, 'crest_recall': 0.004524886877828055, 'crest_f1': 0.00888888888888889}","{'closeness': 0.9723837209302325, 'similarity_metrics': 0.99378484, 'contradiction': 0.018361998721957207, 'evidence_accuracy': 0.6431535269709544, 'evidence_precision': 0.2696629213483146, 'evidence_recall': 0.07920792079207921, 'evidence_f1': 0.12244897959183673, 'crest_accuracy': 0.4394736842105263, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.07239819004524888, 'crest_f1': 0.1306122448979592}","{'closeness': 0.9952242524916943, 'similarity_metrics': 1.0000001, 'contradiction': 0.00505323288962245, 'evidence_accuracy': 0.6649377593360996, 'evidence_precision': 0.25, 'evidence_recall': 0.033003300330033, 'evidence_f1': 0.058309037900874626, 'crest_accuracy': 0.42894736842105263, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.02262443438914027, 'crest_f1': 0.04405286343612334}","{'closeness': 0.967607973421927, 'similarity_metrics': 0.9969127, 'contradiction': 0.9476351141929626, 'evidence_accuracy': 0.6867219917012448, 'evidence_precision': 0.5068493150684932, 'evidence_recall': 0.12211221122112212, 'evidence_f1': 0.19680851063829788, 'crest_accuracy': 0.46842105263157896, 'crest_precision': 0.7567567567567568, 'crest_recall': 0.12669683257918551, 'crest_f1': 0.21705426356589147}","{'closeness': 0.9723837209302325, 'similarity_metrics': 0.99378484, 'contradiction': 0.018361998721957207, 'evidence_accuracy': 0.6431535269709544, 'evidence_precision': 0.2696629213483146, 'evidence_recall': 0.07920792079207921, 'evidence_f1': 0.12244897959183673, 'crest_accuracy': 0.4394736842105263, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.07239819004524888, 'crest_f1': 0.1306122448979592}"
"{'closeness': 0.014907135874877797, 'similarity_metrics': 0.36317587, 'contradiction': 0.7221112251281738, 'evidence_accuracy': 0.41092636579572445, 'evidence_precision': 0.40456182472989194, 'evidence_recall': 1.0, 'evidence_f1': 0.576068376068376, 'crest_accuracy': 0.5978835978835979, 'crest_precision': 0.5989159891598916, 'crest_recall': 0.9822222222222222, 'crest_f1': 0.7441077441077442}","{'closeness': 0.014907135874877797, 'similarity_metrics': 0.334284, 'contradiction': 0.5599618554115295, 'evidence_accuracy': 0.41092636579572445, 'evidence_precision': 0.40456182472989194, 'evidence_recall': 1.0, 'evidence_f1': 0.576068376068376, 'crest_accuracy': 0.5978835978835979, 'crest_precision': 0.5989159891598916, 'crest_recall': 0.9822222222222222, 'crest_f1': 0.7441077441077442}","{'closeness': 0.014907135874877797, 'similarity_metrics': 0.36317587, 'contradiction': 0.7221112251281738, 'evidence_accuracy': 0.41092636579572445, 'evidence_precision': 0.40456182472989194, 'evidence_recall': 1.0, 'evidence_f1': 0.576068376068376, 'crest_accuracy': 0.5978835978835979, 'crest_precision': 0.5989159891598916, 'crest_recall': 0.9822222222222222, 'crest_f1': 0.7441077441077442}","{'closeness': 0.9978005865102639, 'similarity_metrics': 1.0000001, 'contradiction': 0.007815551944077015, 'evidence_accuracy': 0.6116389548693587, 'evidence_precision': 0.7777777777777778, 'evidence_recall': 0.04154302670623145, 'evidence_f1': 0.07887323943661972, 'crest_accuracy': 0.40476190476190477, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9393939393939394, 'similarity_metrics': 0.9889874, 'contradiction': 0.5418666005134583, 'evidence_accuracy': 0.6021377672209026, 'evidence_precision': 0.52, 'evidence_recall': 0.0771513353115727, 'evidence_f1': 0.1343669250645995, 'crest_accuracy': 0.42592592592592593, 'crest_precision': 0.68, 'crest_recall': 0.0752212389380531, 'crest_f1': 0.13545816733067728}","{'closeness': 0.014907135874877797, 'similarity_metrics': 0.36317587, 'contradiction': 0.7221112251281738, 'evidence_accuracy': 0.41092636579572445, 'evidence_precision': 0.40456182472989194, 'evidence_recall': 1.0, 'evidence_f1': 0.576068376068376, 'crest_accuracy': 0.5978835978835979, 'crest_precision': 0.5989159891598916, 'crest_recall': 0.9822222222222222, 'crest_f1': 0.7441077441077442}"
"{'closeness': 0.011183261183261184, 'similarity_metrics': 0.024496248, 'contradiction': 0.4520336985588074, 'evidence_accuracy': 0.6715447154471544, 'evidence_precision': 0.6710097719869706, 'evidence_recall': 1.0, 'evidence_f1': 0.8031189083820663, 'crest_accuracy': 0.5777777777777777, 'crest_precision': 0.5793871866295265, 'crest_recall': 0.9952153110047847, 'crest_f1': 0.7323943661971831}","{'closeness': 0.011183261183261184, 'similarity_metrics': 0.024496248, 'contradiction': 0.4520336985588074, 'evidence_accuracy': 0.6715447154471544, 'evidence_precision': 0.6710097719869706, 'evidence_recall': 1.0, 'evidence_f1': 0.8031189083820663, 'crest_accuracy': 0.5777777777777777, 'crest_precision': 0.5793871866295265, 'crest_recall': 0.9952153110047847, 'crest_f1': 0.7323943661971831}","{'closeness': 0.011183261183261184, 'similarity_metrics': 0.024496248, 'contradiction': 0.4520336985588074, 'evidence_accuracy': 0.6715447154471544, 'evidence_precision': 0.6710097719869706, 'evidence_recall': 1.0, 'evidence_f1': 0.8031189083820663, 'crest_accuracy': 0.5777777777777777, 'crest_precision': 0.5793871866295265, 'crest_recall': 0.9952153110047847, 'crest_f1': 0.7323943661971831}","{'closeness': 0.011183261183261184, 'similarity_metrics': 0.024496248, 'contradiction': 0.4520336985588074, 'evidence_accuracy': 0.6715447154471544, 'evidence_precision': 0.6710097719869706, 'evidence_recall': 1.0, 'evidence_f1': 0.8031189083820663, 'crest_accuracy': 0.5777777777777777, 'crest_precision': 0.5793871866295265, 'crest_recall': 0.9952153110047847, 'crest_f1': 0.7323943661971831}","{'closeness': 0.011183261183261184, 'similarity_metrics': 0.024496248, 'contradiction': 0.4520336985588074, 'evidence_accuracy': 0.6715447154471544, 'evidence_precision': 0.6710097719869706, 'evidence_recall': 1.0, 'evidence_f1': 0.8031189083820663, 'crest_accuracy': 0.5777777777777777, 'crest_precision': 0.5793871866295265, 'crest_recall': 0.9952153110047847, 'crest_f1': 0.7323943661971831}","{'closeness': 0.011183261183261184, 'similarity_metrics': 0.024496248, 'contradiction': 0.4520336985588074, 'evidence_accuracy': 0.6715447154471544, 'evidence_precision': 0.6710097719869706, 'evidence_recall': 1.0, 'evidence_f1': 0.8031189083820663, 'crest_accuracy': 0.5777777777777777, 'crest_precision': 0.5793871866295265, 'crest_recall': 0.9952153110047847, 'crest_f1': 0.7323943661971831}"
"{'closeness': 0.008133971291865993, 'similarity_metrics': 0.050312996, 'contradiction': 0.37674984335899353, 'evidence_accuracy': 0.30902348578491967, 'evidence_precision': 0.30902348578491967, 'evidence_recall': 1.0, 'evidence_f1': 0.47214353163361666, 'crest_accuracy': 0.6055555555555555, 'crest_precision': 0.6055555555555555, 'crest_recall': 1.0, 'crest_f1': 0.7543252595155708}","{'closeness': 0.007416267942583765, 'similarity_metrics': 0.05169561, 'contradiction': 0.41522276401519775, 'evidence_accuracy': 0.30902348578491967, 'evidence_precision': 0.30902348578491967, 'evidence_recall': 1.0, 'evidence_f1': 0.47214353163361666, 'crest_accuracy': 0.6055555555555555, 'crest_precision': 0.6055555555555555, 'crest_recall': 1.0, 'crest_f1': 0.7543252595155708}","{'closeness': 0.9980861244019139, 'similarity_metrics': 0.991624, 'contradiction': 0.020270874723792076, 'evidence_accuracy': 0.6909765142150803, 'evidence_precision': 0.5, 'evidence_recall': 0.008, 'evidence_f1': 0.015748031496062992, 'crest_accuracy': 0.39444444444444443, 'crest_precision': 0.5, 'crest_recall': 0.0045871559633027525, 'crest_f1': 0.009090909090909092}","{'closeness': 0.9923664122137404, 'similarity_metrics': 0.99795586, 'contradiction': 0.019045261666178703, 'evidence_accuracy': 0.6909765142150803, 'evidence_precision': 0.5, 'evidence_recall': 0.008, 'evidence_f1': 0.015748031496062992, 'crest_accuracy': 0.3888888888888889, 'crest_precision': 0.0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9983253588516746, 'similarity_metrics': 1.0000001, 'contradiction': 0.010584085248410702, 'evidence_accuracy': 0.69221260815822, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.008, 'evidence_f1': 0.015810276679841896, 'crest_accuracy': 0.39444444444444443, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9980861244019139, 'similarity_metrics': 0.991624, 'contradiction': 0.020270874723792076, 'evidence_accuracy': 0.6909765142150803, 'evidence_precision': 0.5, 'evidence_recall': 0.008, 'evidence_f1': 0.015748031496062992, 'crest_accuracy': 0.39444444444444443, 'crest_precision': 0.5, 'crest_recall': 0.0045871559633027525, 'crest_f1': 0.009090909090909092}"
"{'closeness': 0.013857845328565044, 'similarity_metrics': 0.06020308, 'contradiction': 0.18078140914440155, 'evidence_accuracy': 0.5201793721973094, 'evidence_precision': 0.5201793721973094, 'evidence_recall': 1.0, 'evidence_f1': 0.6843657817109144, 'crest_accuracy': 0.5564516129032258, 'crest_precision': 0.5564516129032258, 'crest_recall': 1.0, 'crest_f1': 0.7150259067357513}","{'closeness': 0.013857845328565044, 'similarity_metrics': 0.06020308, 'contradiction': 0.18078140914440155, 'evidence_accuracy': 0.5201793721973094, 'evidence_precision': 0.5201793721973094, 'evidence_recall': 1.0, 'evidence_f1': 0.6843657817109144, 'crest_accuracy': 0.5564516129032258, 'crest_precision': 0.5564516129032258, 'crest_recall': 1.0, 'crest_f1': 0.7150259067357513}","{'closeness': 0.3053196244970944, 'similarity_metrics': 0.82229495, 'contradiction': 0.9825682044029236, 'evidence_accuracy': 0.6053811659192825, 'evidence_precision': 0.5732984293193717, 'evidence_recall': 0.9439655172413793, 'evidence_f1': 0.713355048859935, 'crest_accuracy': 0.6048387096774194, 'crest_precision': 0.5974025974025974, 'crest_recall': 0.8888888888888888, 'crest_f1': 0.7145631067961165}","{'closeness': 1.0, 'similarity_metrics': 1.0000002, 'contradiction': 0.5286662578582764, 'evidence_accuracy': 0.4798206278026906, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.4435483870967742, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.013857845328565044, 'similarity_metrics': 0.06020308, 'contradiction': 0.18078140914440155, 'evidence_accuracy': 0.5201793721973094, 'evidence_precision': 0.5201793721973094, 'evidence_recall': 1.0, 'evidence_f1': 0.6843657817109144, 'crest_accuracy': 0.5564516129032258, 'crest_precision': 0.5564516129032258, 'crest_recall': 1.0, 'crest_f1': 0.7150259067357513}","{'closeness': 0.34018775145283864, 'similarity_metrics': 0.8950643, 'contradiction': 0.3078247308731079, 'evidence_accuracy': 0.6547085201793722, 'evidence_precision': 0.6042780748663101, 'evidence_recall': 0.9741379310344828, 'evidence_f1': 0.7458745874587458, 'crest_accuracy': 0.6129032258064516, 'crest_precision': 0.6046511627906976, 'crest_recall': 0.8792270531400966, 'crest_f1': 0.716535433070866}"
"{'closeness': 0.7037871956717764, 'similarity_metrics': 0.9948633, 'contradiction': 0.09493263065814972, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.5883084577114428, 'evidence_recall': 0.6126943005181347, 'evidence_f1': 0.600253807106599, 'crest_accuracy': 0.29745042492917845, 'crest_precision': 0.4246575342465753, 'crest_recall': 0.4325581395348837, 'crest_f1': 0.42857142857142855}","{'closeness': 0.6866546438232641, 'similarity_metrics': 0.9937897, 'contradiction': 0.03910813108086586, 'evidence_accuracy': 0.5706959706959707, 'evidence_precision': 0.7075892857142857, 'evidence_recall': 0.4106217616580311, 'evidence_f1': 0.519672131147541, 'crest_accuracy': 0.3881019830028329, 'crest_precision': 0.0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.7039374812143071, 'similarity_metrics': 0.9948633, 'contradiction': 0.09335166960954666, 'evidence_accuracy': 0.5391941391941392, 'evidence_precision': 0.589041095890411, 'evidence_recall': 0.6126943005181347, 'evidence_f1': 0.6006349206349205, 'crest_accuracy': 0.29745042492917845, 'crest_precision': 0.423963133640553, 'crest_recall': 0.42790697674418604, 'crest_f1': 0.4259259259259259}","{'closeness': 0.9996994289149383, 'similarity_metrics': 1.0000002, 'contradiction': 0.019581319764256477, 'evidence_accuracy': 0.43223443223443225, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3909348441926346, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.0012022843402464956, 'similarity_metrics': 0.016352344, 'contradiction': 0.07334819436073303, 'evidence_accuracy': 0.5655677655677656, 'evidence_precision': 0.5655677655677656, 'evidence_recall': 1.0, 'evidence_f1': 0.7225081890500702, 'crest_accuracy': 0.6090651558073654, 'crest_precision': 0.6090651558073654, 'crest_recall': 1.0, 'crest_f1': 0.7570422535211268}","{'closeness': 0.7037871956717764, 'similarity_metrics': 0.9948633, 'contradiction': 0.09493263065814972, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.5883084577114428, 'evidence_recall': 0.6126943005181347, 'evidence_f1': 0.600253807106599, 'crest_accuracy': 0.29745042492917845, 'crest_precision': 0.4246575342465753, 'crest_recall': 0.4325581395348837, 'crest_f1': 0.42857142857142855}"
"{'closeness': 0.014194139194139144, 'similarity_metrics': 0.07365526, 'contradiction': 0.19167613983154297, 'evidence_accuracy': 0.864406779661017, 'evidence_precision': 0.864406779661017, 'evidence_recall': 1.0, 'evidence_f1': 0.9272727272727274, 'crest_accuracy': 0.6072423398328691, 'crest_precision': 0.6072423398328691, 'crest_recall': 1.0, 'crest_f1': 0.755632582322357}","{'closeness': 0.014194139194139144, 'similarity_metrics': 0.07365526, 'contradiction': 0.19167613983154297, 'evidence_accuracy': 0.864406779661017, 'evidence_precision': 0.864406779661017, 'evidence_recall': 1.0, 'evidence_f1': 0.9272727272727274, 'crest_accuracy': 0.6072423398328691, 'crest_precision': 0.6072423398328691, 'crest_recall': 1.0, 'crest_f1': 0.755632582322357}","{'closeness': 0.014194139194139144, 'similarity_metrics': 0.07365526, 'contradiction': 0.19167613983154297, 'evidence_accuracy': 0.864406779661017, 'evidence_precision': 0.864406779661017, 'evidence_recall': 1.0, 'evidence_f1': 0.9272727272727274, 'crest_accuracy': 0.6072423398328691, 'crest_precision': 0.6072423398328691, 'crest_recall': 1.0, 'crest_f1': 0.755632582322357}","{'closeness': 0.1980653643876784, 'similarity_metrics': 0.9828533, 'contradiction': 0.9890208840370178, 'evidence_accuracy': 0.16101694915254236, 'evidence_precision': 0.6578947368421053, 'evidence_recall': 0.061274509803921566, 'evidence_f1': 0.11210762331838565, 'crest_accuracy': 0.4178272980501393, 'crest_precision': 0.8, 'crest_recall': 0.05504587155963303, 'crest_f1': 0.10300429184549356}","{'closeness': 0.00366300366300365, 'similarity_metrics': 0.1076784, 'contradiction': 0.1909477263689041, 'evidence_accuracy': 0.864406779661017, 'evidence_precision': 0.864406779661017, 'evidence_recall': 1.0, 'evidence_f1': 0.9272727272727274, 'crest_accuracy': 0.6072423398328691, 'crest_precision': 0.6072423398328691, 'crest_recall': 1.0, 'crest_f1': 0.755632582322357}","{'closeness': 0.014194139194139144, 'similarity_metrics': 0.07365526, 'contradiction': 0.19167613983154297, 'evidence_accuracy': 0.864406779661017, 'evidence_precision': 0.864406779661017, 'evidence_recall': 1.0, 'evidence_f1': 0.9272727272727274, 'crest_accuracy': 0.6072423398328691, 'crest_precision': 0.6072423398328691, 'crest_recall': 1.0, 'crest_f1': 0.755632582322357}"
"{'closeness': 0.9950625411454904, 'similarity_metrics': 0.9583051, 'contradiction': 0.01794510707259178, 'evidence_accuracy': 0.4983974358974359, 'evidence_precision': 0.6, 'evidence_recall': 0.04716981132075472, 'evidence_f1': 0.08746355685131196, 'crest_accuracy': 0.38526912181303113, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.04504504504504504, 'crest_f1': 0.08438818565400844}","{'closeness': 0.9302172481895984, 'similarity_metrics': 0.9382785, 'contradiction': 0.04773548245429993, 'evidence_accuracy': 0.4358974358974359, 'evidence_precision': 0.2702702702702703, 'evidence_recall': 0.06289308176100629, 'evidence_f1': 0.10204081632653063, 'crest_accuracy': 0.24645892351274787, 'crest_precision': 0.2755102040816326, 'crest_recall': 0.12162162162162163, 'crest_f1': 0.16875}","{'closeness': 0.9331797235023042, 'similarity_metrics': 0.9392921, 'contradiction': 0.04952428489923477, 'evidence_accuracy': 0.42628205128205127, 'evidence_precision': 0.19696969696969696, 'evidence_recall': 0.040880503144654086, 'evidence_f1': 0.06770833333333334, 'crest_accuracy': 0.24645892351274787, 'crest_precision': 0.2708333333333333, 'crest_recall': 0.11711711711711711, 'crest_f1': 0.16352201257861637}","{'closeness': 0.9261766602192134, 'similarity_metrics': 0.97191465, 'contradiction': 0.013857393525540829, 'evidence_accuracy': 0.5096153846153846, 'evidence_precision': 0.6363636363636364, 'evidence_recall': 0.0880503144654088, 'evidence_f1': 0.15469613259668508, 'crest_accuracy': 0.37960339943342775, 'crest_precision': 0.5789473684210527, 'crest_recall': 0.04954954954954955, 'crest_f1': 0.0912863070539419}","{'closeness': 0.9061882817643186, 'similarity_metrics': 0.9674181, 'contradiction': 0.940629243850708, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.7027027027027027, 'evidence_recall': 0.16352201257861634, 'evidence_f1': 0.2653061224489796, 'crest_accuracy': 0.3597733711048159, 'crest_precision': 0.45, 'crest_recall': 0.08108108108108109, 'crest_f1': 0.13740458015267176}","{'closeness': 0.9328505595786701, 'similarity_metrics': 0.9414395, 'contradiction': 0.02966987155377865, 'evidence_accuracy': 0.42628205128205127, 'evidence_precision': 0.19696969696969696, 'evidence_recall': 0.040880503144654086, 'evidence_f1': 0.06770833333333334, 'crest_accuracy': 0.35410764872521244, 'crest_precision': 0.4482758620689655, 'crest_recall': 0.11711711711711711, 'crest_f1': 0.18571428571428572}"
"{'closeness': 0.9847631666114608, 'similarity_metrics': 0.97283965, 'contradiction': 0.982651948928833, 'evidence_accuracy': 0.37009063444108764, 'evidence_precision': 0.4117647058823529, 'evidence_recall': 0.016908212560386472, 'evidence_f1': 0.03248259860788863, 'crest_accuracy': 0.450261780104712, 'crest_precision': 0.5714285714285714, 'crest_recall': 0.03773584905660377, 'crest_f1': 0.07079646017699115}","{'closeness': 0.010268300761841709, 'similarity_metrics': 0.0652979, 'contradiction': 0.3635212182998657, 'evidence_accuracy': 0.6253776435045317, 'evidence_precision': 0.6253776435045317, 'evidence_recall': 1.0, 'evidence_f1': 0.7695167286245354, 'crest_accuracy': 0.5549738219895288, 'crest_precision': 0.5549738219895288, 'crest_recall': 1.0, 'crest_f1': 0.7138047138047138}","{'closeness': 0.9797946339847632, 'similarity_metrics': 0.9283254, 'contradiction': 0.9848339557647705, 'evidence_accuracy': 0.37462235649546827, 'evidence_precision': 0.5, 'evidence_recall': 0.026570048309178744, 'evidence_f1': 0.05045871559633028, 'crest_accuracy': 0.4581151832460733, 'crest_precision': 0.631578947368421, 'crest_recall': 0.05660377358490566, 'crest_f1': 0.10389610389610389}","{'closeness': 0.9963564094070885, 'similarity_metrics': 0.99816793, 'contradiction': 0.013829111121594906, 'evidence_accuracy': 0.3942598187311178, 'evidence_precision': 1.0, 'evidence_recall': 0.03140096618357488, 'evidence_f1': 0.060889929742388764, 'crest_accuracy': 0.45287958115183247, 'crest_precision': 1.0, 'crest_recall': 0.018779342723004695, 'crest_f1': 0.03686635944700461}","{'closeness': 0.9741636303411726, 'similarity_metrics': 0.99732983, 'contradiction': 0.6543292999267578, 'evidence_accuracy': 0.40483383685800606, 'evidence_precision': 1.0, 'evidence_recall': 0.04830917874396135, 'evidence_f1': 0.09216589861751152, 'crest_accuracy': 0.45549738219895286, 'crest_precision': 1.0, 'crest_recall': 0.023474178403755867, 'crest_f1': 0.045871559633027525}","{'closeness': 0.9797946339847632, 'similarity_metrics': 0.9283254, 'contradiction': 0.9848339557647705, 'evidence_accuracy': 0.37462235649546827, 'evidence_precision': 0.5, 'evidence_recall': 0.026570048309178744, 'evidence_f1': 0.05045871559633028, 'crest_accuracy': 0.4581151832460733, 'crest_precision': 0.631578947368421, 'crest_recall': 0.05660377358490566, 'crest_f1': 0.10389610389610389}"
