baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
,,,"{'distance': 0.4869831546707504, 'evidence_accuracy': 0.48, 'evidence_precision': 0.33972602739726027, 'evidence_recall': 0.5020242914979757, 'evidence_f1': 0.4052287581699346, 'similarity_metrics': np.float32(0.97219336), 'contradiction': 0.9798749089241028}","{'distance': 0.7282608695652174, 'evidence_accuracy': 0.49714285714285716, 'evidence_precision': 0.40869565217391307, 'evidence_recall': 0.951417004048583, 'evidence_f1': 0.5717761557177616, 'similarity_metrics': np.float32(0.9466932), 'contradiction': 0.9285487532615662}","{'distance': 0.5993615323224262, 'evidence_accuracy': 0.4257142857142857, 'evidence_precision': 0.3273942093541203, 'evidence_recall': 0.5951417004048583, 'evidence_f1': 0.42241379310344834, 'similarity_metrics': np.float32(0.96829635), 'contradiction': 0.9527417421340942}",
,,,,,,
"{'distance': 0.9223560910307899, 'evidence_accuracy': 0.06156274664561957, 'evidence_precision': 0.023809523809523808, 'evidence_recall': 1.0, 'evidence_f1': 0.046511627906976744, 'similarity_metrics': np.float32(0.90145814), 'contradiction': 0.006583928130567074}",,,,,,"{'distance': 0.0023677979479084232, 'evidence_accuracy': 0.9747434885556433, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.99325836), 'contradiction': 0.03025958314538002}"
,,,,"{'distance': 0.526077097505669, 'evidence_accuracy': 0.5122448979591837, 'evidence_precision': 0.28113879003558717, 'evidence_recall': 0.6810344827586207, 'evidence_f1': 0.397984886649874, 'similarity_metrics': np.float32(0.9983833), 'contradiction': 0.30244770646095276}",,
,,,,,,
,,,,,,
,,,"{'distance': 0.5928270042194093, 'evidence_accuracy': 0.4354561101549053, 'evidence_precision': 0.4668304668304668, 'evidence_recall': 0.6312292358803987, 'evidence_f1': 0.5367231638418078, 'similarity_metrics': np.float32(0.9190302), 'contradiction': 0.993139922618866}","{'distance': 0.52046783625731, 'evidence_accuracy': 0.43201376936316693, 'evidence_precision': 0.45892351274787535, 'evidence_recall': 0.5382059800664452, 'evidence_f1': 0.4954128440366973, 'similarity_metrics': np.float32(0.9467069), 'contradiction': 0.9034546613693237}","{'distance': 0.9107391910739191, 'evidence_accuracy': 0.49569707401032703, 'evidence_precision': 0.5072727272727273, 'evidence_recall': 0.9269102990033222, 'evidence_f1': 0.655699177438308, 'similarity_metrics': np.float32(0.7988239), 'contradiction': 0.992689311504364}",
"{'distance': 0.8910776361529548, 'evidence_accuracy': 0.35733695652173914, 'evidence_precision': 0.3352685050798258, 'evidence_recall': 0.9390243902439024, 'evidence_f1': 0.49411764705882344, 'similarity_metrics': np.float32(0.88429254), 'contradiction': 0.3986637592315674}",,"{'distance': 0.9513444302176697, 'evidence_accuracy': 0.360054347826087, 'evidence_precision': 0.34309623430962344, 'evidence_recall': 1.0, 'evidence_f1': 0.5109034267912773, 'similarity_metrics': np.float32(0.8582759), 'contradiction': 0.9907351732254028}",,,,
"{'distance': 0.9646739130434783, 'evidence_accuracy': 0.5179856115107914, 'evidence_precision': 0.5161290322580645, 'evidence_recall': 0.9859943977591037, 'evidence_f1': 0.6775745909528393, 'similarity_metrics': np.float32(0.84891844), 'contradiction': 0.580154538154602}",,,,,,
"{'distance': 0.9316770186335404, 'evidence_accuracy': 0.36561264822134387, 'evidence_precision': 0.3619631901840491, 'evidence_recall': 0.9516129032258065, 'evidence_f1': 0.5244444444444444, 'similarity_metrics': np.float32(0.8481807), 'contradiction': 0.010541603900492191}",,,,,,
,,,,,,
,,,,,,
"{'distance': 0.8535469107551488, 'evidence_accuracy': 0.27851458885941643, 'evidence_precision': 0.25217391304347825, 'evidence_recall': 0.8613861386138614, 'evidence_f1': 0.3901345291479821, 'similarity_metrics': np.float32(0.85677475), 'contradiction': 0.2275865375995636}",,,,,,
,,,,,,
,"{'distance': 0.9628040057224606, 'evidence_accuracy': 0.24461538461538462, 'evidence_precision': 0.23510971786833856, 'evidence_recall': 0.9803921568627451, 'evidence_f1': 0.37926675094816686, 'similarity_metrics': np.float32(0.62710786), 'contradiction': 0.30898091197013855}","{'distance': 0.9884393063583815, 'evidence_accuracy': 0.23846153846153847, 'evidence_precision': 0.23529411764705882, 'evidence_recall': 0.9934640522875817, 'evidence_f1': 0.3804755944931164, 'similarity_metrics': np.float32(0.7745257), 'contradiction': 0.7985034584999084}",,,,"{'distance': 0.06307692307692303, 'evidence_accuracy': 0.7476923076923077, 'evidence_precision': 0.36585365853658536, 'evidence_recall': 0.09803921568627451, 'evidence_f1': 0.15463917525773196, 'similarity_metrics': np.float32(0.8606865), 'contradiction': 0.07338876277208328}"
"{'distance': 0.9178885630498533, 'evidence_accuracy': 0.36952714535901926, 'evidence_precision': 0.3572744014732965, 'evidence_recall': 0.9463414634146341, 'evidence_f1': 0.5187165775401069, 'similarity_metrics': np.float32(0.866139), 'contradiction': 0.2870984375476837}",,,,,,
"{'distance': 0.9710294878427315, 'evidence_accuracy': 0.5422943221320974, 'evidence_precision': 0.541813898704358, 'evidence_recall': 0.9871244635193133, 'evidence_f1': 0.699619771863118, 'similarity_metrics': np.float32(0.91542757), 'contradiction': 0.016216009855270386}",,,,,,
,,,,,,
"{'distance': 0.975443383356071, 'evidence_accuracy': 0.3890532544378698, 'evidence_precision': 0.3847305389221557, 'evidence_recall': 0.9922779922779923, 'evidence_f1': 0.5544768069039915, 'similarity_metrics': np.float32(0.80381626), 'contradiction': 0.5443762540817261}","{'distance': 0.9763888888888889, 'evidence_accuracy': 0.39127218934911245, 'evidence_precision': 0.3857677902621723, 'evidence_recall': 0.9942084942084942, 'evidence_f1': 0.5558553696708041, 'similarity_metrics': np.float32(0.82532465), 'contradiction': 0.7947289347648621}","{'distance': 0.9689265536723164, 'evidence_accuracy': 0.39644970414201186, 'evidence_precision': 0.3879699248120301, 'evidence_recall': 0.9961389961389961, 'evidence_f1': 0.5584415584415584, 'similarity_metrics': np.float32(0.8011904), 'contradiction': 0.2081240713596344}",,,,
,,,,,,
,,,,,,
"{'distance': 0.9797979797979798, 'evidence_accuracy': 0.39361702127659576, 'evidence_precision': 0.3913978494623656, 'evidence_recall': 0.9891304347826086, 'evidence_f1': 0.5608628659476117, 'similarity_metrics': np.float32(0.6973389), 'contradiction': 0.09337251633405685}","{'distance': 0.922077922077922, 'evidence_accuracy': 0.41702127659574467, 'evidence_precision': 0.4, 'evidence_recall': 0.9782608695652174, 'evidence_f1': 0.5678233438485805, 'similarity_metrics': np.float32(0.8397343), 'contradiction': 0.49544304609298706}",,,"{'distance': 0.5359801488833746, 'evidence_accuracy': 0.48723404255319147, 'evidence_precision': 0.3992932862190813, 'evidence_recall': 0.6141304347826086, 'evidence_f1': 0.4839400428265525, 'similarity_metrics': np.float32(0.9826205), 'contradiction': 0.9048249125480652}",,
,,,"{'distance': 0.36454849498327757, 'evidence_accuracy': 0.5377176015473888, 'evidence_precision': 0.21794871794871795, 'evidence_recall': 0.4766355140186916, 'evidence_f1': 0.29912023460410553, 'similarity_metrics': np.float32(0.9692986), 'contradiction': 0.9919629096984863}","{'distance': 0.7415730337078652, 'evidence_accuracy': 0.34622823984526113, 'evidence_precision': 0.23201856148491878, 'evidence_recall': 0.9345794392523364, 'evidence_f1': 0.37174721189591076, 'similarity_metrics': np.float32(0.8193436), 'contradiction': 0.8908316493034363}",,
,,,"{'distance': 0.9467213114754098, 'evidence_accuracy': 0.2786585365853659, 'evidence_precision': 0.26574307304785894, 'evidence_recall': 0.9612756264236902, 'evidence_f1': 0.41637888505180065, 'similarity_metrics': np.float32(0.86439306), 'contradiction': 0.42423397302627563}","{'distance': 0.9749478079331941, 'evidence_accuracy': 0.27439024390243905, 'evidence_precision': 0.26777983920841064, 'evidence_recall': 0.9863325740318907, 'evidence_f1': 0.4212062256809339, 'similarity_metrics': np.float32(0.8798816), 'contradiction': 0.13558712601661682}","{'distance': 0.9656319290465631, 'evidence_accuracy': 0.2676829268292683, 'evidence_precision': 0.26452410383189123, 'evidence_recall': 0.9749430523917996, 'evidence_f1': 0.41614000972289744, 'similarity_metrics': np.float32(0.8402394), 'contradiction': 0.9877299666404724}",
"{'distance': 0.9713261648745519, 'evidence_accuracy': 0.3023696682464455, 'evidence_precision': 0.2964388835418672, 'evidence_recall': 0.9840255591054313, 'evidence_f1': 0.455621301775148, 'similarity_metrics': np.float32(0.8371409), 'contradiction': 0.19297978281974792}","{'distance': 0.963855421686747, 'evidence_accuracy': 0.2890995260663507, 'evidence_precision': 0.2917063870352717, 'evidence_recall': 0.9776357827476039, 'evidence_f1': 0.44933920704845814, 'similarity_metrics': np.float32(0.8131685), 'contradiction': 0.27874884009361267}",,,,,
"{'distance': 0.9720149253731343, 'evidence_accuracy': 0.24173553719008264, 'evidence_precision': 0.2593340060544904, 'evidence_recall': 1.0, 'evidence_f1': 0.41185897435897434, 'similarity_metrics': np.float32(0.811937), 'contradiction': 0.49841734766960144}",,,,,,
,,,,,,
,,"{'distance': 0.9556962025316456, 'evidence_accuracy': 0.4826989619377163, 'evidence_precision': 0.48936170212765956, 'evidence_recall': 0.9616724738675958, 'evidence_f1': 0.6486486486486486, 'similarity_metrics': np.float32(0.722505), 'contradiction': 0.20998212695121765}",,,,
,"{'distance': 0.9448818897637795, 'evidence_accuracy': 0.3813291139240506, 'evidence_precision': 0.3649754500818331, 'evidence_recall': 0.9867256637168141, 'evidence_f1': 0.5328554360812425, 'similarity_metrics': np.float32(0.85044444), 'contradiction': 0.5739770531654358}","{'distance': 0.9436619718309859, 'evidence_accuracy': 0.36075949367088606, 'evidence_precision': 0.3545751633986928, 'evidence_recall': 0.9601769911504425, 'evidence_f1': 0.5178997613365155, 'similarity_metrics': np.float32(0.85018194), 'contradiction': 0.29003700613975525}",,"{'distance': 0.48364279398762156, 'evidence_accuracy': 0.4572784810126582, 'evidence_precision': 0.33613445378151263, 'evidence_recall': 0.5309734513274337, 'evidence_f1': 0.41166380789022305, 'similarity_metrics': np.float32(0.9619081), 'contradiction': 0.8142245411872864}",,
,,,,,,"{'distance': 0.03076923076923077, 'evidence_accuracy': 0.8730769230769231, 'evidence_precision': 0.25, 'evidence_recall': 0.06896551724137931, 'evidence_f1': 0.1081081081081081, 'similarity_metrics': np.float32(0.93776613), 'contradiction': 0.052338607609272}"
,,,"{'distance': 0.852760736196319, 'evidence_accuracy': 0.8214285714285714, 'evidence_precision': 0.9186046511627907, 'evidence_recall': 0.88268156424581, 'evidence_f1': 0.9002849002849003, 'similarity_metrics': np.float32(0.7729548), 'contradiction': 0.9979904890060425}",,"{'distance': 0.6204819277108433, 'evidence_accuracy': 0.6377551020408163, 'evidence_precision': 0.9029850746268657, 'evidence_recall': 0.6759776536312849, 'evidence_f1': 0.7731629392971247, 'similarity_metrics': np.float32(0.7720839), 'contradiction': 0.998594343662262}",
,"{'distance': 0.7163375224416517, 'evidence_accuracy': 0.6300505050505051, 'evidence_precision': 0.5488958990536278, 'evidence_recall': 0.9802816901408451, 'evidence_f1': 0.7037411526794741, 'similarity_metrics': np.float32(0.880754), 'contradiction': 0.46326857805252075}","{'distance': 0.7071428571428571, 'evidence_accuracy': 0.6376262626262627, 'evidence_precision': 0.554140127388535, 'evidence_recall': 0.9802816901408451, 'evidence_f1': 0.7080366225839266, 'similarity_metrics': np.float32(0.8909632), 'contradiction': 0.46326857805252075}",,"{'distance': 0.48943089430894304, 'evidence_accuracy': 0.6401515151515151, 'evidence_precision': 0.5729166666666666, 'evidence_recall': 0.7746478873239436, 'evidence_f1': 0.6586826347305389, 'similarity_metrics': np.float32(0.91744864), 'contradiction': 0.9841102361679077}",,
"{'distance': 0.945823927765237, 'evidence_accuracy': 0.6729088639200999, 'evidence_precision': 0.6786632390745502, 'evidence_recall': 0.9777777777777777, 'evidence_f1': 0.8012139605462822, 'similarity_metrics': np.float32(0.7045804), 'contradiction': 0.5584026575088501}",,"{'distance': 0.9427262313860252, 'evidence_accuracy': 0.6729088639200999, 'evidence_precision': 0.6791237113402062, 'evidence_recall': 0.975925925925926, 'evidence_f1': 0.8009118541033434, 'similarity_metrics': np.float32(0.72547114), 'contradiction': 0.2711543142795563}",,,,
,,,"{'distance': 0.875901875901876, 'evidence_accuracy': 0.6472727272727272, 'evidence_precision': 0.6621621621621622, 'evidence_recall': 0.9475138121546961, 'evidence_f1': 0.7795454545454547, 'similarity_metrics': np.float32(0.82034004), 'contradiction': 0.993301510810852}",,"{'distance': 0.9893428063943162, 'evidence_accuracy': 0.66, 'evidence_precision': 0.659963436928702, 'evidence_recall': 0.9972375690607734, 'evidence_f1': 0.7942794279427943, 'similarity_metrics': np.float32(0.5724597), 'contradiction': 0.9549890756607056}",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"{'distance': 0.9309494451294698, 'evidence_accuracy': 0.894134477825465, 'evidence_precision': 0.8988095238095238, 'evidence_recall': 0.9901639344262295, 'evidence_f1': 0.9422776911076444, 'similarity_metrics': np.float32(0.77207696), 'contradiction': 0.9313973784446716}",,
,,,,"{'distance': 0.963302752293578, 'evidence_accuracy': 0.5462274176408076, 'evidence_precision': 0.5538628944504896, 'evidence_recall': 0.967680608365019, 'evidence_f1': 0.7044982698961938, 'similarity_metrics': np.float32(0.84899163), 'contradiction': 0.71978360414505}","{'distance': 0.9735099337748344, 'evidence_accuracy': 0.5462274176408076, 'evidence_precision': 0.5533980582524272, 'evidence_recall': 0.9752851711026616, 'evidence_f1': 0.7061252580867171, 'similarity_metrics': np.float32(0.88322616), 'contradiction': 0.9000751972198486}",
,,"{'distance': 0.8088888888888889, 'evidence_accuracy': 0.3320610687022901, 'evidence_precision': 0.2835714285714286, 'evidence_recall': 0.8941441441441441, 'evidence_f1': 0.43058568329718, 'similarity_metrics': np.float32(0.8908752), 'contradiction': 0.07867585867643356}",,,,
"{'distance': 0.8568935427574171, 'evidence_accuracy': 0.33195020746887965, 'evidence_precision': 0.30690826727066817, 'evidence_recall': 0.8943894389438944, 'evidence_f1': 0.45699831365935917, 'similarity_metrics': np.float32(0.8762018), 'contradiction': 0.9706742763519287}",,,"{'distance': 0.89, 'evidence_accuracy': 0.3039419087136929, 'evidence_precision': 0.2951002227171492, 'evidence_recall': 0.8745874587458746, 'evidence_f1': 0.44129891756869266, 'similarity_metrics': np.float32(0.89362556), 'contradiction': 0.9929827451705933}","{'distance': 0.9050966608084359, 'evidence_accuracy': 0.32676348547717843, 'evidence_precision': 0.31072210065645517, 'evidence_recall': 0.9372937293729373, 'evidence_f1': 0.4667214461791291, 'similarity_metrics': np.float32(0.90652657), 'contradiction': 0.9930397272109985}","{'distance': 0.9323753169907016, 'evidence_accuracy': 0.31431535269709543, 'evidence_precision': 0.30627705627705626, 'evidence_recall': 0.933993399339934, 'evidence_f1': 0.4612876935615322, 'similarity_metrics': np.float32(0.8798134), 'contradiction': 0.9662481546401978}",
,,,,,,
,,,,"{'distance': 0.9149560117302052, 'evidence_accuracy': 0.6991869918699187, 'evidence_precision': 0.6933560477001703, 'evidence_recall': 0.9878640776699029, 'evidence_f1': 0.8148148148148149, 'similarity_metrics': np.float32(0.8517044), 'contradiction': 0.9912194609642029}",,
"{'distance': 0.9313399778516057, 'evidence_accuracy': 0.34239802224969096, 'evidence_precision': 0.31876606683804626, 'evidence_recall': 0.992, 'evidence_f1': 0.4824902723735408, 'similarity_metrics': np.float32(0.8528597), 'contradiction': 0.07841982692480087}",,,,,,
,,,,"{'distance': 0.5714285714285714, 'evidence_accuracy': 0.6300448430493274, 'evidence_precision': 0.6143344709897611, 'evidence_recall': 0.7758620689655172, 'evidence_f1': 0.6857142857142858, 'similarity_metrics': np.float32(0.93881226), 'contradiction': 0.8703482747077942}","{'distance': 0.7187948350071736, 'evidence_accuracy': 0.5358744394618834, 'evidence_precision': 0.5358166189111748, 'evidence_recall': 0.8060344827586207, 'evidence_f1': 0.6437177280550775, 'similarity_metrics': np.float32(0.9272107), 'contradiction': 0.9788832068443298}",
"{'distance': 0.984561403508772, 'evidence_accuracy': 0.5655677655677656, 'evidence_precision': 0.5660516605166052, 'evidence_recall': 0.9935233160621761, 'evidence_f1': 0.7212035731076633, 'similarity_metrics': np.float32(0.81821585), 'contradiction': 0.026247218251228333}",,,,"{'distance': 0.9702786377708978, 'evidence_accuracy': 0.5597069597069597, 'evidence_precision': 0.5637583892617449, 'evidence_recall': 0.9792746113989638, 'evidence_f1': 0.7155702792238524, 'similarity_metrics': np.float32(0.8498297), 'contradiction': 0.2282869517803192}",,
,,,,,,
,,,,,,
,,,,,,
"{'distance': 0.9422382671480144, 'evidence_accuracy': 0.15086206896551724, 'evidence_precision': 0.12314540059347182, 'evidence_recall': 1.0, 'evidence_f1': 0.2192866578599736, 'similarity_metrics': np.float32(0.9086299), 'contradiction': 0.7426353096961975}",,,,"{'distance': 0.9037304452466908, 'evidence_accuracy': 0.15660919540229884, 'evidence_precision': 0.11702127659574468, 'evidence_recall': 0.927710843373494, 'evidence_f1': 0.2078272604588394, 'similarity_metrics': np.float32(0.75462216), 'contradiction': 0.9491724967956543}",,
,,,"{'distance': 0.8858195211786372, 'evidence_accuracy': 0.20105820105820105, 'evidence_precision': 0.18156424581005587, 'evidence_recall': 0.8783783783783784, 'evidence_f1': 0.30092592592592593, 'similarity_metrics': np.float32(0.9283656), 'contradiction': 0.9440650343894958}","{'distance': 0.8420038535645472, 'evidence_accuracy': 0.26455026455026454, 'evidence_precision': 0.19822485207100593, 'evidence_recall': 0.9054054054054054, 'evidence_f1': 0.325242718446602, 'similarity_metrics': np.float32(0.9030968), 'contradiction': 0.9885099530220032}","{'distance': 0.3797101449275362, 'evidence_accuracy': 0.5687830687830688, 'evidence_precision': 0.23030303030303031, 'evidence_recall': 0.5135135135135135, 'evidence_f1': 0.3179916317991632, 'similarity_metrics': np.float32(0.9800726), 'contradiction': 0.9805120229721069}","{'distance': 0.21693121693121697, 'evidence_accuracy': 0.6772486772486772, 'evidence_precision': 0.2073170731707317, 'evidence_recall': 0.22972972972972974, 'evidence_f1': 0.21794871794871795, 'similarity_metrics': np.float32(0.89567316), 'contradiction': 0.03970199078321457}"
,,,,,,"{'distance': 0.043010752688172005, 'evidence_accuracy': 0.7219662058371735, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.024844720496894408, 'evidence_f1': 0.042328042328042326, 'similarity_metrics': np.float32(0.796473), 'contradiction': 0.022603994235396385}"
"{'distance': 0.9831401475237092, 'evidence_accuracy': 0.5058548009367682, 'evidence_precision': 0.5035377358490566, 'evidence_recall': 0.9976635514018691, 'evidence_f1': 0.6692789968652036, 'similarity_metrics': np.float32(0.8527765), 'contradiction': 0.058958377689123154}",,,,,,
"{'distance': 0.9498018494055482, 'evidence_accuracy': 0.3196480938416422, 'evidence_precision': 0.30165912518853694, 'evidence_recall': 0.9950248756218906, 'evidence_f1': 0.46296296296296297, 'similarity_metrics': np.float32(0.84798133), 'contradiction': 0.05085205286741257}","{'distance': 0.9521276595744681, 'evidence_accuracy': 0.3020527859237537, 'evidence_precision': 0.2932330827067669, 'evidence_recall': 0.9701492537313433, 'evidence_f1': 0.45034642032332556, 'similarity_metrics': np.float32(0.7943761), 'contradiction': 0.04083355888724327}","{'distance': 0.9564625850340136, 'evidence_accuracy': 0.2961876832844575, 'evidence_precision': 0.2908545727136432, 'evidence_recall': 0.9651741293532339, 'evidence_f1': 0.44700460829493094, 'similarity_metrics': np.float32(0.8354958), 'contradiction': 0.06412068009376526}",,"{'distance': 0.9505851755526658, 'evidence_accuracy': 0.30791788856304986, 'evidence_precision': 0.2956259426847662, 'evidence_recall': 0.9751243781094527, 'evidence_f1': 0.45370370370370366, 'similarity_metrics': np.float32(0.83157027), 'contradiction': 0.6337850689888}",,"{'distance': 0.017595307917888547, 'evidence_accuracy': 0.7082111436950147, 'evidence_precision': 0.5833333333333334, 'evidence_recall': 0.03482587064676617, 'evidence_f1': 0.06572769953051644, 'similarity_metrics': np.float32(0.9945795), 'contradiction': 0.0044802092015743256}"
,,,,,,
,,,,,,
"{'distance': 0.9227799227799228, 'evidence_accuracy': 0.20085470085470086, 'evidence_precision': 0.1800595238095238, 'evidence_recall': 0.9236641221374046, 'evidence_f1': 0.30136986301369867, 'similarity_metrics': np.float32(0.83879423), 'contradiction': 0.007694893982261419}",,"{'distance': 0.9732262382864793, 'evidence_accuracy': 0.198005698005698, 'evidence_precision': 0.18786127167630057, 'evidence_recall': 0.9923664122137404, 'evidence_f1': 0.3159173754556501, 'similarity_metrics': np.float32(0.76530194), 'contradiction': 0.007193228229880333}",,"{'distance': 0.9095238095238095, 'evidence_accuracy': 0.2094017094017094, 'evidence_precision': 0.18072289156626506, 'evidence_recall': 0.916030534351145, 'evidence_f1': 0.3018867924528302, 'similarity_metrics': np.float32(0.8763077), 'contradiction': 0.08289720118045807}",,
"{'distance': 0.8729281767955801, 'evidence_accuracy': 0.5276073619631901, 'evidence_precision': 0.506050605060506, 'evidence_recall': 0.9725158562367865, 'evidence_f1': 0.6657018813314037, 'similarity_metrics': np.float32(0.8660494), 'contradiction': 0.8308601975440979}",,,,,,"{'distance': 0.008179959100204526, 'evidence_accuracy': 0.5224948875255624, 'evidence_precision': 0.875, 'evidence_recall': 0.014799154334038054, 'evidence_f1': 0.029106029106029108, 'similarity_metrics': np.float32(0.9978591), 'contradiction': 0.02186763659119606}"
,,,,"{'distance': 0.8200000000000001, 'evidence_accuracy': 0.46830985915492956, 'evidence_precision': 0.4713114754098361, 'evidence_recall': 0.8394160583941606, 'evidence_f1': 0.6036745406824148, 'similarity_metrics': np.float32(0.87178934), 'contradiction': 0.24348165094852448}",,
,,,,,,
,,,,,,
"{'distance': 0.9320288362512873, 'evidence_accuracy': 0.25118483412322273, 'evidence_precision': 0.24969843184559712, 'evidence_recall': 0.9539170506912442, 'evidence_f1': 0.3957934990439771, 'similarity_metrics': np.float32(0.8859872), 'contradiction': 0.09590326249599457}",,"{'distance': 0.9361233480176212, 'evidence_accuracy': 0.2843601895734597, 'evidence_precision': 0.2625766871165644, 'evidence_recall': 0.9861751152073732, 'evidence_f1': 0.4147286821705426, 'similarity_metrics': np.float32(0.8864145), 'contradiction': 0.01040499098598957}",,,,
,,,,"{'distance': 0.9718849840255591, 'evidence_accuracy': 0.28325859491778776, 'evidence_precision': 0.29259259259259257, 'evidence_recall': 0.9899749373433584, 'evidence_f1': 0.4516866781017724, 'similarity_metrics': np.float32(0.7189095), 'contradiction': 0.9205183982849121}","{'distance': 0.9821305841924398, 'evidence_accuracy': 0.2929745889387145, 'evidence_precision': 0.29358490566037737, 'evidence_recall': 0.974937343358396, 'evidence_f1': 0.4512761020881671, 'similarity_metrics': np.float32(0.54282117), 'contradiction': 0.9610805511474609}",
"{'distance': 0.9003436426116839, 'evidence_accuracy': 0.3697813121272366, 'evidence_precision': 0.3818565400843882, 'evidence_recall': 0.8829268292682927, 'evidence_f1': 0.5331369661266568, 'similarity_metrics': np.float32(0.86016893), 'contradiction': 0.18118050694465637}",,,,"{'distance': 0.38596491228070173, 'evidence_accuracy': 0.47912524850894633, 'evidence_precision': 0.3721973094170404, 'evidence_recall': 0.40487804878048783, 'evidence_f1': 0.3878504672897196, 'similarity_metrics': np.float32(0.96550846), 'contradiction': 0.9962129592895508}",,
