e-chain-of-thought,e-persona-human,e-persona-you,baseline,e-implcit-target,e-chat-history
"{'closeness': 0.01905347264904733, 'similarity_metrics': 0.047572453, 'contradiction': 0.7129988074302673, 'evidence_accuracy': 0.5467836257309941, 'evidence_precision': 0.5467836257309941, 'evidence_recall': 1.0, 'evidence_f1': 0.7069943289224953, 'crest_accuracy': 0.6052631578947368, 'crest_precision': 0.6052631578947368, 'crest_recall': 1.0, 'crest_f1': 0.7540983606557378}","{'closeness': 0.8598647818070068, 'similarity_metrics': 0.9833201, 'contradiction': 0.7041139602661133, 'evidence_accuracy': 0.5497076023391813, 'evidence_precision': 0.8666666666666667, 'evidence_recall': 0.20855614973262032, 'evidence_f1': 0.33620689655172414, 'crest_accuracy': 0.47953216374269003, 'crest_precision': 0.8222222222222222, 'crest_recall': 0.178743961352657, 'crest_f1': 0.29365079365079366}","{'closeness': 0.8555623847572219, 'similarity_metrics': 0.98425394, 'contradiction': 0.5986655950546265, 'evidence_accuracy': 0.564327485380117, 'evidence_precision': 0.88, 'evidence_recall': 0.23529411764705882, 'evidence_f1': 0.37130801687763715, 'crest_accuracy': 0.49415204678362573, 'crest_precision': 0.84, 'crest_recall': 0.2028985507246377, 'crest_f1': 0.3268482490272374}","{'closeness': 0.8598647818070068, 'similarity_metrics': 0.9836437, 'contradiction': 0.5480024814605713, 'evidence_accuracy': 0.564327485380117, 'evidence_precision': 0.8958333333333334, 'evidence_recall': 0.22994652406417113, 'evidence_f1': 0.36595744680851067, 'crest_accuracy': 0.48830409356725146, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.1932367149758454, 'crest_f1': 0.31372549019607837}","{'closeness': 0.9587378640776699, 'similarity_metrics': 0.92306876, 'contradiction': 0.12237461656332016, 'evidence_accuracy': 0.4619883040935672, 'evidence_precision': 0.5652173913043478, 'evidence_recall': 0.06951871657754011, 'evidence_f1': 0.12380952380952383, 'crest_accuracy': 0.42105263157894735, 'crest_precision': 0.6956521739130435, 'crest_recall': 0.07729468599033816, 'crest_f1': 0.1391304347826087}","{'closeness': 0.958819913952059, 'similarity_metrics': 0.92747515, 'contradiction': 0.23573625087738037, 'evidence_accuracy': 0.49122807017543857, 'evidence_precision': 0.9333333333333333, 'evidence_recall': 0.0748663101604278, 'evidence_f1': 0.1386138613861386, 'crest_accuracy': 0.4269005847953216, 'crest_precision': 0.8666666666666667, 'crest_recall': 0.06280193236714976, 'crest_f1': 0.11711711711711711}"
"{'closeness': 0.9562557356989905, 'similarity_metrics': 0.959549, 'contradiction': 0.9926113486289978, 'evidence_accuracy': 0.16165951359084407, 'evidence_precision': 0.9285714285714286, 'evidence_recall': 0.04262295081967213, 'evidence_f1': 0.08150470219435736, 'crest_accuracy': 0.4723756906077348, 'crest_precision': 0.7241379310344828, 'crest_recall': 0.10294117647058823, 'crest_f1': 0.18025751072961374}","{'closeness': 0.00955315870570106, 'similarity_metrics': 0.1145034, 'contradiction': 0.23114947974681854, 'evidence_accuracy': 0.871244635193133, 'evidence_precision': 0.8724928366762178, 'evidence_recall': 0.9983606557377049, 'evidence_f1': 0.9311926605504587, 'crest_accuracy': 0.5662983425414365, 'crest_precision': 0.5650969529085873, 'crest_recall': 1.0, 'crest_f1': 0.7221238938053098}","{'closeness': 0.00955315870570106, 'similarity_metrics': 0.1145034, 'contradiction': 0.23114947974681854, 'evidence_accuracy': 0.871244635193133, 'evidence_precision': 0.8724928366762178, 'evidence_recall': 0.9983606557377049, 'evidence_f1': 0.9311926605504587, 'crest_accuracy': 0.5662983425414365, 'crest_precision': 0.5650969529085873, 'crest_recall': 1.0, 'crest_f1': 0.7221238938053098}","{'closeness': 0.00955315870570106, 'similarity_metrics': 0.1145034, 'contradiction': 0.23114947974681854, 'evidence_accuracy': 0.871244635193133, 'evidence_precision': 0.8724928366762178, 'evidence_recall': 0.9983606557377049, 'evidence_f1': 0.9311926605504587, 'crest_accuracy': 0.5662983425414365, 'crest_precision': 0.5650969529085873, 'crest_recall': 1.0, 'crest_f1': 0.7221238938053098}","{'closeness': 0.8409861325115562, 'similarity_metrics': 0.94873345, 'contradiction': 0.9928674697875977, 'evidence_accuracy': 0.2804005722460658, 'evidence_precision': 0.9652173913043478, 'evidence_recall': 0.1819672131147541, 'evidence_f1': 0.3062068965517242, 'crest_accuracy': 0.4723756906077348, 'crest_precision': 0.5436241610738255, 'crest_recall': 0.39705882352941174, 'crest_f1': 0.45892351274787535}","{'closeness': 0.9680491551459294, 'similarity_metrics': 0.9889623, 'contradiction': 0.9735980033874512, 'evidence_accuracy': 0.14878397711015737, 'evidence_precision': 0.8571428571428571, 'evidence_recall': 0.029508196721311476, 'evidence_f1': 0.05705229793977813, 'crest_accuracy': 0.44751381215469616, 'crest_precision': 0.625, 'crest_recall': 0.049019607843137254, 'crest_f1': 0.0909090909090909}"
"{'closeness': 0.00660417554324666, 'similarity_metrics': 0.05989504, 'contradiction': 0.15207962691783905, 'evidence_accuracy': 0.5600425079702445, 'evidence_precision': 0.5595744680851064, 'evidence_recall': 1.0, 'evidence_f1': 0.7175989085948159, 'crest_accuracy': 0.5989159891598916, 'crest_precision': 0.6005434782608695, 'crest_recall': 0.9954954954954955, 'crest_f1': 0.7491525423728814}","{'closeness': 0.9646357051555177, 'similarity_metrics': 0.98962784, 'contradiction': 0.6094456315040588, 'evidence_accuracy': 0.4537725823591923, 'evidence_precision': 0.7142857142857143, 'evidence_recall': 0.03802281368821293, 'evidence_f1': 0.07220216606498195, 'crest_accuracy': 0.4173441734417344, 'crest_precision': 0.8888888888888888, 'crest_recall': 0.036036036036036036, 'crest_f1': 0.06926406926406926}","{'closeness': 0.12057946314443968, 'similarity_metrics': 0.38401207, 'contradiction': 0.24322380125522614, 'evidence_accuracy': 0.5589798087141339, 'evidence_precision': 0.56, 'evidence_recall': 0.9847908745247148, 'evidence_f1': 0.7139903514817367, 'crest_accuracy': 0.5907859078590786, 'crest_precision': 0.6, 'crest_recall': 0.9594594594594594, 'crest_f1': 0.7383015597920278}","{'closeness': 0.004899872177247522, 'similarity_metrics': 0.010540968, 'contradiction': 0.11502211540937424, 'evidence_accuracy': 0.5600425079702445, 'evidence_precision': 0.5595744680851064, 'evidence_recall': 1.0, 'evidence_f1': 0.7175989085948159, 'crest_accuracy': 0.5989159891598916, 'crest_precision': 0.6005434782608695, 'crest_recall': 0.9954954954954955, 'crest_f1': 0.7491525423728814}","{'closeness': 0.9752876011930124, 'similarity_metrics': 0.99018717, 'contradiction': 0.0033269051928073168, 'evidence_accuracy': 0.44739638682252925, 'evidence_precision': 0.6363636363636364, 'evidence_recall': 0.026615969581749048, 'evidence_f1': 0.051094890510948905, 'crest_accuracy': 0.4010840108401084, 'crest_precision': 0.6, 'crest_recall': 0.013513513513513514, 'crest_f1': 0.026431718061674013}","{'closeness': 0.00660417554324666, 'similarity_metrics': 0.05989504, 'contradiction': 0.15207962691783905, 'evidence_accuracy': 0.5600425079702445, 'evidence_precision': 0.5595744680851064, 'evidence_recall': 1.0, 'evidence_f1': 0.7175989085948159, 'crest_accuracy': 0.5989159891598916, 'crest_precision': 0.6005434782608695, 'crest_recall': 0.9954954954954955, 'crest_f1': 0.7491525423728814}"
"{'closeness': 0.9546746042484102, 'similarity_metrics': 0.912984, 'contradiction': 0.061726778745651245, 'evidence_accuracy': 0.700381679389313, 'evidence_precision': 0.3761467889908257, 'evidence_recall': 0.09234234234234234, 'evidence_f1': 0.14828209764918626, 'crest_accuracy': 0.42480211081794195, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.036036036036036036, 'crest_f1': 0.06837606837606838}","{'closeness': 0.568799891760249, 'similarity_metrics': 0.90805197, 'contradiction': 0.10159694403409958, 'evidence_accuracy': 0.4904580152671756, 'evidence_precision': 0.31230283911671924, 'evidence_recall': 0.668918918918919, 'evidence_f1': 0.42580645161290326, 'crest_accuracy': 0.47229551451187335, 'crest_precision': 0.5887096774193549, 'crest_recall': 0.32882882882882886, 'crest_f1': 0.4219653179190751}","{'closeness': 0.5701528886483561, 'similarity_metrics': 0.90997267, 'contradiction': 0.10159694403409958, 'evidence_accuracy': 0.4910941475826972, 'evidence_precision': 0.3126315789473684, 'evidence_recall': 0.668918918918919, 'evidence_f1': 0.4261119081779053, 'crest_accuracy': 0.47229551451187335, 'crest_precision': 0.5887096774193549, 'crest_recall': 0.32882882882882886, 'crest_f1': 0.4219653179190751}","{'closeness': 0.5821945609525099, 'similarity_metrics': 0.9124335, 'contradiction': 0.026485148817300797, 'evidence_accuracy': 0.4917302798982188, 'evidence_precision': 0.3109691160809372, 'evidence_recall': 0.6576576576576577, 'evidence_f1': 0.4222704266088214, 'crest_accuracy': 0.46701846965699206, 'crest_precision': 0.5819672131147541, 'crest_recall': 0.31981981981981983, 'crest_f1': 0.4127906976744186}","{'closeness': 0.5817886618860777, 'similarity_metrics': 0.9058862, 'contradiction': 0.9234482049942017, 'evidence_accuracy': 0.48982188295165396, 'evidence_precision': 0.3099787685774947, 'evidence_recall': 0.6576576576576577, 'evidence_f1': 0.4213564213564213, 'crest_accuracy': 0.46437994722955145, 'crest_precision': 0.576, 'crest_recall': 0.32432432432432434, 'crest_f1': 0.414985590778098}","{'closeness': 0.9399269381680422, 'similarity_metrics': 0.9967874, 'contradiction': 0.006141517776995897, 'evidence_accuracy': 0.7048346055979644, 'evidence_precision': 0.421875, 'evidence_recall': 0.12162162162162163, 'evidence_f1': 0.18881118881118883, 'crest_accuracy': 0.41688654353562005, 'crest_precision': 0.5, 'crest_recall': 0.013574660633484163, 'crest_f1': 0.026431718061674013}"
"{'closeness': 0.9854651162790697, 'similarity_metrics': 0.99985003, 'contradiction': 0.7459664344787598, 'evidence_accuracy': 0.6898340248962656, 'evidence_precision': 0.6428571428571429, 'evidence_recall': 0.0297029702970297, 'evidence_f1': 0.05678233438485804, 'crest_accuracy': 0.42105263157894735, 'crest_precision': 0.5, 'crest_recall': 0.004545454545454545, 'crest_f1': 0.009009009009009009}","{'closeness': 0.6376661129568106, 'similarity_metrics': 0.9301872, 'contradiction': 0.9921407103538513, 'evidence_accuracy': 0.504149377593361, 'evidence_precision': 0.35537190082644626, 'evidence_recall': 0.7095709570957096, 'evidence_f1': 0.473568281938326, 'crest_accuracy': 0.6105263157894737, 'crest_precision': 0.6527196652719666, 'crest_recall': 0.7058823529411765, 'crest_f1': 0.6782608695652174}","{'closeness': 0.7595514950166113, 'similarity_metrics': 0.9587115, 'contradiction': 0.9916800856590271, 'evidence_accuracy': 0.5176348547717843, 'evidence_precision': 0.3424124513618677, 'evidence_recall': 0.5808580858085809, 'evidence_f1': 0.43084455324357407, 'crest_accuracy': 0.5526315789473685, 'crest_precision': 0.6307692307692307, 'crest_recall': 0.5565610859728507, 'crest_f1': 0.5913461538461539}","{'closeness': 0.8098006644518272, 'similarity_metrics': 0.9548863, 'contradiction': 0.9922234416007996, 'evidence_accuracy': 0.5456431535269709, 'evidence_precision': 0.35668789808917195, 'evidence_recall': 0.5544554455445545, 'evidence_f1': 0.434108527131783, 'crest_accuracy': 0.5552631578947368, 'crest_precision': 0.6313131313131313, 'crest_recall': 0.5656108597285068, 'crest_f1': 0.5966587112171837}","{'closeness': 0.8862126245847176, 'similarity_metrics': 0.99296665, 'contradiction': 0.9919726848602295, 'evidence_accuracy': 0.6545643153526971, 'evidence_precision': 0.4157303370786517, 'evidence_recall': 0.24422442244224424, 'evidence_f1': 0.30769230769230776, 'crest_accuracy': 0.4921052631578947, 'crest_precision': 0.7333333333333333, 'crest_recall': 0.19909502262443438, 'crest_f1': 0.31316725978647686}","{'closeness': 0.9683557394002068, 'similarity_metrics': 1.0000001, 'contradiction': 0.005439243279397488, 'evidence_accuracy': 0.691908713692946, 'evidence_precision': 0.6153846153846154, 'evidence_recall': 0.052805280528052806, 'evidence_f1': 0.09726443768996962, 'crest_accuracy': 0.41842105263157897, 'crest_precision': 0.0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 0.9926704129000733, 'similarity_metrics': 0.9854857, 'contradiction': 0.9892956614494324, 'evidence_accuracy': 0.5914489311163895, 'evidence_precision': 0.26666666666666666, 'evidence_recall': 0.011869436201780416, 'evidence_f1': 0.022727272727272724, 'crest_accuracy': 0.4074074074074074, 'crest_precision': 0.6, 'crest_recall': 0.02654867256637168, 'crest_f1': 0.05084745762711864}","{'closeness': 0.7956989247311828, 'similarity_metrics': 0.9654652, 'contradiction': 0.9601721167564392, 'evidence_accuracy': 0.5760095011876485, 'evidence_precision': 0.4484536082474227, 'evidence_recall': 0.258160237388724, 'evidence_f1': 0.327683615819209, 'crest_accuracy': 0.5343915343915344, 'crest_precision': 0.7024793388429752, 'crest_recall': 0.37777777777777777, 'crest_f1': 0.4913294797687861}","{'closeness': 0.7927663734115347, 'similarity_metrics': 0.9660684, 'contradiction': 0.9736801385879517, 'evidence_accuracy': 0.5700712589073634, 'evidence_precision': 0.4458874458874459, 'evidence_recall': 0.3056379821958457, 'evidence_f1': 0.36267605633802813, 'crest_accuracy': 0.5396825396825397, 'crest_precision': 0.704, 'crest_recall': 0.39111111111111113, 'crest_f1': 0.5028571428571428}","{'closeness': 0.7956989247311828, 'similarity_metrics': 0.9669285, 'contradiction': 0.9601721167564392, 'evidence_accuracy': 0.5665083135391924, 'evidence_precision': 0.43577981651376146, 'evidence_recall': 0.2818991097922849, 'evidence_f1': 0.34234234234234234, 'crest_accuracy': 0.5158730158730159, 'crest_precision': 0.6842105263157895, 'crest_recall': 0.3466666666666667, 'crest_f1': 0.4601769911504426}","{'closeness': 0.979227761485826, 'similarity_metrics': 0.9922551, 'contradiction': 0.973934531211853, 'evidence_accuracy': 0.5890736342042755, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.026706231454005934, 'evidence_f1': 0.04945054945054945, 'crest_accuracy': 0.41798941798941797, 'crest_precision': 0.6875, 'crest_recall': 0.048672566371681415, 'crest_f1': 0.0909090909090909}","{'closeness': 0.9819159335288368, 'similarity_metrics': 0.99419767, 'contradiction': 0.983726978302002, 'evidence_accuracy': 0.5878859857482185, 'evidence_precision': 0.32142857142857145, 'evidence_recall': 0.026706231454005934, 'evidence_f1': 0.049315068493150684, 'crest_accuracy': 0.4126984126984127, 'crest_precision': 0.6111111111111112, 'crest_recall': 0.048672566371681415, 'crest_f1': 0.09016393442622951}"
"{'closeness': 0.9595959595959596, 'similarity_metrics': 0.9555486, 'contradiction': 0.9639724493026733, 'evidence_accuracy': 0.3804878048780488, 'evidence_precision': 0.8604651162790697, 'evidence_recall': 0.08980582524271845, 'evidence_f1': 0.16263736263736264, 'crest_accuracy': 0.4666666666666667, 'crest_precision': 0.7931034482758621, 'crest_recall': 0.11004784688995216, 'crest_f1': 0.19327731092436976}","{'closeness': 0.27380952380952384, 'similarity_metrics': 0.8180336, 'contradiction': 0.8233826160430908, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.6757215619694398, 'evidence_recall': 0.9660194174757282, 'evidence_f1': 0.7952047952047951, 'crest_accuracy': 0.5555555555555556, 'crest_precision': 0.5730994152046783, 'crest_recall': 0.9333333333333333, 'crest_f1': 0.7101449275362318}","{'closeness': 0.25144300144300147, 'similarity_metrics': 0.83155966, 'contradiction': 0.21524351835250854, 'evidence_accuracy': 0.6487804878048781, 'evidence_precision': 0.6768953068592057, 'evidence_recall': 0.9101941747572816, 'evidence_f1': 0.7763975155279503, 'crest_accuracy': 0.5666666666666667, 'crest_precision': 0.5857605177993528, 'crest_recall': 0.8660287081339713, 'crest_f1': 0.6988416988416989}","{'closeness': 0.5707070707070707, 'similarity_metrics': 0.84012717, 'contradiction': 0.8741836547851562, 'evidence_accuracy': 0.5252032520325203, 'evidence_precision': 0.6704545454545454, 'evidence_recall': 0.5728155339805825, 'evidence_f1': 0.6178010471204188, 'crest_accuracy': 0.5138888888888888, 'crest_precision': 0.5720338983050848, 'crest_recall': 0.645933014354067, 'crest_f1': 0.6067415730337079}","{'closeness': 0.8777056277056277, 'similarity_metrics': 0.8733041, 'contradiction': 0.9891483187675476, 'evidence_accuracy': 0.3235772357723577, 'evidence_precision': 0.47674418604651164, 'evidence_recall': 0.09951456310679611, 'evidence_f1': 0.1646586345381526, 'crest_accuracy': 0.4861111111111111, 'crest_precision': 0.6621621621621622, 'crest_recall': 0.23444976076555024, 'crest_f1': 0.3462897526501767}","{'closeness': 0.7727272727272727, 'similarity_metrics': 0.9060168, 'contradiction': 0.96929931640625, 'evidence_accuracy': 0.4634146341463415, 'evidence_precision': 0.75625, 'evidence_recall': 0.2936893203883495, 'evidence_f1': 0.4230769230769231, 'crest_accuracy': 0.5611111111111111, 'crest_precision': 0.7684210526315789, 'crest_recall': 0.3492822966507177, 'crest_f1': 0.4802631578947368}"
"{'closeness': 0.007416267942583765, 'similarity_metrics': 0.05169561, 'contradiction': 0.41522276401519775, 'evidence_accuracy': 0.30902348578491967, 'evidence_precision': 0.30902348578491967, 'evidence_recall': 1.0, 'evidence_f1': 0.47214353163361666, 'crest_accuracy': 0.6055555555555555, 'crest_precision': 0.6055555555555555, 'crest_recall': 1.0, 'crest_f1': 0.7543252595155708}","{'closeness': 0.9516746411483253, 'similarity_metrics': 0.9840716, 'contradiction': 0.009947038255631924, 'evidence_accuracy': 0.7354758961681088, 'evidence_precision': 0.86, 'evidence_recall': 0.172, 'evidence_f1': 0.2866666666666666, 'crest_accuracy': 0.4527777777777778, 'crest_precision': 0.8888888888888888, 'crest_recall': 0.11009174311926606, 'crest_f1': 0.1959183673469388}","{'closeness': 0.9425837320574163, 'similarity_metrics': 0.98443854, 'contradiction': 0.009947038255631924, 'evidence_accuracy': 0.7416563658838071, 'evidence_precision': 0.847457627118644, 'evidence_recall': 0.2, 'evidence_f1': 0.32362459546925565, 'crest_accuracy': 0.45, 'crest_precision': 0.8571428571428571, 'crest_recall': 0.11009174311926606, 'crest_f1': 0.1951219512195122}","{'closeness': 0.9433014354066985, 'similarity_metrics': 0.9932691, 'contradiction': 0.009947038255631924, 'evidence_accuracy': 0.7379480840543882, 'evidence_precision': 0.8166666666666667, 'evidence_recall': 0.196, 'evidence_f1': 0.31612903225806455, 'crest_accuracy': 0.4305555555555556, 'crest_precision': 0.696969696969697, 'crest_recall': 0.10550458715596331, 'crest_f1': 0.18326693227091634}","{'closeness': 1.0, 'similarity_metrics': 1.0000001, 'contradiction': 0.00952011439949274, 'evidence_accuracy': 0.6897404202719407, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3972222222222222, 'crest_precision': 1.0, 'crest_recall': 0.0045871559633027525, 'crest_f1': 0.0091324200913242}","{'closeness': 0.0, 'similarity_metrics': -0.00031678565, 'contradiction': 0.3804817497730255, 'evidence_accuracy': 0.30902348578491967, 'evidence_precision': 0.30902348578491967, 'evidence_recall': 1.0, 'evidence_f1': 0.47214353163361666, 'crest_accuracy': 0.6055555555555555, 'crest_precision': 0.6055555555555555, 'crest_recall': 1.0, 'crest_f1': 0.7543252595155708}"
"{'closeness': 0.013857845328565044, 'similarity_metrics': 0.06020308, 'contradiction': 0.18078140914440155, 'evidence_accuracy': 0.5201793721973094, 'evidence_precision': 0.5201793721973094, 'evidence_recall': 1.0, 'evidence_f1': 0.6843657817109144, 'crest_accuracy': 0.5564516129032258, 'crest_precision': 0.5564516129032258, 'crest_recall': 1.0, 'crest_f1': 0.7150259067357513}","{'closeness': 0.9201716738197425, 'similarity_metrics': 0.99423623, 'contradiction': 0.9867340326309204, 'evidence_accuracy': 0.5515695067264574, 'evidence_precision': 0.9210526315789473, 'evidence_recall': 0.15086206896551724, 'evidence_f1': 0.25925925925925924, 'crest_accuracy': 0.489247311827957, 'crest_precision': 0.9047619047619048, 'crest_recall': 0.09178743961352658, 'crest_f1': 0.16666666666666669}","{'closeness': 0.9201716738197425, 'similarity_metrics': 0.99423623, 'contradiction': 0.9867340326309204, 'evidence_accuracy': 0.5515695067264574, 'evidence_precision': 0.9210526315789473, 'evidence_recall': 0.15086206896551724, 'evidence_f1': 0.25925925925925924, 'crest_accuracy': 0.489247311827957, 'crest_precision': 0.9047619047619048, 'crest_recall': 0.09178743961352658, 'crest_f1': 0.16666666666666669}","{'closeness': 0.8573983012963791, 'similarity_metrics': 0.99382395, 'contradiction': 0.980307400226593, 'evidence_accuracy': 0.5672645739910314, 'evidence_precision': 0.8823529411764706, 'evidence_recall': 0.1939655172413793, 'evidence_f1': 0.3180212014134276, 'crest_accuracy': 0.48655913978494625, 'crest_precision': 0.7857142857142857, 'crest_recall': 0.10628019323671498, 'crest_f1': 0.18723404255319148}","{'closeness': 0.9408362989323843, 'similarity_metrics': 0.9122968, 'contradiction': 0.9422047138214111, 'evidence_accuracy': 0.5089686098654709, 'evidence_precision': 0.7241379310344828, 'evidence_recall': 0.09051724137931035, 'evidence_f1': 0.16091954022988506, 'crest_accuracy': 0.4596774193548387, 'crest_precision': 0.6842105263157895, 'crest_recall': 0.0625, 'crest_f1': 0.1145374449339207}","{'closeness': 0.9551907719609583, 'similarity_metrics': 0.9961982, 'contradiction': 0.9814497232437134, 'evidence_accuracy': 0.5067264573991032, 'evidence_precision': 0.875, 'evidence_recall': 0.0603448275862069, 'evidence_f1': 0.11290322580645162, 'crest_accuracy': 0.4596774193548387, 'crest_precision': 0.875, 'crest_recall': 0.033816425120772944, 'crest_f1': 0.06511627906976744}"
"{'closeness': 0.9833458364591148, 'similarity_metrics': 0.999954, 'contradiction': 0.019581319764256477, 'evidence_accuracy': 0.44175824175824174, 'evidence_precision': 0.7272727272727273, 'evidence_recall': 0.02072538860103627, 'evidence_f1': 0.0403022670025189, 'crest_accuracy': 0.3937677053824363, 'crest_precision': 1.0, 'crest_recall': 0.004651162790697674, 'crest_f1': 0.009259259259259259}","{'closeness': 0.11061015930267504, 'similarity_metrics': 0.6159409, 'contradiction': 0.055650707334280014, 'evidence_accuracy': 0.558974358974359, 'evidence_precision': 0.563338301043219, 'evidence_recall': 0.9792746113989638, 'evidence_f1': 0.7152317880794701, 'crest_accuracy': 0.623229461756374, 'crest_precision': 0.6234939759036144, 'crest_recall': 0.9627906976744186, 'crest_f1': 0.7568555758683729}","{'closeness': 0.11045987376014432, 'similarity_metrics': 0.6165136, 'contradiction': 0.055437568575143814, 'evidence_accuracy': 0.5604395604395604, 'evidence_precision': 0.5639880952380952, 'evidence_recall': 0.9818652849740933, 'evidence_f1': 0.7164461247637052, 'crest_accuracy': 0.623229461756374, 'crest_precision': 0.6227544910179641, 'crest_recall': 0.9674418604651163, 'crest_f1': 0.7577413479052824}","{'closeness': 0.6540426810940787, 'similarity_metrics': 0.99575615, 'contradiction': 0.009484035894274712, 'evidence_accuracy': 0.6029304029304029, 'evidence_precision': 0.737603305785124, 'evidence_recall': 0.46243523316062174, 'evidence_f1': 0.5684713375796178, 'crest_accuracy': 0.37677053824362605, 'crest_precision': 0.2727272727272727, 'crest_recall': 0.013953488372093023, 'crest_f1': 0.026548672566371678}","{'closeness': 0.6877066426209799, 'similarity_metrics': 0.9886247, 'contradiction': 0.017479177564382553, 'evidence_accuracy': 0.5846153846153846, 'evidence_precision': 0.7223427331887202, 'evidence_recall': 0.43134715025906734, 'evidence_f1': 0.5401459854014599, 'crest_accuracy': 0.3597733711048159, 'crest_precision': 0.17647058823529413, 'crest_recall': 0.013953488372093023, 'crest_f1': 0.02586206896551724}","{'closeness': 0.0, 'similarity_metrics': 0.07539415, 'contradiction': 0.25577813386917114, 'evidence_accuracy': 0.5655677655677656, 'evidence_precision': 0.5655677655677656, 'evidence_recall': 1.0, 'evidence_f1': 0.7225081890500702, 'crest_accuracy': 0.6090651558073654, 'crest_precision': 0.6090651558073654, 'crest_recall': 1.0, 'crest_f1': 0.7570422535211268}"
"{'closeness': 0.9391025641025641, 'similarity_metrics': 0.96388, 'contradiction': 0.9918709993362427, 'evidence_accuracy': 0.17796610169491525, 'evidence_precision': 0.8571428571428571, 'evidence_recall': 0.058823529411764705, 'evidence_f1': 0.11009174311926605, 'crest_accuracy': 0.43454038997214484, 'crest_precision': 0.9411764705882353, 'crest_recall': 0.07339449541284404, 'crest_f1': 0.13617021276595745}","{'closeness': 0.836996336996337, 'similarity_metrics': 0.9682406, 'contradiction': 0.9752041101455688, 'evidence_accuracy': 0.288135593220339, 'evidence_precision': 0.9186046511627907, 'evidence_recall': 0.19362745098039216, 'evidence_f1': 0.31983805668016196, 'crest_accuracy': 0.43175487465181056, 'crest_precision': 0.6521739130434783, 'crest_recall': 0.13761467889908258, 'crest_f1': 0.22727272727272727}","{'closeness': 0.8443223443223443, 'similarity_metrics': 0.9682406, 'contradiction': 0.9752041101455688, 'evidence_accuracy': 0.2775423728813559, 'evidence_precision': 0.9240506329113924, 'evidence_recall': 0.17892156862745098, 'evidence_f1': 0.2997946611909651, 'crest_accuracy': 0.43175487465181056, 'crest_precision': 0.6521739130434783, 'crest_recall': 0.13761467889908258, 'crest_f1': 0.22727272727272727}","{'closeness': 0.842948717948718, 'similarity_metrics': 0.9677999, 'contradiction': 0.9753221273422241, 'evidence_accuracy': 0.2775423728813559, 'evidence_precision': 0.9240506329113924, 'evidence_recall': 0.17892156862745098, 'evidence_f1': 0.2997946611909651, 'crest_accuracy': 0.43175487465181056, 'crest_precision': 0.6521739130434783, 'crest_recall': 0.13761467889908258, 'crest_f1': 0.22727272727272727}","{'closeness': 0.8104395604395604, 'similarity_metrics': 0.96506596, 'contradiction': 0.995779275894165, 'evidence_accuracy': 0.3347457627118644, 'evidence_precision': 0.9272727272727272, 'evidence_recall': 0.25, 'evidence_f1': 0.3938223938223938, 'crest_accuracy': 0.43175487465181056, 'crest_precision': 0.5921052631578947, 'crest_recall': 0.20642201834862386, 'crest_f1': 0.30612244897959184}","{'closeness': 0.9432234432234432, 'similarity_metrics': 1.0000001, 'contradiction': 0.003265851177275181, 'evidence_accuracy': 0.1843220338983051, 'evidence_precision': 0.896551724137931, 'evidence_recall': 0.06372549019607843, 'evidence_f1': 0.11899313501144164, 'crest_accuracy': 0.4011142061281337, 'crest_precision': 1.0, 'crest_recall': 0.013761467889908258, 'crest_f1': 0.027149321266968326}"
