texts,labels,predictions,z,normal_text,word_rationales
▁A ▁man ▁shove ling ▁snow ▁off ▁the ▁roof ▁of ▁ a ▁building . </s> ▁A ▁young ▁woman ▁working ▁in ▁the ▁snow . </s>,0,0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.5000152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.4999847412109375, 0.0, 0.0, 1.0, 0.0, 0.0]",A man shoveling snow off the roof of a building. A young woman working in the snow.,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
▁A ▁man ▁shove ling ▁snow ▁off ▁the ▁roof ▁of ▁ a ▁building . </s> ▁A ▁man ▁working ▁in ▁the ▁snow . </s>,1,1,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man shoveling snow off the roof of a building. A man working in the snow.,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
▁Two ▁women ▁are ▁hug ging ▁on ▁ a ▁path ▁through ▁ a ▁grass y ▁area ▁with ▁ a ▁cow ▁visible ▁past ▁them . </s> ▁They ▁are ▁at ▁the ▁bar </s>,0,0,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Two women are hugging on a path through a grassy area with a cow visible past them. They are at the bar,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
▁Two ▁women ▁are ▁hug ging ▁on ▁ a ▁path ▁through ▁ a ▁grass y ▁area ▁with ▁ a ▁cow ▁visible ▁past ▁them . </s> ▁There ▁are ▁women ▁outside ▁in ▁this ▁picture </s>,1,0,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",Two women are hugging on a path through a grassy area with a cow visible past them. There are women outside in this picture,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
▁A ▁man ▁performing ▁auto ▁repair ▁in ▁front ▁of ▁ a ▁building . </s> ▁The ▁man ▁is ▁swimming ▁in ▁ a ▁pool . </s>,0,0,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man performing auto repair in front of a building. The man is swimming in a pool.,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
▁A ▁man ▁performing ▁auto ▁repair ▁in ▁front ▁of ▁ a ▁building . </s> ▁The ▁man ▁is ▁fixing ▁ a ▁car . </s>,1,0,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man performing auto repair in front of a building. The man is fixing a car.,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
▁A ▁man ▁in ▁aero dynamic ▁gear ▁riding ▁ a ▁bicycle ▁down ▁ a ▁road ▁around ▁ a ▁sharp ▁curve . </s> ▁the ▁man ▁is ▁skiing </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",A man in aerodynamic gear riding a bicycle down a road around a sharp curve. the man is skiing,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]"
▁A ▁man ▁in ▁aero dynamic ▁gear ▁riding ▁ a ▁bicycle ▁down ▁ a ▁road ▁around ▁ a ▁sharp ▁curve . </s> ▁the ▁man ▁is ▁riding ▁outside </s>,1,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",A man in aerodynamic gear riding a bicycle down a road around a sharp curve. the man is riding outside,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]"
▁A ▁man ▁in ▁aero dynamic ▁gear ▁riding ▁ a ▁bicycle ▁down ▁ a ▁road ▁around ▁ a ▁sharp ▁curve . </s> ▁the ▁man ▁is ▁going ▁to ▁the ▁store </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",A man in aerodynamic gear riding a bicycle down a road around a sharp curve. the man is going to the store,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]"
▁The ▁small ▁dog ▁is ▁running ▁across ▁the ▁lawn . </s> ▁A ▁cat ▁is ▁running ▁up ▁ a ▁tree . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",The small dog is running across the lawn. A cat is running up a tree.,"[0, 0, 0, 0, 1, 1, 0, 1]"
▁The ▁small ▁dog ▁is ▁running ▁across ▁the ▁lawn . </s> ▁A ▁ma m mal ▁is ▁running ▁through ▁the ▁yard . </s>,1,0,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",The small dog is running across the lawn. A mammal is running through the yard.,"[0, 0, 1, 0, 1, 1, 0, 1]"
▁A ▁young ▁boy ▁with ▁ a ▁ s have d ▁head ▁and ▁dirty ▁white ▁collar e d ▁shirt ▁holds ▁ a ▁chicken ▁in ▁his ▁arm . </s> ▁The ▁young ▁boy ▁went ▁swimming . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm. The young boy went swimming.,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
▁A ▁dog ▁is ▁running ▁in ▁the ▁waves ▁at ▁the ▁beach . </s> ▁The ▁pet ▁is ▁ laying ▁on ▁the ▁couch . </s>,0,0,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A dog is running in the waves at the beach. The pet is laying on the couch.,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
▁A ▁dog ▁is ▁running ▁in ▁the ▁waves ▁at ▁the ▁beach . </s> ▁An ▁animal ▁is ▁running ▁outside . </s>,1,1,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",A dog is running in the waves at the beach. An animal is running outside.,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
▁Family ▁members ▁standing ▁outside ▁ a ▁home . </s> ▁Strange r s ▁are ▁standing ▁indoor s . </s>,0,0,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Family members standing outside a home. Strangers are standing indoors.,"[1, 0, 0, 1, 0, 1]"
▁Family ▁members ▁standing ▁outside ▁ a ▁home . </s> ▁A ▁family ▁is ▁standing ▁outside . </s>,1,1,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",Family members standing outside a home. A family is standing outside.,"[0, 0, 1, 1, 0, 1]"
▁A ▁man ▁and ▁ a ▁child ▁painting ▁ a ▁post . </s> ▁The ▁two ▁men ▁are ▁fighting . </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man and a child painting a post. The two men are fighting.,"[0, 1, 0, 0, 1, 1, 1, 1]"
▁A ▁man ▁and ▁ a ▁child ▁painting ▁ a ▁post . </s> ▁The ▁boy ▁and ▁his ▁father ▁making ▁the ▁post ▁look ▁better . </s>,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",A man and a child painting a post. The boy and his father making the post look better.,"[0, 1, 0, 0, 1, 1, 0, 0]"
▁Four ▁men ▁with ▁baseball ▁caps ▁and ▁logo ▁ t - shirts ▁laughing ▁together ▁at ▁ a ▁table . </s> ▁The ▁men ▁are ▁selling ▁clothes ▁in ▁ a ▁sports ▁store . </s>,0,0,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",Four men with baseball caps and logo t-shirts laughing together at a table. The men are selling clothes in a sports store.,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
▁Four ▁men ▁with ▁baseball ▁caps ▁and ▁logo ▁ t - shirts ▁laughing ▁together ▁at ▁ a ▁table . </s> ▁Male s ▁are ▁social izing ▁with ▁each ▁other ▁while ▁wearing ▁casual ▁clothes . </s>,1,1,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",Four men with baseball caps and logo t-shirts laughing together at a table. Males are socializing with each other while wearing casual clothes.,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]"
▁A ▁big ▁dog ▁ catches ▁ a ▁ball ▁on ▁his ▁nose </s> ▁A ▁puppy ▁is ▁rolling ▁on ▁the ▁ground </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",A big dog catches a ball on his nose A puppy is rolling on the ground,"[0, 1, 0, 1, 0, 1, 0, 0, 1]"
▁Two ▁male ▁soccer ▁players ▁on ▁oppos ing ▁teams ▁are ▁trying ▁to ▁get ▁the ▁soccer ▁ball . </s> ▁Two ▁women ▁compete ▁in ▁ a ▁tennis ▁match . </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Two male soccer players on opposing teams are trying to get the soccer ball. Two women compete in a tennis match.,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]"
▁Two ▁male ▁soccer ▁players ▁on ▁oppos ing ▁teams ▁are ▁trying ▁to ▁get ▁the ▁soccer ▁ball . </s> ▁Two ▁soccer ▁players ▁go ▁after ▁the ▁ball . </s>,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",Two male soccer players on opposing teams are trying to get the soccer ball. Two soccer players go after the ball.,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
"▁Two ▁men ▁with ▁black ▁glasses ▁are ▁holding ▁food , ▁one ▁appears ▁to ▁be ▁eating . </s> ▁A ▁group ▁of ▁women ▁is ▁drinking ▁wine . </s>",0,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","Two men with black glasses are holding food, one appears to be eating. A group of women is drinking wine.","[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
"▁Two ▁men ▁with ▁black ▁glasses ▁are ▁holding ▁food , ▁one ▁appears ▁to ▁be ▁eating . </s> ▁There ▁are ▁two ▁men ▁with ▁food . </s>",1,1,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Two men with black glasses are holding food, one appears to be eating. There are two men with food.","[0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
▁A ▁boy ▁watches ▁ a ▁woman ▁walking ▁ a midst ▁many ▁concrete ▁boxes . </s> ▁A ▁woman ▁is ▁checking ▁out ▁the ▁men . </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A boy watches a woman walking amidst many concrete boxes. A woman is checking out the men.,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
▁A ▁boy ▁watches ▁ a ▁woman ▁walking ▁ a midst ▁many ▁concrete ▁boxes . </s> ▁A ▁boy ▁is ▁watching ▁ a ▁woman . </s>,1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A boy watches a woman walking amidst many concrete boxes. A boy is watching a woman.,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
▁Three ▁people ▁are ▁dressed ▁in ▁costumes ▁and ▁playing ▁musical ▁instruments . </s> ▁The ▁people ▁are ▁working ▁at ▁an ▁office . </s>,0,0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",Three people are dressed in costumes and playing musical instruments. The people are working at an office.,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
▁Three ▁people ▁are ▁dressed ▁in ▁costumes ▁and ▁playing ▁musical ▁instruments . </s> ▁The ▁people ▁are ▁in ▁costume ▁and ▁playing ▁music . </s>,1,1,"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",Three people are dressed in costumes and playing musical instruments. The people are in costume and playing music.,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
