baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.04761904761904767, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9909934), 'contradiction': 0.001693919999524951}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9909934), 'contradiction': 0.001693919999524951}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9909934), 'contradiction': 0.001693919999524951}",,,,"{'distance': 0.375, 'evidence_accuracy': 0.09090909090909091, 'evidence_precision': 0.09090909090909091, 'evidence_recall': 1.0, 'evidence_f1': 0.16666666666666669, 'similarity_metrics': np.float32(0.7224277), 'contradiction': 0.1953687220811844}"
,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.800427), 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.800427), 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.800427), 'contradiction': 0.9987712502479553}","{'distance': 0.375, 'evidence_accuracy': 0.09090909090909091, 'evidence_precision': 0.09090909090909091, 'evidence_recall': 1.0, 'evidence_f1': 0.16666666666666669, 'similarity_metrics': np.float32(0.85669446), 'contradiction': 0.0025776075199246407}"
,,,,,,"{'distance': 0.5789473684210527, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.5, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.7066468), 'contradiction': 0.08814740180969238}"
,,,,"{'distance': 0.5714285714285714, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.4, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.7304377), 'contradiction': 0.0014845605473965406}",,"{'distance': 0.4736842105263158, 'evidence_accuracy': 0.9090909090909091, 'evidence_precision': 1.0, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.8, 'similarity_metrics': np.float32(0.74083376), 'contradiction': 0.0014357842737808824}"
,,,,,,"{'distance': 0.47058823529411764, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.4, 'evidence_recall': 0.4, 'evidence_f1': 0.4000000000000001, 'similarity_metrics': np.float32(0.5993167), 'contradiction': 0.02619902975857258}"
,,,,,,"{'distance': 0.1875, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8819121), 'contradiction': 0.0010751321678981185}"
,"{'distance': 0.7142857142857143, 'evidence_accuracy': 0.8, 'evidence_precision': 0.7142857142857143, 'evidence_recall': 1.0, 'evidence_f1': 0.8333333333333333, 'similarity_metrics': np.float32(0.4101211), 'contradiction': 0.9954068660736084}","{'distance': 0.7142857142857143, 'evidence_accuracy': 0.8, 'evidence_precision': 0.7142857142857143, 'evidence_recall': 1.0, 'evidence_f1': 0.8333333333333333, 'similarity_metrics': np.float32(0.4101211), 'contradiction': 0.9954068660736084}",,,,
,,,,,,"{'distance': 0.28, 'evidence_accuracy': 0.3, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.75345314), 'contradiction': 0.0011548742186278105}"
"{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72107714), 'contradiction': 0.9992024302482605}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72107714), 'contradiction': 0.9992024302482605}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72107714), 'contradiction': 0.9992024302482605}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72107714), 'contradiction': 0.9992024302482605}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72107714), 'contradiction': 0.9992024302482605}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72107714), 'contradiction': 0.9992024302482605}","{'distance': 0.3846153846153846, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.6146818), 'contradiction': 0.9987899661064148}"
,,,"{'distance': 0.04761904761904767, 'evidence_accuracy': 0.6, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.6497567), 'contradiction': 0.9973859190940857}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.6, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.6497567), 'contradiction': 0.9973859190940857}",,"{'distance': 0.28, 'evidence_accuracy': -0.1, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7437596), 'contradiction': 0.0017359707271680236}"
,,,,,,
,,,,,,
,,,,,,
,,"{'distance': 0.26315789473684215, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.5508086), 'contradiction': 0.001455492340028286}","{'distance': 0.6470588235294117, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': np.float32(0.45738906), 'contradiction': 0.9988711476325989}","{'distance': 0.6470588235294117, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': np.float32(0.45738906), 'contradiction': 0.9988711476325989}","{'distance': 0.6470588235294117, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': np.float32(0.45738906), 'contradiction': 0.9988711476325989}","{'distance': 0.36, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.7945852), 'contradiction': 0.0025067951064556837}"
,,,,,,
,,,,,,"{'distance': 0.23529411764705888, 'evidence_accuracy': 0.4666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.804023), 'contradiction': 0.22448252141475677}"
,,,,,,
,,,,,,
"{'distance': 0.30000000000000004, 'evidence_accuracy': 0.625, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.708513), 'contradiction': 0.0037691593170166016}",,"{'distance': 0.30000000000000004, 'evidence_accuracy': 0.625, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.708513), 'contradiction': 0.0037691593170166016}","{'distance': 0.17647058823529416, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.4346508), 'contradiction': 0.831631600856781}","{'distance': 0.17647058823529416, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.4346508), 'contradiction': 0.831631600856781}","{'distance': 0.05882352941176472, 'evidence_accuracy': 0.625, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.7275902), 'contradiction': 0.9966223239898682}","{'distance': 0.4545454545454546, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': np.float32(0.6097938), 'contradiction': 0.001232731156051159}"
,,,,,,
,,"{'distance': 0.5294117647058824, 'evidence_accuracy': 0.6, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.19546269), 'contradiction': 0.9991029500961304}",,,,
"{'distance': 0.5714285714285714, 'evidence_accuracy': 0.3, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.5, 'evidence_f1': 0.22222222222222224, 'similarity_metrics': np.float32(0.606157), 'contradiction': 0.0010044197551906109}","{'distance': 0.4666666666666667, 'evidence_accuracy': 0.4, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.60525346), 'contradiction': 0.001121459063142538}","{'distance': 0.4666666666666667, 'evidence_accuracy': 0.4, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.60525346), 'contradiction': 0.001121459063142538}",,,,
,,,,,,
,,,,,,"{'distance': 0.5, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.9414499), 'contradiction': 0.0025624779518693686}"
,,,,,,
,,,,,,
,,,,,,
"{'distance': 0.12, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.7324254), 'contradiction': 0.006809896789491177}","{'distance': 0.12, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.7324254), 'contradiction': 0.006809896789491177}",,"{'distance': 0.15384615384615385, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.68516725), 'contradiction': 0.9972841739654541}","{'distance': 0.03703703703703709, 'evidence_accuracy': 0.9230769230769231, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.649075), 'contradiction': 0.9957341551780701}","{'distance': 0.15384615384615385, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.68516725), 'contradiction': 0.9972841739654541}","{'distance': 0.37142857142857144, 'evidence_accuracy': 0.6923076923076923, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.81164205), 'contradiction': 0.0012231647269800305}"
,,,,,,
"{'distance': 0.9047619047619048, 'evidence_accuracy': 0.21428571428571427, 'evidence_precision': 0.15384615384615385, 'evidence_recall': 1.0, 'evidence_f1': 0.2666666666666667, 'similarity_metrics': np.float32(0.29483742), 'contradiction': 0.9963588118553162}","{'distance': 0.9047619047619048, 'evidence_accuracy': 0.21428571428571427, 'evidence_precision': 0.15384615384615385, 'evidence_recall': 1.0, 'evidence_f1': 0.2666666666666667, 'similarity_metrics': np.float32(0.29483742), 'contradiction': 0.9963588118553162}","{'distance': 0.9047619047619048, 'evidence_accuracy': 0.21428571428571427, 'evidence_precision': 0.15384615384615385, 'evidence_recall': 1.0, 'evidence_f1': 0.2666666666666667, 'similarity_metrics': np.float32(0.29483742), 'contradiction': 0.9963588118553162}",,,,
,,,"{'distance': 0.03448275862068961, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 1.0, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': np.float32(0.6576563), 'contradiction': 0.9910784363746643}","{'distance': 0.03448275862068961, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 1.0, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': np.float32(0.6576563), 'contradiction': 0.9910784363746643}",,"{'distance': 0.23529411764705888, 'evidence_accuracy': 0.21428571428571427, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.15384615384615383, 'similarity_metrics': np.float32(0.8334929), 'contradiction': 0.004622720181941986}"
,,,,,,
,,,,,,"{'distance': 0.29032258064516125, 'evidence_accuracy': 0.9230769230769231, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.854037), 'contradiction': 0.00256439670920372}"
,,,,,,
,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9673327), 'contradiction': 0.9867375493049622}","{'distance': 0.26315789473684215, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8804734), 'contradiction': 0.8451763987541199}","{'distance': 0.26315789473684215, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8804734), 'contradiction': 0.8451763987541199}","{'distance': 0.36, 'evidence_accuracy': 0.2, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.87044775), 'contradiction': 0.001934039406478405}"
,,,,,,
,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.2, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': np.float32(0.51220953), 'contradiction': 0.9991533756256104}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.2, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': np.float32(0.51220953), 'contradiction': 0.9991533756256104}","{'distance': 0.23809523809523814, 'evidence_accuracy': 0.6, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.4, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.52362275), 'contradiction': 0.9991986155509949}","{'distance': 0.40740740740740744, 'evidence_accuracy': 0.5, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4444444444444444, 'similarity_metrics': np.float32(0.92004555), 'contradiction': 0.0016421123873442411}"
,,,,,,
"{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.9805926), 'contradiction': 0.001637320383451879}",,"{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.9805926), 'contradiction': 0.001637320383451879}",,,,
,,,,,,
"{'distance': 0.18518518518518523, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8898602), 'contradiction': 0.001628129044547677}","{'distance': 0.18518518518518523, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8898602), 'contradiction': 0.001628129044547677}","{'distance': 0.18518518518518523, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8898602), 'contradiction': 0.001628129044547677}","{'distance': 0.032258064516129004, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7368412), 'contradiction': 0.9985724687576294}","{'distance': 0.032258064516129004, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7368412), 'contradiction': 0.9985724687576294}","{'distance': 0.032258064516129004, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7368412), 'contradiction': 0.9985724687576294}","{'distance': 0.26315789473684215, 'evidence_accuracy': 0.9333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.9118574), 'contradiction': 0.0017657270655035973}"
,,,,,,"{'distance': 0.4782608695652174, 'evidence_accuracy': 0.625, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8350173), 'contradiction': 0.015333306975662708}"
,,,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.72905827), 'contradiction': 0.9972572922706604}","{'distance': 0.05882352941176472, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.72905827), 'contradiction': 0.9972572922706604}",,"{'distance': 0.36363636363636365, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.88663876), 'contradiction': 0.028598124161362648}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.5555555555555556, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.6971195), 'contradiction': 0.0036781574599444866}"
,,,,,,
,,,,,,"{'distance': 0.2857142857142857, 'evidence_accuracy': 0.36363636363636365, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.5, 'evidence_f1': 0.22222222222222224, 'similarity_metrics': np.float32(0.8634027), 'contradiction': 0.004327906295657158}"
,,,,,,
,,,"{'distance': 0.052631578947368474, 'evidence_accuracy': 0.7777777777777778, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.5589974), 'contradiction': 0.9975441098213196}","{'distance': 0.2222222222222222, 'evidence_accuracy': 0.7777777777777778, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.54622185), 'contradiction': 0.9975430965423584}","{'distance': 0.17647058823529416, 'evidence_accuracy': 0.8888888888888888, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.9773305), 'contradiction': 0.003275218652561307}","{'distance': 0.28, 'evidence_accuracy': 0.1111111111111111, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.87851983), 'contradiction': 0.0017429969739168882}"
,,,,,,
"{'distance': 0.0625, 'evidence_accuracy': 0.9375, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.94032407), 'contradiction': 0.001617379835806787}","{'distance': 0.0625, 'evidence_accuracy': 0.9375, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.94032407), 'contradiction': 0.001617379835806787}","{'distance': 0.0625, 'evidence_accuracy': 0.9375, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.94032407), 'contradiction': 0.001617379835806787}",,"{'distance': 0.0625, 'evidence_accuracy': 0.9375, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.94032407), 'contradiction': 0.001617379835806787}","{'distance': 0.0625, 'evidence_accuracy': 0.9375, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.94032407), 'contradiction': 0.001617379835806787}","{'distance': 0.4736842105263158, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7594186), 'contradiction': 0.00612432649359107}"
,,,,,,"{'distance': 0.2857142857142857, 'evidence_accuracy': 0.1, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.79136753), 'contradiction': 0.0015348483575507998}"
,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.6720307), 'contradiction': 0.9967395663261414}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.6720307), 'contradiction': 0.9967395663261414}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.6720307), 'contradiction': 0.9967395663261414}","{'distance': 0.4, 'evidence_accuracy': -0.1, 'evidence_precision': 0.09090909090909091, 'evidence_recall': 0.5, 'evidence_f1': 0.15384615384615385, 'similarity_metrics': np.float32(0.8570589), 'contradiction': 0.003962659277021885}"
,,,,,,
"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9988911), 'contradiction': 0.0009109146776609123}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9988911), 'contradiction': 0.0009109146776609123}",,,"{'distance': 0.6470588235294117, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.6670879), 'contradiction': 0.9987598657608032}",,"{'distance': 0.28, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8764335), 'contradiction': 0.11576593667268753}"
