e-implcit-target-e-persona-human,e-implcit-target-e-persona-you,baseline,e-persona-you,e-implcit-target,e-persona-human,TextFoolerJin2019
"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.23809523809523814, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.70584726, 'contradiction': 0.999371349811554}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.94260955, 'contradiction': 0.003962558228522539}"
,,,,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.72471416, 'contradiction': 0.24129723012447357}"
,,,,,,
,"{'distance': 0.1333333333333333, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.95218265, 'contradiction': 0.015150579623878002}",,,"{'distance': 0.1333333333333333, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.95218265, 'contradiction': 0.015150579623878002}",,"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9500698, 'contradiction': 0.0014002900570631027}"
,,,,,,
"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7826902, 'contradiction': 0.9960432052612305}","{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7826902, 'contradiction': 0.9960432052612305}",,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7826902, 'contradiction': 0.9960432052612305}",,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.92395514, 'contradiction': 0.0017316712765023112}"
"{'distance': 0.09999999999999998, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.8013503, 'contradiction': 0.9990931749343872}","{'distance': 0.09999999999999998, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.8013503, 'contradiction': 0.9990931749343872}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7210772, 'contradiction': 0.9992024302482605}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7210772, 'contradiction': 0.9992024302482605}","{'distance': 0.09999999999999998, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.8013503, 'contradiction': 0.9990931749343872}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7210772, 'contradiction': 0.9992024302482605}","{'distance': 0.09999999999999998, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8344522, 'contradiction': 0.011406974866986275}"
,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.6, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.85604054, 'contradiction': 0.9982776641845703}","{'distance': 0.13043478260869568, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.83347267, 'contradiction': 0.0041906628757715225}",,"{'distance': 0.13043478260869568, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.83347267, 'contradiction': 0.0041906628757715225}","{'distance': 0.09999999999999998, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.2, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': 0.8932513, 'contradiction': 0.024196047335863113}"
,,,,,,
,,,,,,"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.7058823529411765, 'evidence_precision': 0.5, 'evidence_recall': 0.4, 'evidence_f1': 0.4444444444444445, 'similarity_metrics': 0.7965747, 'contradiction': 0.0016497272299602628}"
,,,,,,
,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 1.0, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.8, 'similarity_metrics': 0.45923406, 'contradiction': 0.9982331991195679}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 1.0, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.8, 'similarity_metrics': 0.45923406, 'contradiction': 0.9982331991195679}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.6326083, 'contradiction': 0.9983813762664795}",,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.9192379, 'contradiction': 0.003983575850725174}"
,,,,,,
,,,,,,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.98139787, 'contradiction': 0.0020190782379359007}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.8894912, 'contradiction': 0.0022762552835047245}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': 0.7169926, 'contradiction': 0.0018238230841234326}"
,,,,,,
"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.81413317, 'contradiction': 0.9926221370697021}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.7228101, 'contradiction': 0.9960466027259827}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.7228101, 'contradiction': 0.9960466027259827}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.9828227, 'contradiction': 0.0031991221476346254}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.98282135, 'contradiction': 0.0019268702017143369}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.9933275, 'contradiction': 0.002049617702141404}"
,,,,,,
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.95413435, 'contradiction': 0.0023912563920021057}"
,,,,,,
,,,,,,"{'distance': 0.4, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.73249555, 'contradiction': 0.002454385394230485}"
,,,,,,
"{'distance': 0.04761904761904767, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6773403, 'contradiction': 0.9986602067947388}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6773403, 'contradiction': 0.9986602067947388}",,,"{'distance': 0.04761904761904767, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6773403, 'contradiction': 0.9986602067947388}",,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.6, 'evidence_f1': 0.7499999999999999, 'similarity_metrics': 0.93532646, 'contradiction': 0.011276781558990479}"
,,,,,,
,,,,,,
,,,,,,
"{'distance': 0.032258064516129004, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7368411, 'contradiction': 0.9985724687576294}","{'distance': 0.032258064516129004, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7368411, 'contradiction': 0.9985724687576294}",,,"{'distance': 0.032258064516129004, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7368411, 'contradiction': 0.9985724687576294}",,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.9333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.9608836, 'contradiction': 0.0009306152351200581}"
"{'distance': 0.125, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.849705, 'contradiction': 0.9902859330177307}","{'distance': 0.125, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.849705, 'contradiction': 0.9902859330177307}",,,"{'distance': 0.125, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.849705, 'contradiction': 0.9902859330177307}",,"{'distance': 0.375, 'evidence_accuracy': 0.625, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.661294, 'contradiction': 0.011186933144927025}"
"{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.849705, 'contradiction': 0.9902859330177307}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.849705, 'contradiction': 0.9902859330177307}","{'distance': 0.30434782608695654, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7681856, 'contradiction': 0.008733309805393219}","{'distance': 0.30434782608695654, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7681856, 'contradiction': 0.008733309805393219}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.849705, 'contradiction': 0.9902859330177307}","{'distance': 0.30434782608695654, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7681856, 'contradiction': 0.008733309805393219}","{'distance': 0.125, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9463904, 'contradiction': 0.002222652779892087}"
,,,,,,"{'distance': 0.2142857142857143, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8237333, 'contradiction': 0.0048327879048883915}"
,,,,,,
"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.875, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.66102517, 'contradiction': 0.9967178702354431}","{'distance': 0.05882352941176472, 'evidence_accuracy': 0.875, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.66102517, 'contradiction': 0.9967178702354431}",,,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.875, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.66102517, 'contradiction': 0.9967178702354431}",,
,,,,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.9859972, 'contradiction': 0.0023969474714249372}"
,,,,,,
,,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.7777777777777778, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.84081686, 'contradiction': 0.02321719005703926}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.7777777777777778, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.84081686, 'contradiction': 0.02321719005703926}",,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.7777777777777778, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.84081686, 'contradiction': 0.02321719005703926}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.96898353, 'contradiction': 0.003417348489165306}"
,,,,,,
,,,,,,"{'distance': 0.0625, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.979351, 'contradiction': 0.001367455697618425}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.89301485, 'contradiction': 0.0020057917572557926}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.9, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.90112996, 'contradiction': 0.007298747543245554}"
,,,,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.9481276, 'contradiction': 0.0010015174048021436}"
,,,,,,
,,,,,,
,,"{'distance': 0.4, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7773875, 'contradiction': 0.005018547642976046}","{'distance': 0.4, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7773875, 'contradiction': 0.005018547642976046}",,"{'distance': 0.4, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7773875, 'contradiction': 0.005018547642976046}",
,,,,,,
,,,,,,"{'distance': 0.052631578947368474, 'evidence_accuracy': 0.7894736842105263, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.98449945, 'contradiction': 0.0011167667107656598}"
,,,,,,
,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 1.0, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': 0.9469769, 'contradiction': 0.997361958026886}","{'distance': 0.07692307692307687, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 1.0, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': 0.9469769, 'contradiction': 0.997361958026886}",,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 1.0, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': 0.9469769, 'contradiction': 0.997361958026886}","{'distance': 0.15384615384615385, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8093962, 'contradiction': 0.9950823783874512}"
,,,,,,"{'distance': 0.15384615384615385, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.86111856, 'contradiction': 0.9106889367103577}"
,,,,,,"{'distance': 0.1875, 'evidence_accuracy': 0.5625, 'evidence_precision': 0.25, 'evidence_recall': 0.2, 'evidence_f1': 0.22222222222222224, 'similarity_metrics': 0.8797075, 'contradiction': 0.0007328783394768834}"
"{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9923223, 'contradiction': 0.0020460085943341255}","{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9923223, 'contradiction': 0.0020460085943341255}",,,"{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9923223, 'contradiction': 0.0020460085943341255}",,"{'distance': 0.0625, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.9377407, 'contradiction': 0.39616161584854126}"
,,,,,,
,,,,,,"{'distance': 0.1333333333333333, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 1.0, 'evidence_recall': 0.6, 'evidence_f1': 0.7499999999999999, 'similarity_metrics': 0.9437095, 'contradiction': 0.0032577351666986942}"
"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.88274765, 'contradiction': 0.0052249496802687645}",,,"{'distance': 0.2142857142857143, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8207742, 'contradiction': 0.002465897472575307}",,"{'distance': 0.2142857142857143, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8207742, 'contradiction': 0.002465897472575307}","{'distance': 0.08333333333333337, 'evidence_accuracy': 0.9166666666666666, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.9330764, 'contradiction': 0.0014619298744946718}"
"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9255415, 'contradiction': 0.006537199951708317}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9255415, 'contradiction': 0.006537199951708317}",,,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9255415, 'contradiction': 0.006537199951708317}",,"{'distance': 0.08333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.93402135, 'contradiction': 0.014031185768544674}"
"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8814224, 'contradiction': 0.9818799495697021}","{'distance': 0.06666666666666665, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8814224, 'contradiction': 0.9818799495697021}","{'distance': 0.06666666666666665, 'evidence_accuracy': 0.9333333333333333, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.9094031, 'contradiction': 0.9840190410614014}","{'distance': 0.06666666666666665, 'evidence_accuracy': 0.9333333333333333, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.9094031, 'contradiction': 0.9840190410614014}",,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.9333333333333333, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.9094031, 'contradiction': 0.9840190410614014}","{'distance': 0.06666666666666665, 'evidence_accuracy': 0.8666666666666667, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.98391193, 'contradiction': 0.0010498770279809833}"
