baseline,e-implcit-target-e-persona-human,e-persona-you,e-implcit-target-e-persona-you,e-implcit-target,e-persona-human,TextFoolerJin2019
"{'distance': 0.36363636363636365, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.8087714), 'contradiction': 0.00131514563690871}","{'distance': 0.5294117647058824, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.093830585), 'contradiction': 0.9905898571014404}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.99247175), 'contradiction': 0.004271944519132376}","{'distance': 0.4117647058823529, 'evidence_accuracy': 0.8, 'evidence_precision': 0.6, 'evidence_recall': 1.0, 'evidence_f1': 0.7499999999999999, 'similarity_metrics': np.float32(0.2925412), 'contradiction': 0.015369147062301636}","{'distance': 0.4117647058823529, 'evidence_accuracy': 0.8, 'evidence_precision': 0.6, 'evidence_recall': 1.0, 'evidence_f1': 0.7499999999999999, 'similarity_metrics': np.float32(0.2925412), 'contradiction': 0.015369147062301636}","{'distance': 0.04761904761904767, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.99247175), 'contradiction': 0.004271944519132376}","{'distance': 0.3846153846153846, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.51715803), 'contradiction': 0.8054196834564209}"
"{'distance': 0.625, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': np.float32(0.67860174), 'contradiction': 0.00048567840713076293}",,"{'distance': 0.625, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': np.float32(0.67860174), 'contradiction': 0.00048567840713076293}",,,"{'distance': 0.625, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': np.float32(0.67860174), 'contradiction': 0.00048567840713076293}","{'distance': 0.36, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.77978295), 'contradiction': 0.0024399810936301947}"
,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8873559), 'contradiction': 0.9814109206199646}",,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8873559), 'contradiction': 0.9814109206199646}","{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8873559), 'contradiction': 0.9814109206199646}",,"{'distance': 0.21212121212121215, 'evidence_accuracy': 0.7333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.6700744), 'contradiction': 0.004546794109046459}"
,,,,,,"{'distance': 0.23529411764705888, 'evidence_accuracy': 0.2, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.85987604), 'contradiction': 0.001791196409612894}"
,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8873559), 'contradiction': 0.9814109206199646}",,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8873559), 'contradiction': 0.9814109206199646}","{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8873559), 'contradiction': 0.9814109206199646}",,"{'distance': 0.2777777777777778, 'evidence_accuracy': 0.7333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.73270416), 'contradiction': 0.0015715748304501176}"
,,,,,,"{'distance': 0.6363636363636364, 'evidence_accuracy': 0.625, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.3505572), 'contradiction': 0.8409867882728577}"
,,,,,,"{'distance': 0.4545454545454546, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': np.float32(0.6301755), 'contradiction': 0.002798730041831732}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.8, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.750216), 'contradiction': 0.03377002105116844}"
,,,,,,"{'distance': 0.4666666666666667, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.7314982), 'contradiction': 0.011694048531353474}"
"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.98762834), 'contradiction': 0.0036804843693971634}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.7644153), 'contradiction': 0.9984323382377625}","{'distance': 0.07692307692307687, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.98762834), 'contradiction': 0.0036804843693971634}","{'distance': 0.23076923076923073, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.72767687), 'contradiction': 0.9986101388931274}","{'distance': 0.4545454545454546, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.6603874), 'contradiction': 0.9953868985176086}",,"{'distance': 0.5, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': np.float32(0.8265673), 'contradiction': 0.004309719428420067}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.4285714285714286, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.69689184), 'contradiction': 0.0013867169618606567}"
,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.4444444444444444, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.84773207), 'contradiction': 0.33006682991981506}",,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.78694403), 'contradiction': 0.9986504912376404}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.78694403), 'contradiction': 0.9986504912376404}",,"{'distance': 0.25, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.67710507), 'contradiction': 0.002782628173008561}"
,,,,,,"{'distance': 0.7058823529411764, 'evidence_accuracy': 0.5, 'evidence_precision': 0.2222222222222222, 'evidence_recall': 1.0, 'evidence_f1': 0.3636363636363636, 'similarity_metrics': np.float32(0.35822383), 'contradiction': 0.9652293920516968}"
,,,,"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7625343), 'contradiction': 0.9985936284065247}",,"{'distance': 0.23529411764705888, 'evidence_accuracy': 0.21428571428571427, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.15384615384615383, 'similarity_metrics': np.float32(0.8317454), 'contradiction': 0.0011723630595952272}"
,,,,,,
,,,,,,"{'distance': 0.4193548387096774, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.7636565), 'contradiction': 0.003950631245970726}"
,,,,,,
,,,,,,"{'distance': 0.36, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.8979972), 'contradiction': 0.0022134038154035807}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.26315789473684215, 'evidence_accuracy': 0.9333333333333333, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.9111774), 'contradiction': 0.0017762299394235015}"
,,,,,,"{'distance': 0.3913043478260869, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.85681576), 'contradiction': 0.006174961570650339}"
,,,,,,"{'distance': 0.36363636363636365, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8999578), 'contradiction': 0.0033812248148024082}"
,"{'distance': 0.12, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.914192), 'contradiction': 0.008094468154013157}","{'distance': 0.1333333333333333, 'evidence_accuracy': 0.7857142857142857, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9851583), 'contradiction': 0.0014011620078235865}","{'distance': 0.12, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.914192), 'contradiction': 0.008094468154013157}","{'distance': 0.12, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.914192), 'contradiction': 0.008094468154013157}",,"{'distance': 0.25, 'evidence_accuracy': 0.8571428571428571, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.86276054), 'contradiction': 0.001163896289654076}"
,,,,,,"{'distance': 0.5, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.5531421), 'contradiction': 0.01551384199410677}"
,,,,,,
,,,,,,
,"{'distance': 0.13043478260869568, 'evidence_accuracy': 0.9090909090909091, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.81816584), 'contradiction': 0.994417667388916}",,"{'distance': 0.13043478260869568, 'evidence_accuracy': 0.9090909090909091, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.81816584), 'contradiction': 0.994417667388916}",,,"{'distance': 0.2857142857142857, 'evidence_accuracy': 0.18181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8034363), 'contradiction': 0.2289784550666809}"
,,,,,,
,,,,,,
"{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.95840067), 'contradiction': 0.0016441730549558997}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': np.float32(0.80681825), 'contradiction': 0.9905834197998047}",,"{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.95840067), 'contradiction': 0.0016441730549558997}","{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.95840067), 'contradiction': 0.0016441730549558997}","{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.95840067), 'contradiction': 0.0016441730549558997}","{'distance': 0.29729729729729726, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.25, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': np.float32(0.58417356), 'contradiction': 0.014847963117063046}"
,,,"{'distance': 0.4285714285714286, 'evidence_accuracy': 0.625, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.8500751), 'contradiction': 0.630761981010437}","{'distance': 0.1875, 'evidence_accuracy': 0.8125, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.5, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.91756225), 'contradiction': 0.9956309795379639}",,"{'distance': 0.26315789473684215, 'evidence_accuracy': 0.875, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8149189), 'contradiction': 0.002796380314975977}"
,,,,,,
,,,,,,"{'distance': 0.4, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9013949), 'contradiction': 0.0016859376337379217}"
,,,,,,"{'distance': 0.3571428571428571, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.80276525), 'contradiction': 0.0011010015150532126}"
,"{'distance': 0.8666666666666667, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.5347227), 'contradiction': 0.0008469805470667779}","{'distance': 0.8666666666666667, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.5347227), 'contradiction': 0.0008469805470667779}",,,,"{'distance': 0.28, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.9041803), 'contradiction': 0.0010931057622656226}"
,,,,,,"{'distance': 0.5, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.5533562), 'contradiction': 0.9774566292762756}"
,"{'distance': 0.5, 'evidence_accuracy': 0.5, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.5, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.596048), 'contradiction': 0.01403361838310957}",,"{'distance': 0.5, 'evidence_accuracy': 0.5, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.5, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.596048), 'contradiction': 0.01403361838310957}","{'distance': 0.5, 'evidence_accuracy': 0.5, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.5, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.596048), 'contradiction': 0.01403361838310957}",,"{'distance': 0.5294117647058824, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.5504695), 'contradiction': 0.015424034558236599}"
,,,,,,"{'distance': 0.4666666666666667, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.5876817), 'contradiction': 0.004847038071602583}"
,,,,,,
,,,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.631578947368421, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7367153), 'contradiction': 0.002765174023807049}"
"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.9230769230769231, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.8452157), 'contradiction': 0.9980708956718445}",,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.9230769230769231, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.8452157), 'contradiction': 0.9980708956718445}","{'distance': 0.625, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 1.0, 'evidence_f1': 0.4444444444444445, 'similarity_metrics': np.float32(0.35289305), 'contradiction': 0.0032388591207563877}"
,,,,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.3076923076923077, 'evidence_precision': 0.2, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.1818181818181818, 'similarity_metrics': np.float32(0.8752018), 'contradiction': 0.03599516674876213}"
,"{'distance': 0.4285714285714286, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.75, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': np.float32(0.85597765), 'contradiction': 0.0007620406686328351}","{'distance': 0.4545454545454546, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.75, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': np.float32(0.83346665), 'contradiction': 0.0008209033985622227}",,,"{'distance': 0.4545454545454546, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.75, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': np.float32(0.83346665), 'contradiction': 0.0008209033985622227}","{'distance': 0.29032258064516125, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': np.float32(0.7830385), 'contradiction': 0.0026135670486837626}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.3125, 'evidence_accuracy': 0.9166666666666666, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.74590343), 'contradiction': 0.002390715293586254}"
