e-implcit-target-e-persona-you,e-persona-you,e-implcit-target-e-persona-human,baseline,e-implcit-target,e-persona-human,TextFoolerJin2019
"{'distance': 0.43999999999999995, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.45748824, 'contradiction': 0.9952261447906494}","{'distance': 0.21739130434782605, 'evidence_accuracy': 0.9090909090909091, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.66491115, 'contradiction': 0.9966142773628235}","{'distance': 0.43999999999999995, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.45748824, 'contradiction': 0.9952261447906494}","{'distance': 0.21739130434782605, 'evidence_accuracy': 0.9090909090909091, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.66491115, 'contradiction': 0.9966142773628235}","{'distance': 0.43999999999999995, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.45748824, 'contradiction': 0.9952261447906494}","{'distance': 0.21739130434782605, 'evidence_accuracy': 0.9090909090909091, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.66491115, 'contradiction': 0.9966142773628235}",
,,,,,,
"{'distance': 0.6129032258064516, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.25, 'similarity_metrics': 0.5003495, 'contradiction': 0.9989091157913208}","{'distance': 0.12, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.95176554, 'contradiction': 0.0012802837882190943}","{'distance': 0.5333333333333333, 'evidence_accuracy': -0.18181818181818182, 'evidence_precision': 0.13333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.23529411764705882, 'similarity_metrics': 0.7431233, 'contradiction': 0.9950793981552124}","{'distance': 0.12, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.95176554, 'contradiction': 0.0012802837882190943}","{'distance': 0.6129032258064516, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.25, 'similarity_metrics': 0.5003495, 'contradiction': 0.9989091157913208}","{'distance': 0.12, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.95176554, 'contradiction': 0.0012802837882190943}",
,,,,,,"{'distance': 0.6363636363636364, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': 0.3259659, 'contradiction': 0.9574502110481262}"
,"{'distance': 0.8947368421052632, 'evidence_accuracy': 0.2857142857142857, 'evidence_precision': 0.3076923076923077, 'evidence_recall': 0.8, 'evidence_f1': 0.4444444444444444, 'similarity_metrics': 0.20733586, 'contradiction': 0.02078723907470703}",,,,,
,"{'distance': 1.0, 'evidence_accuracy': 0.21428571428571427, 'evidence_precision': 0.21428571428571427, 'evidence_recall': 1.0, 'evidence_f1': 0.35294117647058826, 'similarity_metrics': 0.35473725, 'contradiction': 0.9905739426612854}",,,,,"{'distance': 0.5714285714285714, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.375, 'evidence_recall': 1.0, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': 0.7165487, 'contradiction': 0.001069592428393662}"
,,,,,,
,,,,,,"{'distance': 0.30000000000000004, 'evidence_accuracy': 0.7, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.6390854, 'contradiction': 0.9190146923065186}"
"{'distance': 0.09999999999999998, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.8013503, 'contradiction': 0.9990931749343872}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.683263, 'contradiction': 0.9990507960319519}","{'distance': 0.09999999999999998, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7419198, 'contradiction': 0.9988920092582703}","{'distance': 0.1428571428571429, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7210772, 'contradiction': 0.9992024302482605}","{'distance': 0.09999999999999998, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7419198, 'contradiction': 0.9988920092582703}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.683263, 'contradiction': 0.9990507960319519}",
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.2, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': 0.92794263, 'contradiction': 0.00364024774171412}"
"{'distance': 0.9130434782608696, 'evidence_accuracy': 0.17647058823529413, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': 0.03201843, 'contradiction': 0.9965839385986328}",,"{'distance': 0.9130434782608696, 'evidence_accuracy': 0.17647058823529413, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': 0.03201843, 'contradiction': 0.9965839385986328}",,"{'distance': 0.9130434782608696, 'evidence_accuracy': 0.17647058823529413, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': 0.03201843, 'contradiction': 0.9965839385986328}",,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.7647058823529411, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9377754, 'contradiction': 0.0010755197145044804}"
"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.6470588235294118, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8286896, 'contradiction': 0.9984470009803772}",,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.6470588235294118, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8286896, 'contradiction': 0.9984470009803772}",,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.6470588235294118, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8286896, 'contradiction': 0.9984470009803772}",,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.5882352941176471, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9377754, 'contradiction': 0.0010755197145044804}"
"{'distance': 0.1428571428571429, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7809185, 'contradiction': 0.999269425868988}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7809185, 'contradiction': 0.999269425868988}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7809185, 'contradiction': 0.999269425868988}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7809185, 'contradiction': 0.999269425868988}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7809185, 'contradiction': 0.999269425868988}","{'distance': 0.5294117647058824, 'evidence_accuracy': 0.6, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 1.0, 'evidence_f1': 0.6, 'similarity_metrics': 0.2898134, 'contradiction': 0.9905912280082703}","{'distance': 0.09999999999999998, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.937602, 'contradiction': 0.007179874926805496}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9340056, 'contradiction': 0.004731612280011177}"
,,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.4666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6469996, 'contradiction': 0.998970627784729}",,,,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.98139787, 'contradiction': 0.0020190782379359007}"
,,,,,,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.932744, 'contradiction': 0.008090104907751083}"
,,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.4666666666666667, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6469996, 'contradiction': 0.998970627784729}",,,,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.98139787, 'contradiction': 0.0020190782379359007}"
,,,,,,
,,,,,,"{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.96068686, 'contradiction': 0.002082063117995858}"
,,,,,,
,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8470512, 'contradiction': 0.9972988963127136}",,
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.9, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8928169, 'contradiction': 0.3196274936199188}"
,,,,,,"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.83124495, 'contradiction': 0.010275549255311489}"
"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.2857142857142857, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 1.0, 'evidence_recall': 0.75, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': 0.6488061, 'contradiction': 0.9979957342147827}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.2857142857142857, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 1.0, 'evidence_recall': 0.75, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': 0.6812165, 'contradiction': 0.9972231388092041}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.7644154, 'contradiction': 0.9984323382377625}","{'distance': 0.16666666666666663, 'evidence_accuracy': 0.16666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.78871036, 'contradiction': 0.011037060990929604}"
,,,,,,
"{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.8636347, 'contradiction': 0.9990938901901245}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.8636347, 'contradiction': 0.9990938901901245}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.8636347, 'contradiction': 0.9990938901901245}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.8636347, 'contradiction': 0.9990938901901245}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.8636347, 'contradiction': 0.9990938901901245}",,
"{'distance': 0.8181818181818181, 'evidence_accuracy': 0.3076923076923077, 'evidence_precision': 0.18181818181818182, 'evidence_recall': 1.0, 'evidence_f1': 0.3076923076923077, 'similarity_metrics': 0.25450793, 'contradiction': 0.3270872235298157}",,,,"{'distance': 0.8181818181818181, 'evidence_accuracy': 0.3076923076923077, 'evidence_precision': 0.18181818181818182, 'evidence_recall': 1.0, 'evidence_f1': 0.3076923076923077, 'similarity_metrics': 0.1130781, 'contradiction': 0.37913212180137634}",,"{'distance': 0.46153846153846156, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.25, 'similarity_metrics': 0.68058527, 'contradiction': 0.6565401554107666}"
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.9396985, 'contradiction': 0.004854890052229166}"
,"{'distance': 0.052631578947368474, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8731712, 'contradiction': 0.0017649129731580615}",,"{'distance': 0.0, 'evidence_accuracy': 0.4444444444444444, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.99270946, 'contradiction': 0.0016914402367547154}",,"{'distance': 0.052631578947368474, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8731712, 'contradiction': 0.0017649129731580615}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.8975624, 'contradiction': 0.011156085878610611}"
,,,,,,
,,,,,,"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.9783989, 'contradiction': 0.0019451042171567678}"
,,,,,,"{'distance': 0.5384615384615384, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': 0.72148395, 'contradiction': 0.0058192298747599125}"
,,,,,,"{'distance': 0.23076923076923073, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.8738613, 'contradiction': 0.0014460308011621237}"
,"{'distance': 1.0, 'evidence_accuracy': 0.1, 'evidence_precision': 0.1, 'evidence_recall': 1.0, 'evidence_f1': 0.18181818181818182, 'similarity_metrics': 0.25401294, 'contradiction': 0.9928269982337952}","{'distance': 0.875, 'evidence_accuracy': 0.2, 'evidence_precision': 0.1111111111111111, 'evidence_recall': 1.0, 'evidence_f1': 0.19999999999999998, 'similarity_metrics': 0.23613074, 'contradiction': 0.9834405183792114}",,,,"{'distance': 0.7, 'evidence_accuracy': 0.3, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.26232818, 'contradiction': 0.08236581087112427}"
,,,,,,"{'distance': 0.5, 'evidence_accuracy': 0.6, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.5619879, 'contradiction': 0.3767523765563965}"
,,,,"{'distance': 0.3846153846153846, 'evidence_accuracy': 0.2, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.51788056, 'contradiction': 0.002410413231700659}",,
,,,,,,
"{'distance': 0.5384615384615384, 'evidence_accuracy': 0.8571428571428571, 'evidence_precision': 0.8, 'evidence_recall': 1.0, 'evidence_f1': 0.888888888888889, 'similarity_metrics': 0.2947384, 'contradiction': 0.9915989637374878}",,"{'distance': 0.5384615384615384, 'evidence_accuracy': 0.8571428571428571, 'evidence_precision': 0.8, 'evidence_recall': 1.0, 'evidence_f1': 0.888888888888889, 'similarity_metrics': 0.2947384, 'contradiction': 0.9915989637374878}",,"{'distance': 0.4285714285714286, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.75, 'evidence_recall': 0.75, 'evidence_f1': 0.75, 'similarity_metrics': 0.32314897, 'contradiction': 0.993070662021637}",,
,,,"{'distance': 0.4285714285714286, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.6246876, 'contradiction': 0.024924004450440407}",,,
,,,,,,
"{'distance': 0.3913043478260869, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': 0.803458, 'contradiction': 0.0006322672124952078}","{'distance': 0.23076923076923073, 'evidence_accuracy': 0.7333333333333333, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.76593405, 'contradiction': 0.001235405681654811}","{'distance': 0.3913043478260869, 'evidence_accuracy': 0.5333333333333333, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': 0.803458, 'contradiction': 0.0006322672124952078}","{'distance': 0.23076923076923073, 'evidence_accuracy': 0.7333333333333333, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.76593405, 'contradiction': 0.001235405681654811}","{'distance': 0.3076923076923077, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': 0.6457343, 'contradiction': 0.8689663410186768}","{'distance': 0.23076923076923073, 'evidence_accuracy': 0.7333333333333333, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.76593405, 'contradiction': 0.001235405681654811}","{'distance': 0.06666666666666665, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.983284, 'contradiction': 0.0024731899611651897}"
"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9836899, 'contradiction': 0.0021948281209915876}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9836899, 'contradiction': 0.0021948281209915876}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9836899, 'contradiction': 0.0021948281209915876}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9836899, 'contradiction': 0.0021948281209915876}","{'distance': 0.11111111111111116, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9836899, 'contradiction': 0.0021948281209915876}",,"{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8822104, 'contradiction': 0.013926972635090351}"
